"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zr","Zr_sd","Zr_ICP","Zr_ICP_sd","fit","lwr","upr"
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,1.11473317771906,0.0557366588859528,-2.6901558838248,-0.13450779419124,-1.81282054379651,-3.97457163435501,0.348930546761999
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,1.28194823142843,0.0640974115714213,-2.87693124828236,-0.143846562414118,-1.76708799856004,-3.92752456191196,0.393348564791881
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,1.21857913531565,0.0609289567657824,-2.92136439029959,-0.146068219514979,-1.78441915380165,-3.94531586203705,0.376477554433745
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,1.12502072110573,0.0562510360552865,-2.87388887847369,-0.143694443923685,-1.81000694817299,-3.97166784162773,0.35165394528176
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,1.32254264128851,0.0661271320644253,-3.03694200306364,-0.151847100153182,-1.75598561486855,-3.91615180791508,0.404180578177976
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,1.35635794363945,0.0678178971819725,-2.83520494830565,-0.141760247415283,-1.74673728578487,-3.90669281280697,0.413218241237228
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,0.559837112746667,0.0279918556373334,-2.82153883938042,-0.141076941969021,-1.96458205587302,-4.13300351919515,0.203839407449117
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,0.806666744785975,0.0403333372392987,-2.88610260586168,-0.144305130293084,-1.89707529100627,-4.06209265131706,0.267942069304519
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,1.52217772176524,0.0761088860882618,-2.95489063212842,-0.147744531606421,-1.70138634197918,-3.86050042167287,0.45772773771451
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,1.83364995257733,0.0916824976288667,-2.3870511386313,-0.119352556931565,-1.61620012477247,-3.77459494035802,0.542194690813085
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,1.46113982879209,0.0730569914396044,-3.24589452144836,-0.162294726072418,-1.71807992392417,-3.87746670944872,0.441306861600381
