depth	min	max	median	mean
43.4	337.22	794.66	565.32	564.84
43.5	339.15	795.37	568.03	567.35
43.6	339.74	799.01	570.77	569.86
43.7	342.11	803.53	573.44	572.38
43.8	344.15	807.82	575.97	574.89
43.9	346.24	811.18	577.86	577.4
44	348.53	814.83	580.66	579.91
44.1	350.58	818.19	583.01	582.43
44.2	351.01	822.54	585.3	584.94
44.3	352.8	826.77	587.46	587.45
44.4	353.18	831.46	589.34	589.96
44.5	354.48	835.84	591.66	592.48
44.6	354.72	840.15	594.19	594.99
44.7	356.41	844.41	596.26	597.5
44.8	358.28	849	599.07	600.01
44.9	360.29	855.02	601.88	602.53
45	362.01	857.55	604.39	605.04
45.1	365.66	860.02	607.29	607.84
45.2	371.06	861.44	610.13	610.65
45.3	375.2	862.8	613.38	613.45
45.4	378.05	863.66	615.65	616.25
45.5	382.19	864.53	619.15	619.06
45.6	385.83	865.39	622.54	621.86
45.7	389.01	866.14	624.97	624.67
45.8	392.98	867.37	627.69	627.47
45.9	397.46	868.29	630.16	630.28
46	400.96	870.84	633.17	633.08
46.1	404.04	872.81	635.69	635.88
46.2	406.63	873.98	639.14	638.69
46.3	410.71	875.71	642.19	641.49
46.4	415.06	879.74	645.09	644.3
46.5	418.68	882.24	648.54	647.1
46.6	421.52	883.57	651.19	649.91
46.7	424.77	886.34	654.45	652.71
46.8	428.28	889	657.91	655.51
46.9	431.62	889.92	660.28	658.32
47	434.12	891.26	662.76	661.12
47.1	436.05	892.48	665.47	663.93
47.2	437.98	894	668.39	666.73
47.3	441.89	894.87	670.96	669.54
47.4	443.48	896.32	674.13	672.34
47.5	446	898.6	677.57	675.14
47.6	448.67	900.82	680.27	677.95
47.7	450.26	902.93	683.65	680.75
47.8	453.03	905.65	686.73	683.56
47.9	454.42	908.37	690.19	686.36
48	456.35	911.07	693.21	689.17
48.1	457.95	913.33	696.36	691.97
48.2	460.13	916.06	699.4	694.78
48.3	461.61	918.79	702.87	697.58
48.4	463.49	920.63	705.73	700.38
48.5	465.83	922.59	708.39	703.19
48.6	467.36	925.86	711.69	705.99
48.7	469.67	928.03	714.07	708.8
48.8	472.82	930.34	717.26	711.6
48.9	474.03	931.53	720.1	714.41
49	474.67	934.23	723.06	717.21
49.1	476.49	937.09	725.99	720.01
49.2	477.78	941.5	728.63	722.82
49.3	479.36	944.47	731.52	725.62
49.4	481.09	946.83	734.24	728.43
49.5	483.16	949.94	737.22	731.23
49.6	484.77	952.98	739.9	734.04
49.7	486.07	956.82	742.85	736.84
49.8	487.08	959.63	745.56	739.64
49.9	488.85	962.53	748.65	742.45
50	489.49	966.77	751.45	745.25
50.1	494.44	968.32	753.72	747.63
50.2	497.32	969.35	756.3	750.01
50.3	501.97	970.74	758.63	752.39
50.4	506.46	971.72	761.03	754.77
50.5	508.46	972.51	763.09	757.15
50.6	512.14	973.65	765.21	759.53
50.7	515.63	974.63	767.77	761.91
50.8	518.11	975.25	770.09	764.29
50.9	519.62	975.95	772.45	766.67
51	523.36	976.91	774.85	769.05
51.1	526.47	977.72	777.28	771.43
51.2	530.21	978.54	779.46	773.81
51.3	534.34	979.8	781.84	776.19
51.4	537.11	980.68	784.98	778.57
51.5	539.88	981.31	787.35	780.95
51.6	542.65	982.51	789.77	783.33
51.7	545.85	983.74	792.28	785.71
51.8	549.5	985.02	794.71	788.09
51.9	552.9	986.09	797.15	790.47
52	557.66	986.9	799.85	792.85
52.1	560.29	988.03	802.13	795.23
52.2	563.21	989.68	805.19	797.61
52.3	566	990.95	807.43	799.99
52.4	569.47	992.67	809.74	802.37
52.5	572.35	995.28	811.72	804.76
52.6	577.42	997.05	814.22	807.14
52.7	579.54	998.01	817.31	809.52
