"Location","Site","Section","sample","min_depth","max_depth","midpoint","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","fit","lwr","upr"
"Kerguelen","KER1","CAT1-S1-1C",69,86.1,87.5,86.8,0.285074352553455,0.0142537176276727,-2.35984648457431,-0.117992324228716,-1.88054685592336,-3.23964741430713,-0.521446297539597
"Kerguelen","KER1","CAT1-S1-1C",73,92.4,93.7,93.1,0.148185334857135,0.00740926674285673,-2.34270523229832,-0.117135261614916,-1.91440475993485,-3.27312840216094,-0.555681117708764
"Kerguelen","KER1","CAT1-S1-1C",80,103.1,104.5,103.8,0.0936751934548451,0.00468375967274225,-2.26194554681281,-0.113097277340641,-1.92788720846368,-3.28650981458341,-0.569264602343944
"Kerguelen","KER1","CAT1-S1-1C",86,112.2,113.6,112.9,0.650070943695805,0.0325035471847902,-1.97975746035172,-0.098987873017586,-1.79026920067103,-3.1512348308349,-0.429303570507163
"Kerguelen","KER1","CAT1-S1-1C",93,122.9,124.1,123.5,0.728848531006456,0.0364424265503228,-2.12574235832273,-0.106287117916136,-1.77078448206974,-3.13231644168484,-0.409252522454632
"Kerguelen","KER1","CAT1-S1-1D",105,130.3,131.4,130.8,0.650884328855207,0.0325442164427603,-2.42728242677802,-0.121364121338901,-1.79006801932636,-3.15103920027403,-0.429096838378684
"Kerguelen","KER1","CAT1-S1-1D",108,134.6,135.8,135.2,0.725914144132838,0.0362957072066419,-2.38060054653019,-0.119030027326509,-1.77151026848249,-3.13302009233631,-0.410000444628678
"Kerguelen","KER1","CAT1-S1-1D",110,137.6,138.8,138.2,0.113559824838304,0.00567799124191522,-1.97145802223305,-0.0985729011116523,-1.92296897651187,-3.28162520121528,-0.564312751808465
"Kerguelen","KER1","CAT1-S1-1D",114,143.4,144.6,144,0.364131660943669,0.0182065830471835,-1.86578093055761,-0.0932890465278807,-1.86099295157129,-3.22039141413078,-0.501594489011808
"Kerguelen","KER1","CAT1-S1-1D",117,147.8,148.9,148.4,-0.436272595847375,-0.0218136297923687,-2.80199916897796,-0.140099958448898,-2.05896362119023,-3.41806096176688,-0.699866280613583
"Kerguelen","KER1","CAT1-S1-1D",119,150.7,151.8,151.3,0.126909247543943,0.00634546237719715,-1.96715662413516,-0.0983578312067581,-1.91966715230287,-3.27834803324308,-0.560986271362657
"Kerguelen","KER1","CAT1-S1-1D",123,156.5,157.7,157.1,0.230128041579155,0.0115064020789577,-1.88561606471324,-0.0942808032356622,-1.89413718591522,-3.25306528856923,-0.535209083261196
"Kerguelen","KER1","CAT1-S1-1D",124,158,159.2,158.6,0.341793088947134,0.0170896544473567,-2.29897200739981,-0.114948600369991,-1.86651813714966,-3.22582647237634,-0.507209801922978
"Kerguelen","KER1","CAT1-S1-1E",132,161.5,162.7,162.1,0.405848535023284,0.0202924267511642,-2.54874076805444,-0.127437038402722,-1.85067476869573,-3.21025408887821,-0.491095448513255
"Kerguelen","KER1","CAT1-S1-1E",137,168.8,170,169.4,0.0590982859975239,0.00295491429987619,-2.08476930702686,-0.104238465351343,-1.93643940376324,-3.29501240875858,-0.577866398767891
"Kerguelen","KER1","CAT1-S1-1E",144,179,180.2,179.6,0.260614773654925,0.0130307386827462,-2.65368920664157,-0.132684460332078,-1.88659664785295,-3.24561693249263,-0.527576363213268
"Kerguelen","KER1","CAT1-S1-1E",145,180.4,181.6,181,-0.45430005594704,-0.022715002797352,-3.32832183976675,-0.166416091988338,-2.06342250345776,-3.42258244641847,-0.704262560497051
