"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ca","Ca_sd","Ca_ICP","Ca_ICP_sd","Ca_fit_OLS","Ca_lwr_OLS","Ca_upr_OLS","Ca_fit_WLS","Ca_lwr_WLS","Ca_upr_WLS"
"Kerguelen","KER1","CAT1-S1-1A",26,37.3,38.7,38,0.548891273782606,0.0274445636891303,4.1555612375301,0.207778061876505,4.22825645298537,3.50089631798108,4.95561658798966,4.22868307020743,3.49589163470244,4.96147450571242
"Kerguelen","KER1","CAT1-S1-1A",27,38.8,40.1,39.4,0.525337715275069,0.0262668857637535,4.13821541338385,0.206910770669192,4.20814178370074,3.48071082749156,4.93557273990992,4.2086403033537,3.47487098251481,4.94240962419259
"Kerguelen","KER1","CAT1-S1-1A",28,40.2,41.6,40.9,0.42539855181947,0.0212699275909735,4.07403853739793,0.203701926869896,4.12279403376953,3.39493729678554,4.85065077075353,4.12359763975549,3.38555714051546,4.86163813899551
"Kerguelen","KER1","CAT1-S1-1B",36,45.1,46.2,45.6,0.515371548713162,0.0257685774356581,4.13203077739108,0.206601538869554,4.19963070694077,3.47216639166138,4.92709502222015,4.20015965051469,3.465973241129,4.93434605990039
"Kerguelen","KER1","CAT1-S1-1B",40,50.7,52.1,51.4,0.350353857334784,0.0175176928667392,4.1229933630305,0.206149668151525,4.05870608669172,3.33039649364338,4.78701567974006,4.05973878315492,3.31836277694342,4.80111478936641
"Kerguelen","KER1","CAT1-S1-1B",41,52.3,53.6,53,0.539457778605276,0.0269728889302638,4.1817095279067,0.209085476395335,4.22020027601197,3.49281312912252,4.94758742290141,4.22065569105814,3.48747392504095,4.95383745707533
"Kerguelen","KER1","CAT1-S1-1B",46,59.9,61.2,60.5,0.240634035254716,0.0120317017627358,3.81678708186287,0.190839354093144,3.9650056832303,3.23582894350687,4.69418242295373,3.96637332364357,3.21992595755435,4.7128206897328
"Kerguelen","KER1","CAT1-S1-1B",49,64.4,65.8,65.1,-0.0729810481487183,-0.00364905240743591,3.13249942001058,0.156624971000529,3.69717932980216,2.96418947818171,4.4301691814226,3.69950434940953,2.93732609476756,4.4616826040515
"Kerguelen","KER1","CAT1-S1-1B",51,67.6,68.9,68.3,0.0373571230642636,0.00186785615321318,3.95134057714148,0.197567028857074,3.79140780159376,3.05998389292254,4.52283171026498,3.79339598960398,3.03695672853349,4.54983525067448
"Kerguelen","KER1","CAT1-S1-1B",57,76.5,77.9,77.2,0.742221642340581,0.037111082117029,4.45682997965814,0.222841498982907,4.39336001578561,3.6661550826615,5.12056494890972,4.39319644942837,3.66800985575859,5.11838304309816
"Kerguelen","KER1","CAT1-S1-1C",69,86.1,87.5,86.8,0.75450367002913,0.0377251835014565,4.50547413619661,0.225273706809831,4.4038488310965,3.67662808761217,5.13106957458082,4.40364777114156,3.67891858569635,5.12837695658677
"Kerguelen","KER1","CAT1-S1-1C",73,92.4,93.7,93.1,0.552401223523627,0.0276200611761813,4.29803119124643,0.214901559562322,4.23125393968037,3.50390339359214,4.9586044857686,4.2316698420069,3.49902318544054,4.96431649857327
"Kerguelen","KER1","CAT1-S1-1C",80,103.1,104.5,103.8,0.376685352539764,0.0188342676269882,4.46537955299606,0.223268977649803,4.08119310569772,3.35305539998292,4.80933081141252,4.08214541946572,3.34195218602667,4.82233865290476
"Kerguelen","KER1","CAT1-S1-1C",86,112.2,113.6,112.9,0.758721496115734,0.0379360748057867,4.5502553697963,0.227512768489815,4.40745084209645,3.6802239617518,5.1346777224411,4.40723690629735,3.6826640848899,5.13180972770481
"Kerguelen","KER1","CAT1-S1-1C",93,122.9,124.1,123.5,1.05487345890463,0.0527436729452317,4.82541472670413,0.241270736335207,4.66036374218264,3.93180294395677,5.38892454040852,4.65924573721574,3.94472172126638,5.3737697531651
"Kerguelen","KER1","CAT1-S1-1D",105,130.3,131.4,130.8,0.699965797953498,0.0349982898976749,4.6143774849403,0.230718874247015,4.35727364968866,3.63009968587191,5.08444761350542,4.35723907861382,3.63045513267617,5.08402302455147
"Kerguelen","KER1","CAT1-S1-1D",108,134.6,135.8,135.2,1.02822286835476,0.051411143417738,4.66477975930736,0.233238987965368,4.63760421669612,3.90923624944519,5.36597218394706,4.63656756853331,3.92121534996662,5.3519197871
"Kerguelen","KER1","CAT1-S1-1D",110,137.6,138.8,138.2,0.47903570567333,0.0239517852836665,4.80070348235533,0.240035174117766,4.16860000448065,3.44099698412441,4.89620302483689,4.1692398712275,3.43351614660249,4.9049635958525
"Kerguelen","KER1","CAT1-S1-1D",114,143.4,144.6,144,0.682716565567516,0.0341358282783758,4.63009597777211,0.231504798888606,4.34254285626114,3.61537110017582,5.06971461234645,4.3425609422716,3.61511444499179,5.07000743955141
"Kerguelen","KER1","CAT1-S1-1D",117,147.8,148.9,148.4,0.41493151948764,0.020746575974382,3.84308666531098,0.192154333265549,4.1138552191238,3.3859421666128,4.8417682716348,4.11469077803393,3.3761916103769,4.85318994569095
"Kerguelen","KER1","CAT1-S1-1D",119,150.7,151.8,151.3,0.680876753367061,0.034043837668353,4.44238001500584,0.222119000750292,4.34097166208485,3.61379978444583,5.06814353972387,4.34099536452773,3.61347784115592,5.06851288789954
"Kerguelen","KER1","CAT1-S1-1D",123,156.5,157.7,157.1,0.710121325239967,0.0355060662619983,4.73057789009184,0.236528894504592,4.36594643994721,3.6387683470535,5.09312453284092,4.36588086688604,3.63948415817003,5.09227757560204
"Kerguelen","KER1","CAT1-S1-1D",124,158,159.2,158.6,0.852229152973264,0.0426114576486632,4.37670819248911,0.218835409624456,4.48730610441987,3.75985031821681,5.21476189062292,4.48680671587981,3.76560581180678,5.20800761995284
