Site,Site_Section,Sample_ID,Core_section,Sample,Radius_1_cm,Radius_2_cm,Thickness_cm,Depth_T_field_cm,Depth_B_field_cm,Depth_field_cm,Depth_T_cm,Depth_B_cm,Depth_cm,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,sedrate_cm_yr-1,Wet_bag_g,Dry_bag_g,Wet_mass_g,Dry_mass_g,Ash_Mass ,Water_Content_pc,Dry_mass,LOI550,C_content,Volume_cm3,Wet_density_g_cm3,Dry_density_g_cm3,DMAR_g_cm2_yr
HER42PB,HER42PB1G,HER42PB1G_233,G,233,2.3,2.1,1.3,259.02,260.32,259.67,259.02,260.32,259.67,2895.62,3291.05,3067.57,3074.24,0.0978,6.6713,1.9521,4.7192,0.8045,NA,85.4,14.6,NA,NA,4.9,1.12,0.16,0.2284
HER42PB,HER42PB1G,HER42PB1G_234,G,234,2.3,2.4,1.2,260.47,261.67,261.07,260.47,261.67,261.07,2908.47,3308.48,3081.71,3088.50,0.0968,7.5198,2.0266,5.4932,0.879,NA,86.2,13.8,NA,NA,5.2,1.22,0.17,0.2271
HER42PB,HER42PB1G,HER42PB1G_235,G,235,2.3,2.2,1.2,261.81,263.01,262.41,261.81,263.01,262.41,2923.11,3317.57,3095.88,3102.39,0.0962,6.4742,2.0329,4.4413,0.8853,NA,83.4,16.6,NA,NA,4.7,1.14,0.19,0.3033
HER42PB,HER42PB1G,HER42PB1G_236,G,236,2.3,2.3,1.2,263.16,264.36,263.76,263.16,264.36,263.76,2932.88,3333.97,3110.12,3116.37,0.0968,6.9721,2.0804,4.8917,0.9328,NA,84,16,NA,NA,4.9,1.19,0.19,0.2942
HER42PB,HER42PB1G,HER42PB1G_237,G,237,2.2,2.1,1.2,264.50,265.70,265.10,264.50,265.70,265.10,2941.26,3349.09,3125.18,3130.26,0.0965,6.3171,1.8522,4.4649,0.7046,NA,86.4,13.6,NA,NA,4.4,1.19,0.16,0.2100
HER42PB,HER42PB1G,HER42PB1G_238,G,238,2.2,2.1,1.3,265.84,267.09,266.47,265.84,267.09,266.47,2950.83,3368.95,3139.96,3144.45,0.0964,6.7474,2.0305,4.7169,0.8829,NA,84.2,15.8,NA,NA,4.4,1.26,0.2,0.3047
HER42PB,HER42PB1G,HER42PB1G_239,G,239,2.3,2.4,1.2,267.24,268.44,267.84,267.24,268.44,267.84,2956.57,3395.06,3154.06,3158.65,0.0969,6.8189,2.0789,4.74,0.9313,NA,83.6,16.4,NA,NA,5.1,1.11,0.18,0.2859
HER42PB,HER42PB1G,HER42PB1G_240,G,240,2.4,2.3,1.2,268.58,269.78,269.18,268.58,269.78,269.18,2963.75,3418.54,3168.23,3172.53,0.1002,7.4065,2.3534,5.0531,1.2058,NA,80.7,19.3,NA,NA,5.1,1.23,0.24,0.4641
HER42PB,HER42PB1G,HER42PB1G_241,G,241,2.3,2.3,1.2,269.93,271.08,270.50,269.93,271.08,270.50,2971.96,3438.36,3181.11,3185.70,0.1069,7.1631,2.1248,5.0383,0.9772,NA,83.8,16.2,NA,NA,4.8,1.26,0.2,0.3464
HER42PB,HER42PB1G,HER42PB1G_242,G,242,2.3,2.3,1.2,271.22,272.42,271.82,271.22,272.42,271.82,2983.00,3448.26,3193.10,3198.04,0.1069,7.9919,2.0886,5.9033,0.941,NA,86.3,13.7,NA,NA,4.8,1.44,0.2,0.2930
HER42PB,HER42PB1G,HER42PB1G_243,G,243,2.3,2.3,1.2,272.57,273.72,273.14,272.57,273.72,273.14,2991.03,3458.58,3204.16,3210.38,0.1069,7.4747,2.2268,5.2479,1.0792,NA,82.9,17.1,NA,NA,4.6,1.38,0.24,0.4388
HER42PB,HER42PB1G,HER42PB1G_244,G,244,2.3,2.3,1.2,273.86,275.06,274.46,273.86,275.06,274.46,3001.14,3468.05,3216.28,3222.72,0.1069,7.2359,2.0665,5.1694,0.9189,NA,84.9,15.1,NA,NA,5,1.22,0.18,0.2906
HER42PB,HER42PB1G,HER42PB1G_245,G,245,2.2,2.3,1.2,275.21,276.36,275.78,275.21,276.36,275.78,3006.89,3485.05,3228.66,3235.06,0.1069,7.0544,2.0921,4.9623,0.9445,NA,84,16,NA,NA,4.5,1.32,0.21,0.3592
HER42PB,HER42PB1G,HER42PB1G_246,G,246,2.3,2.4,1.3,276.50,277.80,277.15,276.50,277.80,277.15,3017.69,3501.57,3242.96,3247.87,0.1073,7.4464,2.1794,5.267,1.0318,NA,83.6,16.4,NA,NA,5.5,1.14,0.19,0.3345
HER42PB,HER42PB1G,HER42PB1G_247,G,247,2.2,2.3,1.2,277.94,279.14,278.54,277.94,279.14,278.54,3024.05,3521.38,3255.98,3260.86,0.1069,7.1866,2.0145,5.1721,0.8669,NA,85.6,14.4,NA,NA,4.7,1.29,0.19,0.2925
HER42PB,HER42PB1G,HER42PB1G_248,G,248,2.3,2.3,1.3,279.29,280.54,279.91,279.29,280.54,279.91,3030.71,3542.79,3268.94,3273.67,0.0986,7.3082,2.1296,5.1786,0.982,NA,84.1,15.9,NA,NA,5.1,1.21,0.19,0.2978
HER42PB,HER42PB1G,HER42PB1G_249,G,249,2.2,2.2,1.2,280.68,281.88,281.28,280.68,281.88,281.28,3049.34,3552.53,3283.41,3287.56,0.0980,7.1507,2.0364,5.1143,0.8888,NA,85.2,14.8,NA,NA,4.5,1.35,0.2,0.2902
HER42PB,HER42PB1G,HER42PB1G_250,G,250,2.2,2.2,1.2,282.03,283.18,282.60,282.03,283.18,282.60,3064.43,3563.17,3294.80,3301.02,0.0976,6.6505,2.0668,4.5837,0.9192,NA,83.3,16.7,NA,NA,4.4,1.26,0.21,0.3424
HER42PB,HER42PB1G,HER42PB1G_251,G,251,2.2,2.1,1.2,283.32,284.47,283.90,283.32,284.47,283.90,3076.61,3575.69,3309.17,3314.28,0.0998,6.173,1.8922,4.2808,0.7446,NA,85.2,14.8,NA,NA,4,1.26,0.19,0.2805
HER42PB,HER42PB1H,HER42PB1H_259,H,259,2.3,2.2,1.1,283.73,284.83,284.28,283.73,284.83,284.28,3080.46,3581.01,3314.12,3318.16,0.0974,6.6552,2.0289,4.6263,0.8813,NA,84,16,NA,NA,4.2,1.32,0.21,0.3274
HER42PB,HER42PB1H,HER42PB1H_260,H,260,2.3,2.2,1.2,285.00,286.20,285.60,285.00,286.20,285.60,3088.39,3596.79,3327.21,3331.62,0.0982,7.4638,2.5451,4.9187,1.3975,NA,77.9,22.1,NA,NA,4.8,1.32,0.29,0.6291
HER42PB,HER42PB1H,HER42PB1H_261,H,261,2.3,2.3,1.1,286.36,287.46,286.91,286.36,287.46,286.91,3094.35,3616.60,3342.49,3344.98,0.0982,7.3549,2.3903,4.9646,1.2427,NA,80,20,NA,NA,4.5,1.39,0.28,0.5497
HER42PB,HER42PB1H,HER42PB1H_262,H,262,2.3,2.4,1.2,287.62,288.82,288.22,287.62,288.82,288.22,3102.67,3637.64,3356.20,3358.34,0.0982,7.454,2.1663,5.2877,1.0187,NA,83.8,16.2,NA,NA,5.1,1.24,0.2,0.3180
HER42PB,HER42PB1H,HER42PB1H_263,H,263,2.3,2.2,1.2,288.98,290.18,289.58,288.98,290.18,289.58,3110.85,3654.42,3369.49,3372.21,0.1006,6.8972,1.9827,4.9145,0.8351,NA,85.5,14.5,NA,NA,4.7,1.23,0.18,0.2626
HER42PB,HER42PB1H,HER42PB1H_264,H,264,2.1,2.3,1.2,290.34,291.54,290.94,290.34,291.54,290.94,3129.21,3668.72,3382.43,3385.74,0.1015,6.4792,1.9004,4.5788,0.7528,NA,85.9,14.1,NA,NA,4.5,1.2,0.17,0.2432
HER42PB,HER42PB1H,HER42PB1H_265,H,265,2.2,2.1,1.2,291.70,292.85,292.28,291.70,292.85,292.28,3146.42,3681.54,3395.81,3398.91,0.1022,6.4645,1.8559,4.6086,0.7083,NA,86.7,13.3,NA,NA,4.1,1.3,0.17,0.2310
HER42PB,HER42PB1H,HER42PB1H_266,H,266,2.2,2.2,1.2,293.01,294.21,293.61,293.01,294.21,293.61,3161.50,3690.15,3408.24,3411.99,0.1015,7.3161,2.0042,5.3119,0.8566,NA,86.1,13.9,NA,NA,4.6,1.35,0.19,0.2680
HER42PB,HER42PB1H,HER42PB1H_267,H,267,2.2,2.1,1.2,294.38,295.53,294.95,294.38,295.53,294.95,3175.33,3698.16,3422.31,3425.16,0.1015,7.1895,1.9798,5.2097,0.8322,NA,86.2,13.8,NA,NA,4.2,1.45,0.2,0.2801
HER42PB,HER42PB1H,HER42PB1H_268,H,268,2.3,2.2,1.2,295.69,296.89,296.29,295.69,296.89,296.29,3189.05,3716.49,3434.88,3438.33,0.1022,7.3493,2.0033,5.346,0.8557,NA,86.2,13.8,NA,NA,4.8,1.3,0.18,0.2538
HER42PB,HER42PB1H,HER42PB1H_269,H,269,2.3,1.9,1.2,297.05,298.20,297.62,297.05,298.20,297.62,3202.34,3734.75,3448.25,3451.41,0.1010,6.8072,2.133,4.6742,0.9854,NA,82.6,17.4,NA,NA,3.9,1.46,0.25,0.4395
HER42PB,HER42PB1H,HER42PB1H_270,H,270,2.2,2.1,1.2,298.36,299.51,298.94,298.36,299.51,298.94,3210.05,3746.62,3461.88,3464.39,0.1011,6.8114,2.0175,4.7939,0.8699,NA,84.6,15.4,NA,NA,4.2,1.36,0.21,0.3270
HER42PB,HER42PB1H,HER42PB1H_271,H,271,2.4,2.1,1.2,299.67,300.82,300.25,299.67,300.82,300.25,3220.10,3758.90,3475.36,3477.36,0.0984,7.0617,2.3071,4.7546,1.1595,NA,80.4,19.6,NA,NA,4.4,1.35,0.27,0.5208
HER42PB,HER42PB1H,HER42PB1H_272,H,272,2.3,2,1.2,300.98,302.18,301.58,300.98,302.18,301.58,3243.03,3764.66,3488.40,3490.94,0.0981,6.7889,2.1487,4.6402,1.0011,NA,82.3,17.7,NA,NA,4.3,1.33,0.24,0.4167
HER42PB,HER42PB1H,HER42PB1H_273,H,273,2.4,2.2,1.2,302.34,303.54,302.94,302.34,303.54,302.94,3266.98,3772.84,3502.20,3504.82,0.0974,7.171,2.0281,5.1429,0.8805,NA,85.4,14.6,NA,NA,5,1.21,0.18,0.2559
HER42PB,HER42PB1H,HER42PB1H_274,H,274,2.2,2,1.2,303.71,304.91,304.31,303.71,304.91,304.31,3284.01,3780.35,3515.40,3518.80,0.0985,6.6676,2.0251,4.6425,0.8775,NA,84.1,15.9,NA,NA,4.2,1.33,0.21,0.3288
HER42PB,HER42PB1H,HER42PB1H_275,H,275,2.3,2.1,1.3,305.07,306.32,305.69,305.07,306.32,305.69,3298.85,3788.60,3529.06,3532.88,0.0977,7.1095,2.0164,5.0931,0.8688,NA,85.4,14.6,NA,NA,4.6,1.28,0.19,0.2710
HER42PB,HER42PB1H,HER42PB1H_276,H,276,2.3,2.3,1.2,306.48,307.68,307.08,306.48,307.68,307.08,3314.03,3802.18,3544.13,3547.07,0.0981,7.6332,2.1217,5.5115,0.9741,NA,85,15,NA,NA,4.9,1.33,0.2,0.2943
HER42PB,HER42PB1H,HER42PB1H_277,H,277,2.3,2.1,1.3,307.84,309.14,308.49,307.84,309.14,308.49,3326.20,3818.07,3558.98,3561.46,0.0978,7.1971,2.1437,5.0534,0.9961,NA,83.5,16.5,NA,NA,4.7,1.28,0.21,0.3388
HER42PB,HER42PB1H,HER42PB1H_278,H,278,2.3,2.3,1.3,309.30,310.55,309.93,309.30,310.55,309.93,3339.30,3837.17,3572.92,3576.15,0.1135,8.5077,2.5821,5.9256,1.4345,NA,80.5,19.5,NA,NA,5.1,1.45,0.28,0.6195
HER42PB,HER42PB1H,HER42PB1H_279,H,279,2.3,2.3,1.3,310.71,311.96,311.34,310.71,311.96,311.34,3354.75,3847.52,3586.46,3588.59,0.1145,7.7498,2.4023,5.3475,1.2547,NA,81,19,NA,NA,5,1.33,0.25,0.5437
HER42PB,HER42PB1H,HER42PB1H_280,H,280,2,2,1.3,312.12,313.37,312.75,312.12,313.37,312.75,3371.41,3856.34,3598.46,3600.92,0.1145,6.3615,2.0819,4.2796,0.9343,NA,82.1,17.9,NA,NA,3.9,1.33,0.24,0.4918
HER42PB,HER42PB1H,HER42PB1H_281,H,281,1.9,2.2,1.3,313.54,314.79,314.16,313.54,314.79,314.16,3386.53,3863.51,3611.51,3613.25,0.1145,7.1141,2.4127,4.7014,1.2651,NA,78.8,21.2,NA,NA,4,1.48,0.31,0.7523
HER42PB,HER42PB1H,HER42PB1H_282,H,282,2.2,2.1,1.3,314.95,316.20,315.57,314.95,316.20,315.57,3394.14,3877.81,3623.40,3625.58,0.1145,7.1713,2.4471,4.7242,1.2995,NA,78.4,21.6,NA,NA,4.5,1.33,0.29,0.7170
HER42PB,HER42PB1H,HER42PB1H_283,H,283,2,2,1.3,316.36,317.61,316.98,316.36,317.61,316.98,3404.07,3891.93,3636.89,3637.91,0.1140,6.5778,2.1614,4.4164,1.0138,NA,81.3,18.7,NA,NA,3.7,1.46,0.27,0.5757
HER42PB,HER42PB1H,HER42PB1H_284,H,284,2.2,2,1.2,317.77,318.97,318.37,317.77,318.97,318.37,3412.31,3907.83,3648.67,3650.07,0.1145,6.9031,2.1589,4.7442,1.0113,NA,82.4,17.6,NA,NA,4.2,1.39,0.24,0.4837
HER42PB,HER42PB1H,HER42PB1H_285,H,285,2.2,2.3,1.2,319.13,320.33,319.73,319.13,320.33,319.73,3419.59,3922.19,3660.53,3661.96,0.1069,9.8211,2.1814,7.6397,1.0338,NA,88.1,11.9,NA,NA,4.7,1.86,0.22,0.2799
HER42PB,HER42PB1I,HER42PB1I_292,I,292,1.9,2.2,0.9,320.00,320.90,320.45,320.00,320.90,320.45,3429.29,3926.21,3666.62,3668.68,0.1028,4.6144,1.6849,2.9295,0.5373,NA,84.5,15.5,NA,NA,2.8,1.23,0.19,0.3029
HER42PB,HER42PB1I,HER42PB1I_293,I,293,2.3,2.5,1.2,321.04,322.24,321.64,321.04,322.24,321.64,3450.69,3936.06,3677.61,3680.21,0.1032,7.2262,2.2948,4.9314,1.1472,NA,81.1,18.9,NA,NA,5.4,1.12,0.21,0.4098
HER42PB,HER42PB1I,HER42PB1I_294,I,294,2.3,2.7,1.3,322.37,323.62,323.00,322.37,323.62,323.00,3474.82,3944.40,3690.32,3693.39,0.1033,7.9724,2.374,5.5984,1.2264,NA,82,18,NA,NA,6.1,1.11,0.2,0.3719
HER42PB,HER42PB1I,HER42PB1I_295,I,295,2.4,2.3,1.2,323.76,324.96,324.36,323.76,324.96,324.36,3492.69,3955.58,3701.97,3706.56,0.1032,7.6715,2.3613,5.3102,1.2137,NA,81.4,18.6,NA,NA,5.1,1.28,0.24,0.4609
HER42PB,HER42PB1I,HER42PB1I_296,I,296,2.3,2.5,1.3,325.09,326.34,325.72,325.09,326.34,325.72,3508.29,3968.60,3714.58,3719.74,0.1037,7.4128,2.224,5.1888,1.0764,NA,82.8,17.2,NA,NA,5.5,1.13,0.19,0.3390
HER42PB,HER42PB1I,HER42PB1I_297,I,297,2.3,2.7,1.3,326.48,327.73,327.10,326.48,327.73,327.10,3520.21,3980.53,3727.78,3733.10,0.1029,7.9502,2.2629,5.6873,1.1153,NA,83.6,16.4,NA,NA,6.1,1.11,0.18,0.3037
HER42PB,HER42PB1I,HER42PB1I_298,I,298,2.4,2.3,1.3,327.86,329.11,328.49,327.86,329.11,328.49,3528.97,3996.95,3741.66,3746.57,0.1033,7.2517,2.0624,5.1893,0.9148,NA,85,15,NA,NA,5.3,1.15,0.17,0.2633
HER42PB,HER42PB1I,HER42PB1I_299,I,299,2.4,2.6,1.3,329.25,330.55,329.90,329.25,330.55,329.90,3538.05,4017.81,3756.12,3760.23,0.0975,8.0896,2.2104,5.8792,1.0628,NA,84.7,15.3,NA,NA,6.1,1.13,0.17,0.2535
HER42PB,HER42PB1I,HER42PB1I_300,I,300,2.4,2.4,1.3,330.69,331.99,331.34,330.69,331.99,331.34,3572.57,4023.99,3769.12,3774.96,0.0978,8.0576,2.2105,5.8471,1.0629,NA,84.6,15.4,NA,NA,5.9,1.18,0.18,0.2711
HER42PB,HER42PB1I,HER42PB1I_301,I,301,2.4,2.3,1.2,332.12,333.32,332.72,332.12,333.32,332.72,3602.78,4030.54,3782.23,3789.13,0.0974,7.2028,2.1189,5.0839,0.9713,NA,84,16,NA,NA,5.1,1.19,0.19,0.2962
HER42PB,HER42PB1I,HER42PB1I_302,I,302,2.5,2.4,1.4,333.46,334.81,334.13,333.46,334.81,334.13,3631.85,4043.51,3795.84,3803.61,0.0974,8.4716,2.2564,6.2152,1.1088,NA,84.9,15.1,NA,NA,6.2,1.18,0.18,0.2649
HER42PB,HER42PB1I,HER42PB1I_303,I,303,2.4,2.5,1.3,334.94,336.24,335.59,334.94,336.24,335.59,3659.30,4052.41,3810.66,3818.60,0.0974,7.5641,1.9748,5.5893,0.8272,NA,87.1,12.9,NA,NA,6,1.07,0.14,0.1759
HER42PB,HER42PB1I,HER42PB1I_304,I,304,2.4,2.4,1.3,336.38,337.63,337.00,336.38,337.63,337.00,3680.63,4061.89,3823.54,3833.08,0.0971,7.9159,2.1471,5.7688,0.9995,NA,85.2,14.8,NA,NA,5.5,1.22,0.18,0.2587
HER42PB,HER42PB1I,HER42PB1I_305,I,305,2.5,2.4,1.3,337.76,339.01,338.39,337.76,339.01,338.39,3698.88,4072.55,3837.05,3847.35,0.0975,7.7087,2.0752,5.6335,0.9276,NA,85.9,14.1,NA,NA,5.7,1.16,0.16,0.2198
HER42PB,HER42PB1I,HER42PB1I_306,I,306,2.5,2.5,1.1,339.15,340.25,339.70,339.15,340.25,339.70,3711.35,4083.75,3849.94,3860.80,0.0613,7.0464,1.9463,5.1001,0.7987,NA,86.5,13.5,NA,NA,5.3,1.12,0.15,0.1241
HER42PB,HER42PB1I,HER42PB1I_307,I,307,2.5,2.5,1.3,340.39,341.64,341.01,340.39,341.64,341.01,3730.73,4104.62,3871.64,3882.19,0.0550,8.0446,2.1749,5.8697,1.0273,NA,85.1,14.9,NA,NA,6,1.15,0.17,0.1394
HER42PB,HER42PB1I,HER42PB1I_308,I,308,2.4,2.5,1.4,341.77,343.12,342.45,341.77,343.12,342.45,3747.74,4143.06,3897.45,3908.28,0.0552,7.9676,2.1205,5.8471,0.9729,NA,85.7,14.3,NA,NA,6.2,1.09,0.16,0.1263
HER42PB,HER42PB1I,HER42PB1I_309,I,309,2.3,2.2,1.3,343.26,344.56,343.91,343.26,344.56,343.91,3759.17,4175.58,3922.35,3934.74,0.0552,7.5989,2,5.5989,0.8524,NA,86.8,13.2,NA,NA,5.1,1.28,0.17,0.1239
HER42PB,HER42PB1I,HER42PB1I_310,I,310,2.3,2.5,1.4,344.69,346.04,345.37,344.69,346.04,345.37,3768.76,4207.88,3948.70,3961.20,0.0552,7.8037,2.0863,5.7174,0.9387,NA,85.9,14.1,NA,NA,6,1.11,0.16,0.1245
HER42PB,HER42PB1I,HER42PB1I_311,I,311,2.4,2.4,1.3,346.18,347.48,346.83,346.18,347.48,346.83,3778.97,4260.13,3974.03,3987.66,0.0554,7.9111,2.0345,5.8766,0.8869,NA,86.9,13.1,NA,NA,5.6,1.2,0.16,0.1161
HER42PB,HER42PB1I,HER42PB1I_312,I,312,2.3,2.3,1.2,347.61,348.81,348.21,347.61,348.81,348.21,3787.17,4310.17,3997.44,4012.67,0.0550,6.952,1.8929,5.0591,0.7453,NA,87.2,12.8,NA,NA,4.9,1.19,0.15,0.1056
HER42PB,HER42PB1I,HER42PB1I_313,I,313,2.3,2.3,1.3,348.95,350.25,349.60,348.95,350.25,349.60,3793.42,4367.41,4020.18,4037.87,0.0486,7.8402,2.0852,5.755,0.9376,NA,86,14,NA,NA,5.4,1.24,0.17,0.1156
HER42PB,HER42PB1I,HER42PB1I_314,I,314,2.4,2.4,1.2,350.39,351.59,350.99,350.39,351.59,350.99,3818.22,4397.92,4047.82,4066.39,0.0468,7.8217,2.1384,5.6833,0.9908,NA,85.2,14.8,NA,NA,5.4,1.23,0.18,0.1245
HER42PB,HER42PB1I,HER42PB1I_315,I,315,2.4,2,1.2,351.72,352.92,352.32,351.72,352.92,352.32,3846.00,4420.85,4079.28,4094.96,0.0464,7.389,2.3618,5.0272,1.2142,NA,80.5,19.5,NA,NA,4.6,1.37,0.27,0.2442
HER42PB,HER42PB1I,HER42PB1I_316,I,316,2.3,2.5,1.1,353.06,354.16,353.61,353.06,354.16,353.61,3863.64,4447.69,4108.34,4122.68,0.0466,7.455,2.4803,4.9747,1.3327,NA,78.9,21.1,NA,NA,4.9,1.29,0.27,0.2653
HER42PB,HER42PB1I,HER42PB1I_317,I,317,2.3,2.3,1.2,354.29,355.44,354.87,354.29,355.44,354.87,3879.90,4476.41,4139.53,4149.75,0.0466,7.6318,2.9141,4.7177,1.7665,NA,72.8,27.2,NA,NA,4.8,1.36,0.37,0.4686
HER42PB,HER42PB1I,HER42PB1I_318,I,318,2.3,2.4,1.2,355.58,356.78,356.18,355.58,356.78,356.18,3894.38,4511.07,4169.27,4177.90,0.0468,8.8502,2.3603,6.4899,1.2127,NA,84.3,15.7,NA,NA,5.1,1.51,0.24,0.1762
HER42PB,HER42PB1I,HER42PB1I_319,I,319,2.3,2.4,1.2,356.91,358.11,357.51,356.91,358.11,357.51,3906.27,4551.16,4199.17,4206.47,0.0464,8.0236,2.7783,5.2453,1.6307,NA,76.3,23.7,NA,NA,5,1.38,0.33,0.3628
HER42PB,HER42PB1I,HER42PB1I_320,I,320,2.3,2.3,1.3,358.25,359.55,358.90,358.25,359.55,358.90,3920.43,4597.71,4230.04,4236.34,0.0474,7.4824,2.4291,5.0533,1.2815,NA,79.8,20.2,NA,NA,5.4,1.17,0.24,0.2298
HER42PB,HER42PB1I,HER42PB1I_321,I,321,2.3,2.4,1.2,359.69,360.84,360.26,359.69,360.84,360.26,3933.62,4643.34,4256.84,4265.05,0.0510,7.8261,2.775,5.0511,1.6274,NA,75.6,24.4,NA,NA,4.8,1.4,0.34,0.4233
HER42PB,HER42PB1J,HER42PB1J_328,J,328,2.3,2.3,1.1,360.00,361.10,360.55,360.00,361.10,360.55,3944.07,4645.70,4263.17,4270.72,0.0511,6.3091,2.2887,4.0204,1.1411,NA,77.9,22.1,NA,NA,4.4,1.18,0.26,0.2937
HER42PB,HER42PB1J,HER42PB1J_329,J,329,2.4,2.4,1.2,361.32,362.52,361.92,361.32,362.52,361.92,3980.73,4659.75,4290.36,4297.48,0.0511,8.7018,3.6693,5.0325,2.5217,NA,66.6,33.4,NA,NA,5.4,1.39,0.46,0.7849
HER42PB,HER42PB1J,HER42PB1J_330,J,330,2.4,2.5,1.2,362.74,363.94,363.34,362.74,363.94,363.34,4007.44,4680.04,4321.63,4325.23,0.0515,8.6864,3.6216,5.0648,2.474,NA,67.2,32.8,NA,NA,5.7,1.33,0.44,0.7426
HER42PB,HER42PB1J,HER42PB1J_331,J,331,2.4,2.4,1.2,364.15,365.35,364.75,364.15,365.35,364.75,4024.11,4700.69,4351.64,4352.78,0.0509,7.9506,3.166,4.7846,2.0184,NA,70.3,29.7,NA,NA,5.4,1.25,0.37,0.5596
HER42PB,HER42PB1J,HER42PB1J_332,J,332,2.3,2.5,1.2,365.57,366.72,366.15,365.57,366.72,366.15,4044.30,4723.36,4380.62,4380.13,0.0513,7.5369,2.6936,4.8433,1.546,NA,75.8,24.2,NA,NA,5.2,1.23,0.3,0.3723
HER42PB,HER42PB1J,HER42PB1J_333,J,333,2.4,2.3,1.2,366.94,368.14,367.54,366.94,368.14,367.54,4059.20,4758.23,4408.16,4407.29,0.0511,8.1685,3.3857,4.7828,2.2381,NA,68.1,31.9,NA,NA,5,1.41,0.45,0.7337
HER42PB,HER42PB1J,HER42PB1J_334,J,334,2.1,2.4,1.1,368.36,369.46,368.91,368.36,369.46,368.91,4074.73,4794.03,4432.96,4434.05,0.0516,7.4491,3.5601,3.889,2.4125,NA,61.7,38.3,NA,NA,4.3,1.47,0.56,1.1057
HER42PB,HER42PB1J,HER42PB1J_335,J,335,2.2,2.4,1.1,369.67,370.77,370.22,369.67,370.77,370.22,4092.48,4836.85,4458.15,4459.61,0.0516,8.41,3.7103,4.6997,2.5627,NA,64.7,35.3,NA,NA,4.5,1.63,0.57,1.0380
HER42PB,HER42PB1J,HER42PB1J_336,J,336,2.2,2.2,1.2,370.99,372.19,371.59,370.99,372.19,371.59,4123.68,4852.51,4484.41,4486.12,0.0518,7.3525,3.2012,4.1513,2.0536,NA,66.9,33.1,NA,NA,4.6,1.36,0.45,0.7710
HER42PB,HER42PB1J,HER42PB1J_337,J,337,2.2,2.2,1.3,372.41,373.66,373.03,372.41,373.66,373.03,4153.80,4867.98,4513.68,4513.99,0.0516,7.7388,3.5335,4.2053,2.3859,NA,63.8,36.2,NA,NA,4.5,1.45,0.53,0.9898
HER42PB,HER42PB1J,HER42PB1J_338,J,338,2.1,2.5,1.2,373.88,375.03,374.45,373.88,375.03,374.45,4179.07,4886.90,4542.33,4541.47,0.0518,8.2091,3.73,4.4791,2.5824,NA,63.4,36.6,NA,NA,4.7,1.51,0.55,1.0418
HER42PB,HER42PB1J,HER42PB1J_339,J,339,2.2,2.2,1.2,375.24,376.44,375.84,375.24,376.44,375.84,4201.93,4905.37,4571.59,4568.38,0.0514,7.4241,3.2055,4.2186,2.0579,NA,67.2,32.8,NA,NA,4.6,1.38,0.45,0.7589
HER42PB,HER42PB1J,HER42PB1J_340,J,340,2.2,2.2,1.3,376.66,377.91,377.29,376.66,377.91,377.29,4222.96,4929.93,4602.01,4596.44,0.0518,7.797,2.9104,4.8866,1.7628,NA,73.5,26.5,NA,NA,4.6,1.43,0.38,0.5212
HER42PB,HER42PB1J,HER42PB1J_341,J,341,2.2,2,1.3,378.13,379.43,378.78,378.13,379.43,378.78,4241.78,4959.82,4635.49,4625.28,0.0524,7.5048,3.6321,3.8727,2.4845,NA,60.9,39.1,NA,NA,4.5,1.41,0.55,1.1275
HER42PB,HER42PB1J,HER42PB1J_342,J,342,2.2,2.1,1.3,379.65,380.90,380.27,379.65,380.90,380.27,4267.13,4991.66,4665.39,4653.75,0.0557,7.7897,3.7273,4.0624,2.5797,NA,61.2,38.8,NA,NA,4.4,1.5,0.58,1.2530
HER42PB,HER42PB1J,HER42PB1J_343,J,343,2.1,2.1,1.2,381.11,382.31,381.71,381.11,382.31,381.71,4321.74,5000.38,4687.50,4679.66,0.0555,6.5851,2.9202,3.6649,1.7726,NA,67.4,32.6,NA,NA,4.2,1.31,0.43,0.7778
HER42PB,HER42PB1J,HER42PB1J_344,J,344,2,2.1,1.1,382.53,383.63,383.08,382.53,383.63,383.08,4370.33,5017.40,4710.84,4704.31,0.0555,5.535,1.9509,3.5841,0.8033,NA,81.7,18.3,NA,NA,3.5,1.24,0.23,0.2335
HER42PB,HER42PB1J,HER42PB1J_345,J,345,2.2,2.2,1.2,383.85,385.05,384.45,383.85,385.05,384.45,4404.45,5031.49,4732.75,4728.96,0.0555,6.6719,2.0032,4.6687,0.8556,NA,84.5,15.5,NA,NA,4.6,1.21,0.19,0.1634
HER42PB,HER42PB1J,HER42PB1J_346,J,346,2.2,2.1,1.2,385.27,386.47,385.87,385.27,386.47,385.87,4432.44,5044.02,4757.59,4754.51,0.0555,6.388,1.9453,4.4427,0.7977,NA,84.8,15.2,NA,NA,4.4,1.2,0.18,0.1518
HER42PB,HER42PB1J,HER42PB1J_347,J,347,2.1,2.1,1.2,386.69,387.89,387.29,386.69,387.89,387.29,4459.71,5058.77,4784.08,4780.06,0.0559,6.2782,2.0009,4.2773,0.8533,NA,83.4,16.6,NA,NA,4.2,1.24,0.21,0.1948
