"Site","depth","SH20_age","Ti","Ti_ppm","Ti_lower_RMSE","Ti_upper_RMSE"
"HER42PB",349.7,4046.51,-5.84816078944481,1190.0281854438,763.20164159757,1855.56084390264
"HER42PB",349.8,4048.48,-5.68060590805434,1331.41030832051,853.874341279733,2076.01203526666
"HER42PB",349.9,4050.45,-5.76712462825753,1256.42604720468,805.784630567344,1959.09223409102
"HER42PB",350,4052.41,-6.07414242011088,1022.82591307741,655.969686665944,1594.8493805864
"HER42PB",350.1,4054.32,-5.57616098999953,1427.91716954988,915.767156774869,2226.4911205989
"HER42PB",350.2,4056.23,-5.54883116360897,1454.30459006646,932.690220364551,2267.63591437864
"HER42PB",350.3,4058.13,-5.97118127800625,1095.87514665774,702.81840476178,1708.75197479951
"HER42PB",350.4,4060.04,-6.21051866700303,933.51076343485,598.689136792822,1455.58402832734
"HER42PB",350.5,4061.95,-5.92218008792397,1132.45071890075,726.275443107322,1765.78272459821
"HER42PB",350.6,4063.86,-5.73701713734418,1282.02805110633,822.203982348188,1999.01236081274
"HER42PB",350.7,4065.76,-5.75856068067026,1263.65594715758,810.421387561953,1970.36551267553
"HER42PB",350.8,4067.67,-5.63519274770202,1372.54348925179,880.254314119768,2140.14927239671
"HER42PB",350.9,4069.58,-5.78004445948983,1245.59700012801,798.839629930426,1942.20695693704
"HER42PB",351,4071.48,-5.97911077474625,1090.06846035936,699.09439841523,1699.69785334264
"HER42PB",351.1,4073.39,-5.76242127366658,1260.39160168062,808.327862503278,1965.27555621727
"HER42PB",351.2,4075.3,-5.93451619523709,1123.12937082165,720.297376164968,1751.2483390101
"HER42PB",351.3,4077.2,-5.23641425854548,1792.9228545524,1149.85651818145,2795.62911680523
"HER42PB",351.4,4079.11,-5.41850373975764,1587.00281508018,1017.79366951503,2474.54666943694
"HER42PB",351.5,4081.02,-5.9505280771712,1111.14488235247,712.611355459524,1732.5614307422
"HER42PB",351.6,4082.92,-5.80681675731908,1223.45337295294,784.638241410683,1907.67933143152
"HER42PB",351.7,4084.83,-6.08584726345819,1014.83603188277,650.845530348885,1582.39109525034
