Site,depth,SH20_age,Ti,Ca,Sr,Ti_ICP_clr_ppm,Ti_ICP_clr_lower_ppm,Ti_ICP_clr_upper_ppm,Ca_ICP_clr_ppm,Ca_ICP_clr_lower_ppm,Ca_ICP_clr_upper_ppm,Sr_ICP_clr_ppm,Sr_ICP_clr_lower_ppm,Sr_ICP_clr_upper_ppm
HER42PB,315.4,3615.26,143,487,751,1623.468132,1396.811945,1882.268722,15166.36661,15408.58814,14891.28867,207.424624,191.8592887,223.7019772
HER42PB,315.5,3616.21,79,371,749,1357.640252,1165.346028,1578.325562,15418.62437,15627.98364,15179.95165,220.9947435,203.9297022,238.98216
HER42PB,315.6,3617.15,108,418,491,1374.642354,1180.135154,1597.789573,15399.72706,15611.41163,15158.48369,222.8899548,205.7125886,240.9861101
HER42PB,315.7,3618.1,91,285,672,1888.380255,1628.58318,2183.518196,14913.49151,15187.52306,14603.58797,195.3876016,181.1531301,210.1532061
HER42PB,315.8,3619.04,85,343,699,1589.528428,1367.177576,1843.584142,15201.44449,15439.33569,14931.1204,206.2864462,190.7461003,222.5548238
HER42PB,315.9,3619.99,97,405,634,1379.585867,1184.432209,1603.453207,15394.85408,15607.17046,15152.90868,222.819425,205.6567024,240.89748
HER42PB,316,3620.94,95,432,591,1304.722821,1119.40269,1517.618772,15468.21759,15670.95576,15236.93373,224.3189568,206.9009145,242.7068652
HER42PB,316.1,3621.88,101,378,715,1637.981449,1409.475775,1898.822776,15153.24355,15397.18633,14876.2659,206.0343685,190.5972607,222.1706973
HER42PB,316.2,3622.83,78,427,810,1184.898207,1015.532203,1379.909181,15579.70825,15767.36433,15365.32171,232.6529136,214.3628387,252.0284748
HER42PB,316.3,3623.77,69,383,639,1061.354831,908.6866618,1237.546049,15690.35479,15862.56597,15493.38833,245.5497481,226.0067404,266.3249865
HER42PB,316.4,3624.72,105,348,637,1736.177964,1495.285113,2010.640953,15059.10731,15314.96901,14769.04411,201.9740972,187.0052467,217.5743092
HER42PB,316.5,3625.66,74,368,602,1215.460822,1042.009205,1415.05887,15550.48732,15742.06565,15331.70385,231.3112288,213.1845137,250.4966444
HER42PB,316.6,3626.61,116,387,631,1696.87724,1460.924513,1965.914615,15096.71377,15347.82708,14811.85743,203.6683583,188.5077722,219.4873238
HER42PB,316.7,3627.56,449,325,553,5160.536356,4586.118923,5773.126416,11728.03196,12307.29855,11111.02799,108.6910524,103.8418964,113.1049659
HER42PB,316.8,3628.5,59,303,597,1219.680982,1045.682016,1419.887934,15543.64353,15735.9635,15324.04857,233.9348521,215.6138537,253.3228695
HER42PB,316.9,3629.45,83,448,700,1123.629442,962.5135874,1309.354417,15635.07971,15815.06507,15429.33052,238.5502193,219.680711,258.5744332
HER42PB,317,3630.39,99,366,831,1709.322083,1471.768652,1980.129544,15089.0874,15341.42652,14802.8572,198.8498827,184.0642013,214.2726263
HER42PB,317.1,3631.34,106,389,550,1528.171428,1313.711499,1773.492096,15256.31774,15486.91004,14994.07857,212.7701995,196.6378301,229.6887035
HER42PB,317.2,3632.28,108,327,616,1855.759934,1599.981907,2146.5147,14944.93356,15215.08528,14639.25369,196.5658742,182.1921857,211.4909795
