"Location","Site","Section","sample","min_depth","max_depth","midpoint","Co","Co_sd","Co_ICP","Co_ICP_sd","Co_fit_OLS","Co_lwr_OLS","Co_upr_OLS","Co_fit_WLS","Co_lwr_WLS","Co_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,-0.18820763665255,-0.00941038183262749,-3.41089560411171,-0.170544780205585,-3.43194836123361,-4.77112531406583,-2.09277140840138,-3.4377571067628,-4.85445451076409,-2.02105970276151
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,0.122187021997592,0.00610935109987958,-3.31774432735099,-0.16588721636755,-3.2696301701149,-4.61114144508284,-1.92811889514697,-3.28483651325233,-4.85067932983909,-1.71899369666556
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,-0.0838385643070522,-0.00419192821535261,-3.58153996483324,-0.179076998241662,-3.37736946124373,-4.71706933030711,-2.03766959218035,-3.38633811470727,-4.85300955975309,-1.91966666966145
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,-0.391212943075413,-0.0195606471537706,-3.46512521520254,-0.173256260760127,-3.53810822322788,-4.87702980382608,-2.19918664262968,-3.53777072194215,-4.85786937758409,-2.21767206630022
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,-0.202799115840559,-0.0101399557920279,-3.39020308996078,-0.169510154498039,-3.43957884855528,-4.77870387526929,-2.10045382184127,-3.44494581828036,-4.85467226342536,-2.03521937313535
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,-0.13920533498738,-0.00696026674936898,-3.11960575677508,-0.155980287838754,-3.40632303313829,-4.74571240124029,-2.06693366503629,-3.41361538639105,-4.8537520115207,-1.9734787612614
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,-0.198265573593608,-0.00991327867968039,-3.71410566769154,-0.185705283384577,-3.43720807200878,-4.77634867545454,-2.09806746856302,-3.44271230055772,-4.85460417865149,-2.03082042246394
"Isla Hermite","HER42PB","HER42PB_1I",317,354.3,355.4,354.9,-0.379608798587638,-0.0189804399293819,-3.54222530913754,-0.177111265456877,-3.53203993664419,-4.87094898935973,-2.19313088392865,-3.53205376576137,-4.8576503802348,-2.20645715128793
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,-0.905293354735217,-0.0452646677367609,-3.66235405861483,-0.183117702930741,-3.80694210997408,-5.1497137816985,-2.46417043824967,-3.79104016286941,-4.87137448376684,-2.71070584197197
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,-1.0356764934746,-0.05178382467373,-3.40250884434363,-0.170125442217181,-3.87512484006549,-5.21989342571417,-2.5303562544168,-3.85527537569972,-4.87633603843764,-2.8342147129618
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,-0.682217415603401,-0.0341108707801701,-3.33255759448242,-0.166627879724121,-3.69028648490807,-5.03059703939118,-2.34997593042497,-3.68113844884412,-4.86449126668306,-2.49778563100518
"Isla Hermite","HER42PB","HER42PB_1J",340,376.7,377.9,377.3,0.12775936790754,0.00638796839537698,-3.52840480223643,-0.176420240111821,-3.26671616021433,-4.60829076655478,-1.92514155387389,-3.28209121329291,-4.85062499856459,-1.71355742802123
"Isla Hermite","HER42PB","HER42PB_1J",342,379.6,380.9,380.3,-0.450845970965221,-0.0225422985482611,-3.57349089279426,-0.178674544639713,-3.56929279727983,-4.90833063660742,-2.23025495795224,-3.56714982935783,-4.85904469930045,-2.27525495941522
"Isla Hermite","HER42PB","HER42PB_1J",346,385.3,386.5,385.9,-0.46110977524052,-0.023055488762026,-3.28316534067335,-0.164158267033668,-3.57466016458959,-4.91372677403105,-2.23559355514813,-3.57220644678894,-4.85925567169413,-2.28515722188376
"Isla Hermite","HER42PB","HER42PB_1J",349,389.6,390.9,390.2,-1.21703589444577,-0.0608517947222885,-3.46090371208265,-0.173045185604133,-3.96996516378766,-5.31819240983826,-2.62173791773705,-3.94462481024162,-4.88468683067611,-3.00456278980714
"Isla Hermite","HER42PB","HER42PB_1J",352,394,395.2,394.6,-0.503015979186926,-0.0251507989593463,-3.74683122749566,-0.187341561374783,-3.59657465000894,-4.93578541508524,-2.25736388493263,-3.59285216797218,-4.86014460885133,-2.32555972709303
"Isla Hermite","HER42PB","HER42PB_1J",353,395.4,396.6,396,-0.311051679534142,-0.0155525839767071,-3.60852345428355,-0.180426172714178,-3.49618858661946,-4.83509074585034,-2.15728642738857,-3.49827807071358,-4.85641796128125,-2.14013818014591
"Kerguelen","KER1","CAT1-S1-1A",1,0,1.4,0.7,-0.761562281209277,-0.0380781140604638,-2.96855198920272,-0.148427599460136,-3.73177919330619,-5.07282659022579,-2.39073179638659,-3.72022888936016,-4.86673281646757,-2.57372496225275
"Kerguelen","KER1","CAT1-S1-1A",3,3.1,4.7,3.9,0.0858670116761199,0.00429335058380599,-3.05090324346936,-0.152545162173468,-3.28862340409139,-4.62974037095959,-1.94750643722319,-3.30273011219124,-4.85104408219924,-1.75441614218323
"Kerguelen","KER1","CAT1-S1-1A",5,6.4,7.8,7.1,-0.204152506329774,-0.0102076253164887,-3.12368071436122,-0.156184035718061,-3.44028659235809,-4.7794070662367,-2.10116611847949,-3.445612586445,-4.85469266410203,-2.03653250878796
"Kerguelen","KER1","CAT1-S1-1A",7,9.3,10.6,9.9,0.144062997434838,0.00720314987174188,-3.12463192612846,-0.156231596306423,-3.2581903187419,-4.59995455034213,-1.91642608714167,-3.27405898517877,-4.85046848203784,-1.69764948831969
"Kerguelen","KER1","CAT1-S1-1A",8,10.7,12,11.4,-0.483433505850582,-0.0241716752925291,-3.0907228746656,-0.15453614373328,-3.58633416564168,-4.92547223143519,-2.24719609984818,-3.58320456817771,-4.85972363854404,-2.30668549781137
"Kerguelen","KER1","CAT1-S1-1A",9,12.1,13.6,12.8,-0.886979621915883,-0.0443489810957941,-3.30480663852024,-0.165240331926012,-3.79736510244182,-5.13988921882327,-2.45484098606038,-3.78201762715857,-4.87073781442247,-2.69329743989466
"Kerguelen","KER1","CAT1-S1-1A",11,15.1,16.5,15.8,-0.448149145459181,-0.022407457272959,-3.35191297259256,-0.167595648629628,-3.56788251580203,-4.90691322250722,-2.22885180909683,-3.56582119774165,-4.85898969780308,-2.27265269768021
"Kerguelen","KER1","CAT1-S1-1A",13,18,19.4,18.7,-0.167195871122396,-0.00835979355611978,-3.09617522957328,-0.154808761478664,-3.42096044092629,-4.76022129843321,-2.08169958341937,-3.4274053446882,-4.85414791908829,-2.00066277028811
"Kerguelen","KER1","CAT1-S1-1A",17,24,25.5,24.7,0.211524876443536,0.0105762438221768,-3.43196518733426,-0.171598259366713,-3.22291171498699,-4.56552913165681,-1.88029429831716,-3.24082287659943,-4.84985856389312,-1.63178718930574
"Kerguelen","KER1","CAT1-S1-1A",20,28.6,30,29.3,-0.0316584000665127,-0.00158292000332564,-3.08030305950835,-0.154015152975417,-3.35008229751277,-4.69014321433795,-2.0100213806876,-3.36063077257761,-4.8523571428713,-1.86890440228392
"Kerguelen","KER1","CAT1-S1-1A",23,33,34.4,33.7,-0.603610378492878,-0.0301805189246439,-3.10786139289343,-0.155393069644672,-3.64917961751393,-4.98891134304664,-2.30944789198123,-3.64241151062515,-4.86246980051781,-2.4223532207325
"Kerguelen","KER1","CAT1-S1-1A",25,35.9,37.2,36.6,-0.668867702707079,-0.033443385135354,-3.13214520371336,-0.156607260185668,-3.68330536848452,-5.02350700916985,-2.34310372779919,-3.67456151215269,-4.86413449211296,-2.48498853219242
"Kerguelen","KER1","CAT1-S1-1A",26,37.3,38.7,38,-0.328863246704772,-0.0164431623352386,-3.12721076704203,-0.156360538352102,-3.50550299098679,-4.84439590173604,-2.16661008023753,-3.50705320697053,-4.85672827211768,-2.15737814182338
"Kerguelen","KER1","CAT1-S1-1A",27,38.8,40.1,39.4,-0.339329140481916,-0.0169664570240958,-2.96993951394437,-0.148496975697218,-3.51097603924649,-4.8498671303114,-2.17208494818158,-3.51220938683193,-4.85691379633237,-2.1675049773315
"Kerguelen","KER1","CAT1-S1-1A",28,40.2,41.6,40.9,-0.150983513934891,-0.00754917569674454,-3.0399658549383,-0.151998292746915,-3.4124823295313,-4.75181529149946,-2.07314936756314,-3.41941808326399,-4.85391688544992,-1.98491928107806
"Kerguelen","KER1","CAT1-S1-1B",36,45.1,46.2,45.6,0.00835062199083492,0.00041753109954174,-3.05211879558917,-0.152605939779458,-3.32915992688623,-4.66954261028837,-1.9887772434841,-3.3409197265648,-4.85188653651556,-1.82995291661405
"Kerguelen","KER1","CAT1-S1-1B",40,50.7,52.1,51.4,-0.228183818018436,-0.0114091909009218,-2.84926424463625,-0.142463212231813,-3.45285355810576,-4.79190063743864,-2.11380647877287,-3.4574519733154,-4.85506074198165,-2.05984320464916
"Kerguelen","KER1","CAT1-S1-1B",41,52.3,53.6,53,-0.223148727620954,-0.0111574363810477,-3.2382312637275,-0.161911563186375,-3.45022050130963,-4.7892817906831,-2.11115921193617,-3.45497136035862,-4.85498270018484,-2.05496002053241
"Kerguelen","KER1","CAT1-S1-1B",46,59.9,61.2,60.5,-0.0778589307829037,-0.00389294653914518,-3.23729353444107,-0.161864676722053,-3.3742424638224,-4.71398034035163,-2.03450458729318,-3.38339215838359,-4.85293251339538,-1.91385180337179
"Kerguelen","KER1","CAT1-S1-1B",49,64.4,65.8,65.1,-0.423815414093247,-0.0211907707046624,-4.94738531791702,-0.247369265895851,-3.5551574023105,-4.8941317821064,-2.2161830225146,-3.55383281927217,-4.85850142837752,-2.24916421016681
"Kerguelen","KER1","CAT1-S1-1B",51,67.6,68.9,68.3,-0.161517413940707,-0.00807587069703537,-3.88443018370373,-0.194221509185186,-3.41799094105769,-4.75727632357803,-2.07870555853735,-3.42460776741601,-4.8540664554211,-1.99514907941092
"Kerguelen","KER1","CAT1-S1-1B",57,76.5,77.9,77.2,0.234913433386466,0.0117456716693233,-2.95253580550192,-0.147626790275096,-3.2106808722516,-4.55361983021294,-1.86774191429026,-3.22930015251449,-4.84966084032655,-1.60893946470242
"Kerguelen","KER1","CAT1-S1-1C",69,86.1,87.5,86.8,-0.637139397526764,-0.0318569698763382,-3.001489381657,-0.15007446908285,-3.66671332683494,-5.00667353114319,-2.3267531225267,-3.65893008576038,-4.86330895021767,-2.4545512213031
