"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","K","K_sd","K_ICP","K_ICP_sd","fit","lwr","upr"
"Isla Hermite","HER42PB","HER42PB_1G",231,256.4,257.6,257,3049.39,0.0454464469868557,0.022216568800664,4369.778556,96.13512824,4017.43483031417,-7897.97656185885,15932.8462224872
"Isla Hermite","HER42PB","HER42PB_1G",232,257.7,258.9,258.3,3062.22846153846,0.0339300777450994,0.0161652936685385,1951.694876,106.5625402,3753.199668531,-8163.377040581,15669.776377643
"Isla Hermite","HER42PB","HER42PB_1G",236,263.2,264.4,263.8,3116.22307692308,0.0697354688197678,0.036612499817993,1649.869327,81.99850555,4574.72971022338,-7339.21049144031,16488.6699118871
"Isla Hermite","HER42PB","HER42PB_1G",240,268.6,269.8,269.2,3169.09230769231,0.045106261884822,0.0203093828730812,2991.060367,80.75862991,4009.62951740825,-7905.81198513304,15925.0710199495
"Isla Hermite","HER42PB","HER42PB_1G",245,275.2,276.4,275.8,3233.34153846154,0.0392141782050201,0.0233177406224293,2493.852742,47.13381682,3874.439714816,-8041.56495743472,15790.4443870667
"Isla Hermite","HER42PB","HER42PB_1G",253,285.8,286.9,286.3,3335.24833333333,0.0783404952656327,0.0287847619428459,3156.428577,21.77935718,4772.16611638057,-7141.57404880861,16685.9062815698
"Isla Hermite","HER42PB","HER42PB_1H",260,285,286.2,285.6,3328.03692307692,0.0668229460986768,0.0244011684270136,3752.970488,41.28267537,4507.90388202622,-7406.14209094688,16421.9498549993
"Isla Hermite","HER42PB","HER42PB_1H",264,290.3,291.5,290.9,3378.91846153846,0.0360341510747359,0.0193324757412554,2146.234669,24.89632216,3801.47618216034,-8114.86515984792,15717.8175241686
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,3442.75846153846,0.0652695732379928,0.0285402391885446,3230.055285,67.83116098,4472.26281143044,-7441.84744563624,16386.3730684971
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,3494.21153846154,0.0439305399378878,0.027807172601692,2161.527815,32.20676445,3982.6533869683,-7932.89420239463,15898.2009763312
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,3563.64071428571,0.0677156459463639,0.0259765310638713,3158.319141,36.63650203,4528.38626529526,-7385.62524233666,16442.3977729272
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,3603.44,0.10539013693944,0.0210867580849991,4932.545491,13.81112737,5392.80151750508,-6521.40428123531,17307.0073162455
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,3669.60384615385,0.060783058476186,0.0268330901822883,3296.461851,35.93143418,4369.32281975058,-7545.00385278443,16283.6494922856
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,3782.35692307692,0.0482354229577855,0.0278271113021919,3630.013724,38.11514411,4081.42596340636,-7833.74847125622,15996.600398069
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,3810.93642857143,0.0481420073283272,0.013228676216081,1910.49941,34.9621392,4079.28260611685,-7835.89947970123,15994.4646919349
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,4016.98,0.032132156495329,0.0236159474875945,1824.238565,12.03997453,3711.94760354997,-8204.83818117335,15628.7333882733
"Isla Hermite","HER42PB","HER42PB_1I",317,354.3,355.4,354.9,4144.90083333333,0.151588277462104,0.0482524654903247,6392.588844,82.46439609,6452.78603856638,-5466.05402378053,18371.6261009133
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,4223.08571428571,0.160464594150144,0.0673710769101825,4495.825694,27.8741193,6656.44701251282,-5263.83771782317,18576.7317428488
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,4273.55307692308,0.226131458801412,0.0631056344736212,7640.061698,169.6093697,8163.1280020393,-3773.38450000364,20099.6405040822
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,4438.2275,0.147109505492156,0.0401338310353468,7405.052803,51.83536962,6350.02369991383,-5568.15520437402,18268.2026042017
"Isla Hermite","HER42PB","HER42PB_1J",340,376.7,377.9,377.3,4574.44,0.0506273023517169,0.0259975613531787,6938.306145,81.87201251,4136.30598899027,-7778.6792836043,16051.2912615848
"Isla Hermite","HER42PB","HER42PB_1J",342,379.6,380.9,380.3,4631.57428571429,0.0549896972258228,0.0188874438329562,8950.558177,82.34513523,4236.39813531899,-7678.27556321587,16151.0718338539
"Isla Hermite","HER42PB","HER42PB_1J",346,385.3,386.5,385.9,4743.01769230769,0.0638309218273225,0.043142465364425,2336.807871,32.71531019,4439.25394550509,-7474.92073232539,16353.4286233356
"Isla Hermite","HER42PB","HER42PB_1J",349,389.6,390.9,390.2,4828.70428571429,0.17980807905279,0.0383812599757137,4675.210641,39.73929045,7100.26995318137,-4823.78136109368,19024.3212674564
"Isla Hermite","HER42PB","HER42PB_1J",352,394,395.2,394.6,4912.70923076923,0.0897530917274127,0.0286068344335803,3450.956197,49.34867362,5034.02028318781,-6879.71382650442,16947.75439288
"Isla Hermite","HER42PB","HER42PB_1J",353,395.4,396.6,396,4939.73076923077,0.121895780758495,0.0433002017821921,6847.805483,156.129965,5771.51214872121,-6143.79350984483,17686.8178072872
"Kerguelen","KER1","CAT1-S1-1A",1,0,1.4,0.7,-43.6,0.0857318930286392,0.0232400710395689,6749.372655,1924.888147,4941.7566481456,-6971.94586618429,16855.4591624755
"Kerguelen","KER1","CAT1-S1-1A",3,3.1,4.7,3.9,3.97058823529412,0.0960129598625881,0.0691568270237385,8470.459825,2421.09846,5177.64864684274,-6736.20768104479,17091.5049747303
"Kerguelen","KER1","CAT1-S1-1A",5,6.4,7.8,7.1,59.76,0.181214094726284,0.0787211697056077,7270.581826,2083.787413,7132.53001459103,-4791.82811162641,19056.8881408085
