"Location","Site","Section","sample","min_depth","max_depth","midpoint","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","Mn_fit_OLS","Mn_lwr_OLS","Mn_upr_OLS","Mn_fit_WLS","Mn_lwr_WLS","Mn_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1G",224,246.9,248.1,247.5,-7.06736784780542,-9.370509124129,4.51585615126129,0.826976696928668,4.24134162990694,3.0843022093266,5.39838105048727,4.25904922238562,3.00947057345049,5.50862787132076
"Isla Hermite","HER42PB","HER42PB_1G",231,256.4,257.6,257,-7.05105075694746,-9.35421074239589,5.7054543862328,0.838919436067086,4.25475193294833,3.0977709178216,5.41173294807507,4.27210172764062,3.02505078336281,5.51915267191842
"Isla Hermite","HER42PB","HER42PB_1G",232,257.7,258.9,258.3,-7.05373063469226,-9.35652288215426,4.61246139738606,0.147053153298342,4.25254945868472,3.09555894087583,5.4095399764936,4.26995801718075,3.02249197690262,5.51742405745888
"Isla Hermite","HER42PB","HER42PB_1G",236,263.2,264.4,263.8,-6.8475891151827,-9.15017703300491,4.35635408659728,0.129620336656207,4.42196815409443,3.26560561375625,5.57833069443261,4.43485648407619,3.21926403511698,5.65044893303541
"Isla Hermite","HER42PB","HER42PB_1G",240,268.6,269.8,269.2,-7.04420865071842,-9.34730622704934,5.11160419611975,1.52888493761309,4.26037516068982,3.10341824736557,5.41733207401407,4.27757492309483,3.03158369201315,5.52356615417652
"Isla Hermite","HER42PB","HER42PB_1G",245,275.2,276.4,275.8,-7.17582689946498,-9.47821981713178,4.72478547360075,0.158836000834196,4.1522038808438,2.99474304513365,5.30966471655394,4.17228974092771,2.90589209627611,5.43868738557932
"Isla Hermite","HER42PB","HER42PB_1G",253,285.8,286.9,286.3,-6.0419468020559,-8.3445306329169,5.20264696582195,0.349015420239094,5.08409032133921,3.92817689922588,6.24000374345254,5.07931269365867,3.98703606218109,6.17158932513625
"Isla Hermite","HER42PB","HER42PB_1H",260,285,286.2,285.6,-6.22146505369881,-8.52405165701477,5.44778421577514,1.12779297218259,4.93655212491991,3.78081532610905,6.09228892373077,4.93571093625389,3.81614871240454,6.05527316010323
"Isla Hermite","HER42PB","HER42PB_1H",264,290.3,291.5,290.9,-6.95828044740136,-9.26058158841293,4.59947401737917,1.25276482106508,4.33099579131053,3.17432199744035,5.48766958518071,4.34631133788295,3.11361817824497,5.57900449752094
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,-6.36993179930305,-8.67251455622783,5.30180111225309,1.28995777181251,4.81453380269236,3.65882319403861,5.97024441134611,4.81694816205226,3.67473128743917,5.95916503666535
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,-6.7621806975553,-9.06476924865696,4.66286652456503,0.725525710910556,4.49216159559941,3.33599804997899,5.64832514121982,4.50317710750145,3.30075576501959,5.70559844998331
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,-6.37940609360656,-8.68199118660061,5.32965354899277,-0.354326298452766,4.80674729474069,3.65103467302447,5.96245991645692,4.80936940446241,3.66570423763482,5.95303457129
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,-6.04589792429404,-8.34848470679692,5.70013486554465,0.61692887876465,5.0808430668483,3.9249352395549,6.2367508941417,5.07615207855728,3.98327622283733,6.16902793427722
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,-6.48553663177071,-8.78812303594698,5.13968637451095,0.885173060226814,4.71952324903812,3.56375786913303,5.87528862894321,4.72447256720376,3.56456311133882,5.88438202306869
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,-6.96625765435747,-9.26902936832486,5.41347749427578,0.948069250469107,4.32443967394643,3.16774112332369,5.48113822456918,4.33993014305961,3.10600328192081,5.57385700419841
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,-6.99948138924381,-9.30245566088399,4.26295183583182,-0.0798540857970944,4.29713453990806,3.14032952004487,5.45393955977125,4.31335353219377,3.07428666285963,5.55242040152791
