C:\Data\BAS2023_Mo_batch\MI1K__xrf     2023-09-05  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	Fe	Ni	Cu	Zn	Se	Br	Rb	Sr	Y	Zr	Tc	Rh	Pd	Ag	Cd	In	Sb	Te	I	Dy	Tm	Yb	Lu	Hf	Pb	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W lb2	W La in	W Lb1 in	W Lb2 in	Mo inc	Mo coh	Dt	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000256.spe	274.00	5.40	1	0.017518	-0.011353	0.012317	0.089277	28668	2.27	0.022	0.060	0.236	0.000	0.020	0.000	0.424	1.246	12.106	16.234	151.830	0.397	0.000	0.596	0.000	0.028	0.408	7.150	0.489	2.982	0.000	0.000	0.000	0.000	0.032	0.000	0.697	0.243	0.000	0.000	1.457	0.000	0.041	0.177	0.000	0.396	0.022	0.000	0.683	5.873	0.439	0.105	0.000	0.000	0.129	0.117	50.147	16.384	0.216	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000257.spe	275.00	5.41	1	0.017520	-0.011353	0.012352	0.089277	29686	2.46	0.000	0.033	0.308	0.000	0.051	0.031	0.186	1.372	13.938	17.245	162.160	0.223	0.000	0.467	0.000	0.161	0.417	7.550	0.746	2.782	0.000	0.000	0.049	0.098	0.000	0.012	0.686	0.262	0.000	0.000	1.341	0.000	0.000	0.000	0.000	0.684	0.108	0.000	0.630	6.305	0.000	0.000	0.000	0.000	0.000	0.000	48.962	16.325	0.218	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000258.spe	276.00	5.41	1	0.017519	-0.011353	0.012364	0.089277	30058	2.64	0.000	0.118	0.373	0.013	0.039	0.016	0.421	1.517	13.953	16.875	165.755	0.187	0.000	0.581	0.000	0.165	0.090	7.316	0.508	3.032	0.000	0.000	0.000	0.000	0.000	0.000	0.782	0.151	0.000	0.000	1.456	0.000	0.000	0.000	0.000	0.776	0.612	0.000	0.574	6.443	0.191	0.050	0.000	0.000	0.027	0.219	47.404	15.942	0.220	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000259.spe	277.00	5.42	1	0.017518	-0.011353	0.012347	0.089277	30248	2.75	0.046	0.059	0.227	0.047	0.000	0.000	0.767	1.552	13.936	17.246	166.571	0.243	0.000	0.566	0.130	0.182	0.507	7.276	0.459	3.074	0.000	0.000	0.000	0.000	0.026	0.000	0.688	0.167	0.000	0.000	1.948	0.000	0.000	0.000	0.117	0.427	0.139	0.000	0.763	6.263	0.025	0.289	0.000	0.000	0.246	0.045	49.157	16.732	0.220	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000260.spe	278.00	5.40	1	0.017519	-0.011353	0.012300	0.089277	31505	2.91	0.000	0.037	0.327	0.039	0.037	0.035	0.253	1.671	14.884	19.241	175.346	0.510	0.000	0.603	0.000	0.079	0.399	7.207	0.611	2.862	0.000	0.000	0.049	0.021	0.000	0.000	0.855	0.145	0.000	0.000	1.598	0.000	0.000	0.000	0.000	0.460	0.446	0.000	0.663	6.706	0.217	0.000	0.000	0.000	0.085	0.000	51.665	16.500	0.227	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000261.spe	279.00	5.40	1	0.017521	-0.011353	0.012337	0.089277	32750	2.86	0.000	0.116	0.264	0.000	0.000	0.000	0.236	1.619	15.803	19.021	185.890	0.616	0.000	0.602	0.000	0.036	0.973	7.850	0.958	3.479	0.000	0.000	0.000	0.101	0.000	0.000	0.881	0.210	0.000	0.000	1.779	0.000	0.000	0.000	0.000	0.535	0.000	0.000	0.961	6.453	0.311	0.000	0.000	0.000	0.000	0.000	53.518	17.483	0.230	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000262.spe	280.00	5.38	1	0.017523	-0.011353	0.012281	0.089277	32371	2.75	0.021	0.049	0.343	0.030	0.049	0.000	0.478	1.489	15.099	18.598	181.619	0.612	0.000	0.619	0.000	0.117	0.000	7.716	0.565	3.246	0.000	0.000	0.000	0.000	0.022	0.000	0.694	0.298	0.000	0.000	1.879	0.000	0.000	0.000	0.000	0.499	0.890	0.000	0.743	6.288	0.430	0.197	0.075	0.000	0.322	0.061	51.855	17.404	0.229	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000263.spe	281.00	5.44	1	0.017519	-0.011353	0.012245	0.089277	28277	2.18	0.000	0.037	0.199	0.000	0.038	0.000	0.235	0.986	11.725	14.592	146.939	0.227	0.000	0.563	0.000	0.057	0.710	7.086	0.403	2.997	0.022	0.000	0.011	0.166	0.000	0.118	0.569	0.286	0.000	0.000	1.290	0.000	0.000	0.000	0.000	0.460	0.000	0.000	0.583	5.234	0.000	0.000	0.000	0.000	0.230	0.000	49.571	16.096	0.217	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000264.spe	282.00	5.37	1	0.017517	-0.011353	0.012229	0.089277	31418	2.66	0.000	0.020	0.295	0.029	0.115	0.000	0.529	1.384	14.306	18.708	175.793	0.206	0.000	0.580	0.000	0.084	0.456	7.274	0.360	3.138	0.000	0.018	0.000	0.000	0.047	0.071	0.620	0.348	0.000	0.000	1.639	0.000	0.000	0.000	0.000	0.559	0.000	0.160	0.542	5.972	0.000	0.000	0.000	0.000	0.032	0.000	51.319	16.259	0.225	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000265.spe	283.00	5.35	1	0.017520	-0.011353	0.012184	0.089277	31876	2.56	0.000	0.083	0.242	0.000	0.031	0.000	0.344	1.227	14.092	17.993	177.989	0.400	0.000	0.612	0.144	0.201	0.902	7.657	0.429	3.148	0.000	0.000	0.000	0.000	0.000	0.021	0.632	0.062	0.000	0.000	1.703	0.000	0.000	0.000	0.020	0.581	0.000	0.064	0.534	5.598	0.086	0.166	0.000	0.000	0.174	0.017	50.850	16.884	0.226	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000266.spe	284.00	5.38	1	0.017523	-0.011353	0.012225	0.089277	30526	2.43	0.000	0.082	0.264	0.011	0.069	0.000	0.277	1.181	12.943	16.376	167.791	0.361	0.000	0.724	0.087	0.106	0.460	7.464	0.314	2.917	0.000	0.000	0.036	0.062	0.000	0.037	0.534	0.213	0.000	0.000	1.703	0.000	0.000	0.000	0.000	0.677	0.109	0.000	0.549	6.228	0.168	0.222	0.000	0.000	0.303	0.000	49.620	15.928	0.223	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000267.spe	285.00	5.35	1	0.017523	-0.011353	0.012265	0.089277	30066	2.49	0.000	0.067	0.232	0.031	0.105	0.000	0.400	1.247	12.568	16.122	164.878	0.338	0.000	0.594	0.063	0.246	0.328	7.162	0.660	2.741	0.013	0.000	0.000	0.000	0.029	0.015	0.740	0.341	0.000	0.000	1.663	0.000	0.000	0.000	0.000	0.467	0.000	0.000	0.740	5.751	0.053	0.112	0.000	0.000	0.107	0.000	50.043	16.464	0.221	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000268.spe	286.00	5.37	1	0.017518	-0.011353	0.012208	0.089277	27768	2.15	0.025	0.063	0.214	0.030	0.051	0.052	0.358	1.011	11.044	14.299	143.388	0.245	0.000	0.370	0.076	0.206	0.505	6.873	0.341	2.900	0.000	0.000	0.071	0.019	0.000	0.000	0.549	0.000	0.000	0.000	1.396	0.000	0.000	0.000	0.000	0.719	0.097	0.000	0.557	5.534	0.021	0.147	0.000	0.000	0.184	0.023	47.701	15.634	0.215	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000269.spe	287.00	5.32	1	0.017521	-0.011353	0.012208	0.089277	30272	2.55	0.000	0.075	0.239	0.000	0.110	0.033	0.260	1.110	13.370	16.687	164.737	0.252	0.000	0.447	0.000	0.039	0.209	6.921	0.528	2.475	0.000	0.000	0.034	0.095	0.000	0.081	0.610	0.251	0.000	0.000	1.554	0.000	0.000	0.000	0.000	0.507	0.319	0.000	0.753	6.202	0.182	0.145	0.000	0.000	0.174	0.000	51.536	16.018	0.222	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000270.spe	288.00	5.33	1	0.017522	-0.011353	0.012253	0.089277	29388	2.50	0.000	0.084	0.199	0.051	0.081	0.000	0.558	1.111	11.599	15.318	159.035	0.391	0.000	0.498	0.128	0.177	0.258	6.850	0.521	2.851	0.000	0.000	0.000	0.000	0.000	0.000	0.594	0.177	0.000	0.000	1.580	0.000	0.000	0.000	0.035	0.389	0.287	0.139	0.580	5.638	0.307	0.245	0.231	0.000	0.229	0.000	47.729	16.425	0.217	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000271.spe	289.00	5.36	1	0.017523	-0.011353	0.012296	0.089277	28037	2.42	0.000	0.055	0.172	0.000	0.023	0.000	0.329	1.048	11.234	13.493	148.316	0.346	0.000	0.439	0.148	0.157	0.440	6.827	0.558	2.862	0.000	0.000	0.000	0.000	0.000	0.000	0.625	0.135	0.000	0.000	1.555	0.000	0.061	0.166	0.000	0.641	0.040	0.000	0.843	5.325	0.328	0.131	0.000	0.000	0.121	0.123	48.197	15.675	0.214	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000272.spe	290.00	5.35	1	0.017522	-0.011353	0.012300	0.089277	27047	2.34	0.000	0.056	0.139	0.030	0.035	0.000	0.406	0.855	11.086	13.468	141.009	0.358	0.000	0.421	0.159	0.062	0.152	6.124	0.474	2.737	0.000	0.000	0.000	0.000	0.020	0.074	0.520	0.168	0.000	0.000	1.785	0.000	0.000	0.035	0.000	0.278	0.168	0.000	0.579	5.220	0.039	0.158	0.000	0.000	0.148	0.000	43.306	14.697	0.209	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000273.spe	291.00	5.34	1	0.017522	-0.011353	0.012145	0.089277	28595	2.33	0.000	0.106	0.228	0.000	0.019	0.018	0.268	1.091	11.907	15.266	152.225	0.183	0.000	0.328	0.000	0.237	0.527	6.774	0.336	2.895	0.000	0.000	0.058	0.082	0.000	0.000	0.667	0.177	0.000	0.000	1.688	0.000	0.000	0.000	0.000	0.457	0.000	0.000	0.685	5.093	0.000	0.216	0.000	0.000	0.351	0.000	47.329	15.752	0.216	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000274.spe	292.00	5.34	1	0.017522	-0.011353	0.012136	0.089277	29499	2.43	0.027	0.077	0.277	0.000	0.000	0.000	0.517	1.346	14.042	16.777	159.783	0.320	0.000	0.606	0.015	0.160	0.122	6.913	0.475	2.729	0.000	0.000	0.000	0.000	0.036	0.000	0.704	0.276	0.000	0.000	1.260	0.000	0.000	0.067	0.000	0.428	0.461	0.000	0.728	5.588	0.307	0.027	0.049	0.000	0.192	0.176	49.376	16.090	0.218	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000275.spe	293.00	5.35	1	0.017518	-0.011353	0.012243	0.089277	29977	2.20	0.000	0.065	0.281	0.000	0.022	0.000	0.190	1.415	15.190	17.867	165.588	0.290	0.000	0.427	0.000	0.070	0.236	7.166	0.795	3.164	0.000	0.000	0.000	0.129	0.000	0.000	0.802	0.150	0.000	0.000	1.222	0.000	0.000	0.000	0.000	0.638	0.149	0.064	0.718	6.004	0.248	0.263	0.000	0.000	0.308	0.000	50.149	16.023	0.220	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000276.spe	294.00	5.35	1	0.017521	-0.011353	0.012255	0.089277	30995	2.55	0.000	0.120	0.310	0.000	0.000	0.000	0.370	1.493	16.292	18.376	175.228	0.084	0.000	0.446	0.000	0.079	0.546	7.600	0.568	2.809	0.012	0.000	0.037	0.000	0.016	0.000	0.752	0.255	0.000	0.000	1.469	0.000	0.000	0.000	0.000	0.543	0.000	0.000	0.641	6.023	0.000	0.000	0.000	0.000	0.202	0.000	48.660	16.458	0.223	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000277.spe	295.00	5.32	1	0.017523	-0.011353	0.012288	0.089277	31637	2.47	0.000	0.064	0.270	0.000	0.000	0.000	0.309	1.300	15.741	18.385	179.500	0.214	0.000	0.563	0.019	0.323	0.219	7.396	0.363	2.773	0.000	0.000	0.039	0.000	0.000	0.000	0.499	0.155	0.000	0.000	1.758	0.000	0.000	0.000	0.000	0.631	0.382	0.000	0.684	5.893	0.045	0.291	0.000	0.000	0.304	0.000	52.025	16.453	0.224	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000278.spe	296.00	5.37	1	0.017524	-0.011353	0.012331	0.089277	28443	2.37	0.065	0.073	0.266	0.018	0.058	0.041	0.567	0.960	11.582	15.503	147.833	0.322	0.000	0.597	0.143	0.259	0.216	6.880	0.430	2.827	0.000	0.000	0.000	0.000	0.083	0.000	0.618	0.182	0.000	0.000	1.484	0.000	0.000	0.040	0.086	0.557	0.663	0.000	0.544	5.226	0.113	0.185	0.045	0.000	0.432	0.000	49.322	15.542	0.216	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000279.spe	297.00	5.33	1	0.017526	-0.011353	0.012349	0.089277	30047	2.90	0.029	0.123	0.245	0.075	0.000	0.016	0.463	1.085	12.795	17.188	158.856	0.436	0.000	0.610	0.144	0.156	0.259	7.081	0.544	3.029	0.000	0.000	0.000	0.000	0.000	0.000	0.655	0.383	0.000	0.130	1.296	0.000	0.000	0.000	0.000	0.536	0.325	0.000	0.600	5.202	0.647	0.274	0.170	0.000	0.361	0.206	50.148	16.721	0.223	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000280.spe	298.00	5.34	1	0.017520	-0.011353	0.012349	0.089277	29669	2.46	0.000	0.040	0.265	0.000	0.030	0.010	0.243	1.296	12.982	16.008	154.650	0.410	0.000	0.497	0.052	0.050	0.568	7.214	0.579	3.261	0.000	0.000	0.025	0.064	0.000	0.000	0.615	0.128	0.000	0.000	1.676	0.000	0.000	0.000	0.063	0.554	0.000	0.000	0.629	5.479	0.254	0.131	0.000	0.000	0.380	0.133	51.306	16.196	0.223	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000281.spe	299.00	5.32	1	0.017518	-0.011353	0.012371	0.089277	29876	2.27	0.025	0.033	0.220	0.000	0.013	0.000	0.227	1.199	13.138	16.192	154.232	0.239	0.000	0.559	0.169	0.260	0.194	7.141	0.486	3.079	0.000	0.000	0.000	0.000	0.000	0.000	0.614	0.000	0.000	0.000	1.549	0.000	0.000	0.000	0.000	0.514	0.625	0.000	0.633	5.721	0.000	0.229	0.000	0.000	0.067	0.031	51.173	15.980	0.224	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000282.spe	300.00	5.33	1	0.017518	-0.011353	0.012240	0.089277	29677	2.25	0.026	0.062	0.219	0.000	0.010	0.000	0.387	1.189	12.169	16.491	153.451	0.332	0.000	0.615	0.122	0.220	0.566	7.306	0.481	3.006	0.000	0.000	0.000	0.000	0.036	0.000	0.709	0.197	0.000	0.000	1.348	0.000	0.000	0.000	0.000	0.598	0.000	0.000	0.615	5.627	0.230	0.051	0.207	0.000	0.011	0.000	52.795	16.797	0.225	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000283.spe	301.00	5.33	1	0.017516	-0.011353	0.012260	0.089277	30609	2.51	0.000	0.036	0.249	0.000	0.000	0.000	0.386	1.114	13.253	17.491	162.176	0.462	0.000	0.523	0.059	0.052	0.507	7.511	0.575	2.976	0.000	0.000	0.000	0.000	0.000	0.000	0.850	0.157	0.000	0.000	1.696	0.000	0.000	0.000	0.000	0.700	0.000	0.000	0.703	6.315	0.195	0.000	0.000	0.000	0.325	0.133	53.737	16.700	0.226	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000284.spe	302.00	5.32	1	0.017516	-0.011353	0.012260	0.089277	31118	2.30	0.023	0.057	0.239	0.016	0.000	0.000	0.399	1.418	13.874	17.177	166.684	0.160	0.000	0.553	0.000	0.000	0.348	7.096	0.316	3.159	0.000	0.000	0.000	0.000	0.054	0.000	0.731	0.000	0.000	0.000	1.632	0.000	0.000	0.000	0.000	0.604	0.065	0.099	0.523	5.825	0.000	0.059	0.000	0.000	0.315	0.000	55.631	17.310	0.230	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000285.spe	303.00	5.35	1	0.017515	-0.011353	0.012281	0.089277	29378	2.36	0.000	0.083	0.172	0.011	0.044	0.000	0.330	1.115	12.235	16.838	152.218	0.207	0.000	0.416	0.043	0.190	0.264	6.975	0.512	3.148	0.000	0.016	0.000	0.048	0.011	0.000	0.638	0.256	0.000	0.000	1.507	0.000	0.000	0.000	0.000	0.571	0.217	0.000	0.625	5.878	0.000	0.147	0.000	0.000	0.238	0.000	52.290	16.544	0.223	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000286.spe	304.00	5.33	1	0.017516	-0.011353	0.012222	0.089277	30811	2.38	0.000	0.046	0.254	0.000	0.053	0.000	0.392	1.122	13.433	19.801	167.542	0.183	0.000	0.450	0.177	0.216	0.474	7.424	0.580	3.516	0.000	0.000	0.000	0.000	0.000	0.023	0.620	0.242	0.000	0.000	1.622	0.000	0.000	0.000	0.000	0.585	0.380	0.132	0.637	5.927	0.151	0.107	0.058	0.000	0.487	0.000	51.566	16.539	0.226	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000287.spe	305.00	5.34	1	0.017516	-0.011353	0.012183	0.089277	31174	2.37	0.010	0.000	0.161	0.000	0.000	0.000	0.256	1.069	13.057	20.259	172.848	0.290	0.000	0.566	0.015	0.000	0.218	6.971	0.331	2.926	0.000	0.000	0.000	0.085	0.000	0.000	0.750	0.124	0.000	0.000	1.485	0.000	0.000	0.000	0.000	0.443	0.000	0.000	0.643	6.277	0.072	0.096	0.000	0.000	0.146	0.000	52.750	15.790	0.227	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000288.spe	306.00	5.35	1	0.017516	-0.011353	0.012158	0.089277	30433	2.38	0.000	0.061	0.206	0.000	0.011	0.038	0.278	1.065	12.397	19.191	164.015	0.385	0.000	0.477	0.000	0.056	0.318	6.957	0.624	3.282	0.000	0.000	0.000	0.061	0.000	0.000	0.748	0.244	0.000	0.000	1.570	0.000	0.000	0.000	0.000	0.642	0.712	0.000	0.619	6.233	0.169	0.000	0.000	0.000	0.072	0.000	53.735	16.262	0.225	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000289.spe	307.00	5.33	1	0.017516	-0.011353	0.012158	0.089277	31020	2.38	0.000	0.045	0.246	0.000	0.000	0.000	0.315	1.138	12.791	18.671	167.246	0.376	0.000	0.553	0.000	0.000	0.297	6.819	0.542	2.910	0.000	0.000	0.000	0.027	0.000	0.000	0.711	0.074	0.000	0.000	1.682	0.000	0.011	0.023	0.000	0.400	0.000	0.000	0.742	6.234	0.000	0.082	0.000	0.000	0.233	0.000	52.328	16.466	0.225	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000290.spe	308.00	5.34	1	0.017515	-0.011353	0.012180	0.089277	30640	2.45	0.000	0.047	0.146	0.000	0.000	0.000	0.065	1.295	12.467	18.362	161.151	0.338	0.000	0.531	0.080	0.154	0.584	6.850	0.742	3.036	0.000	0.000	0.010	0.230	0.000	0.000	0.603	0.152	0.000	0.000	1.618	0.000	0.000	0.000	0.040	0.340	0.000	0.000	0.658	6.687	0.067	0.017	0.119	0.000	0.247	0.043	53.809	16.288	0.227	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000291.spe	309.00	5.33	1	0.017517	-0.011353	0.012227	0.089277	31253	2.67	0.022	0.138	0.267	0.043	0.027	0.000	0.506	1.338	13.369	18.050	166.049	0.274	0.000	0.437	0.000	0.000	0.204	7.410	0.559	3.356	0.000	0.000	0.030	0.000	0.053	0.000	0.685	0.216	0.000	0.000	1.557	0.000	0.000	0.000	0.000	0.564	0.268	0.000	0.613	6.530	0.045	0.000	0.000	0.000	0.039	0.000	54.980	17.029	0.229	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000292.spe	310.00	5.33	1	0.017520	-0.011353	0.012265	0.089277	31076	2.26	0.000	0.094	0.273	0.042	0.000	0.000	0.533	1.061	12.835	18.365	168.112	0.254	0.000	0.611	0.046	0.124	0.306	6.932	0.519	3.417	0.000	0.000	0.029	0.000	0.063	0.000	0.572	0.272	0.000	0.000	0.994	0.000	0.000	0.000	0.000	0.445	0.203	0.043	0.520	6.300	0.240	0.000	0.000	0.000	0.181	0.090	51.781	16.862	0.227	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000293.spe	311.00	5.33	1	0.017521	-0.011353	0.012244	0.089277	31238	2.36	0.065	0.146	0.329	0.000	0.037	0.000	0.365	1.195	13.735	16.895	170.271	0.409	0.000	0.653	0.081	0.207	0.312	7.077	0.377	2.740	0.000	0.000	0.000	0.097	0.000	0.028	0.533	0.285	0.000	0.000	1.666	0.000	0.000	0.190	0.059	0.271	0.336	0.000	0.648	6.081	0.305	0.000	0.250	0.000	0.425	0.146	53.273	16.458	0.227	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000294.spe	312.00	5.33	1	0.017521	-0.011353	0.012199	0.089277	30927	2.38	0.013	0.107	0.280	0.025	0.029	0.013	0.432	1.264	14.237	16.891	167.216	0.206	0.000	0.452	0.000	0.232	0.335	7.220	0.323	2.858	0.000	0.014	0.000	0.000	0.090	0.000	0.758	0.182	0.000	0.000	1.504	0.000	0.051	0.000	0.100	0.286	0.019	0.000	0.577	5.651	0.038	0.023	0.027	0.000	0.349	0.120	53.250	16.970	0.226	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000295.spe	313.00	5.34	1	0.017518	-0.011353	0.012231	0.089277	30827	2.23	0.000	0.084	0.288	0.000	0.019	0.000	0.360	1.382	14.079	16.831	167.640	0.164	0.000	0.478	0.177	0.229	0.422	7.218	0.631	2.906	0.000	0.022	0.000	0.017	0.000	0.000	0.742	0.191	0.000	0.000	1.367	0.024	0.000	0.000	0.116	0.446	0.236	0.189	0.415	6.131	0.000	0.094	0.080	0.000	0.298	0.112	53.966	16.925	0.225	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000296.spe	314.00	5.34	1	0.017521	-0.011353	0.012185	0.089277	30807	2.54	0.039	0.126	0.262	0.000	0.011	0.019	0.378	1.381	13.903	16.498	167.706	0.317	0.000	0.485	0.087	0.000	0.563	7.266	0.375	3.142	0.010	0.000	0.068	0.000	0.056	0.000	0.774	0.229	0.000	0.000	1.720	0.000	0.000	0.000	0.000	0.439	0.157	0.000	0.738	6.170	0.000	0.074	0.000	0.000	0.221	0.000	50.873	16.493	0.223	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000297.spe	315.00	5.33	1	0.017524	-0.011353	0.012138	0.089277	30585	2.39	0.061	0.146	0.252	0.032	0.015	0.017	0.352	1.328	14.857	16.036	169.547	0.335	0.000	0.668	0.138	0.061	0.125	7.114	0.341	2.689	0.000	0.000	0.015	0.000	0.000	0.000	0.589	0.096	0.000	0.000	1.326	0.000	0.000	0.000	0.000	0.412	0.194	0.000	0.630	5.948	0.108	0.127	0.014	0.000	0.297	0.000	48.679	15.784	0.221	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000298.spe	316.00	5.34	1	0.017525	-0.011353	0.012116	0.089277	29878	2.93	0.000	0.075	0.276	0.000	0.000	0.027	0.340	1.335	14.321	15.786	164.838	0.291	0.000	0.554	0.000	0.015	0.453	7.112	0.461	2.700	0.000	0.000	0.000	0.000	0.000	0.000	0.792	0.211	0.000	0.000	1.729	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.623	5.807	0.126	0.000	0.000	0.000	0.178	0.000	47.657	16.020	0.218	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000299.spe	317.00	5.33	1	0.017519	-0.011353	0.012017	0.089277	29457	2.48	0.030	0.026	0.280	0.000	0.031	0.000	0.311	1.199	13.807	15.635	161.319	0.297	0.000	0.426	0.000	0.161	0.655	6.954	0.505	2.839	0.000	0.000	0.039	0.000	0.000	0.068	0.710	0.364	0.000	0.000	1.308	0.000	0.000	0.000	0.000	0.299	0.000	0.000	0.658	5.974	0.000	0.058	0.000	0.000	0.146	0.055	46.824	15.742	0.218	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000300.spe	318.00	5.32	1	0.017520	-0.011353	0.012043	0.089277	31113	2.66	0.000	0.094	0.369	0.018	0.000	0.000	0.319	1.535	16.150	17.533	178.492	0.305	0.000	0.585	0.085	0.094	0.607	7.479	0.516	2.859	0.000	0.000	0.000	0.024	0.000	0.000	0.879	0.267	0.000	0.000	1.474	0.000	0.000	0.000	0.000	0.393	0.145	0.000	0.714	6.177	0.355	0.000	0.111	0.000	0.085	0.223	48.885	16.476	0.222	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000301.spe	319.00	5.33	1	0.017519	-0.011353	0.012129	0.089277	31727	2.79	0.120	0.087	0.418	0.057	0.000	0.000	0.550	1.488	17.043	18.501	186.561	0.313	0.000	0.510	0.175	0.083	0.303	7.573	0.637	2.661	0.000	0.000	0.000	0.000	0.065	0.038	0.721	0.508	0.000	0.000	1.297	0.000	0.000	0.000	0.000	0.418	0.225	0.000	0.675	6.556	0.282	0.044	0.000	0.000	0.188	0.000	49.816	15.932	0.223	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000302.spe	320.00	5.31	1	0.017520	-0.011353	0.012129	0.089277	33115	2.83	0.000	0.054	0.413	0.000	0.041	0.000	0.351	1.603	17.536	20.235	195.561	0.480	0.000	0.672	0.102	0.127	0.767	7.647	0.656	3.163	0.000	0.014	0.000	0.000	0.010	0.000	0.793	0.174	0.000	0.000	1.449	0.000	0.000	0.000	0.094	0.832	0.000	0.059	0.733	7.019	0.000	0.086	0.000	0.000	0.175	0.000	51.537	16.903	0.230	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000303.spe	321.00	5.34	1	0.017521	-0.011353	0.012173	0.089277	31514	2.75	0.032	0.104	0.273	0.000	0.048	0.017	0.524	1.270	13.522	15.862	175.951	0.492	0.000	0.507	0.176	0.252	0.635	7.906	0.556	3.100	0.000	0.000	0.000	0.000	0.130	0.000	0.648	0.327	0.000	0.000	1.693	0.000	0.000	0.056	0.014	0.718	0.194	0.088	0.794	5.859	0.466	0.415	0.283	0.000	0.236	0.000	53.428	17.188	0.230	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000304.spe	322.00	5.32	1	0.017521	-0.011353	0.012140	0.089277	33596	2.77	0.000	0.094	0.331	0.000	0.000	0.032	0.405	1.526	16.269	18.783	191.339	0.501	0.000	0.668	0.000	0.269	0.417	8.523	0.899	3.222	0.000	0.000	0.000	0.000	0.000	0.000	0.684	0.336	0.000	0.000	1.689	0.000	0.000	0.000	0.079	0.685	0.382	0.000	0.709	6.830	0.220	0.000	0.000	0.000	0.190	0.000	56.591	18.356	0.236	
