"Location","Site","Section","sample","min_depth","max_depth","midpoint","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","fit","lwr","upr"
"Kerguelen","KER1","CAT1-S1-1A",8,10.7,12,11.4,-5.57800719556634,0.000378009,5.92119865236709,8.19883524,5.42384069619463,4.06035241008259,6.78732898230668
"Kerguelen","KER1","CAT1-S1-1A",9,12.1,13.6,12.8,-6.17236791001445,0.000208629,4.9247159918486,3.767816255,5.00332764682464,3.64241099284577,6.36424430080351
"Kerguelen","KER1","CAT1-S1-1A",11,15.1,16.5,15.8,-6.72994387766607,0.00011946,4.76042855096272,2.858430699,4.60883998182087,3.24848701416943,5.9691929494723
"Kerguelen","KER1","CAT1-S1-1A",13,18,19.4,18.7,-6.81050153457825,0.000110214,3.11599313730173,0.666533592,4.55184505410311,3.19142532248549,5.91226478572074
"Kerguelen","KER1","CAT1-S1-1A",17,24,25.5,24.7,-6.26243162993154,0.00019066,5.36278827180596,2.983821266,4.93960713404628,3.57890288413148,6.30031138396109
"Kerguelen","KER1","CAT1-S1-1A",20,28.6,30,29.3,-6.88140452966548,0.00010267,4.24861590819748,1.304675757,4.50168084582215,3.14117139336669,5.86219029827761
"Kerguelen","KER1","CAT1-S1-1A",23,33,34.4,33.7,-5.13577241738878,0.000588251,6.03445049291588,3.445464021,5.73672391776083,4.37000908716124,7.10343874836043
"Kerguelen","KER1","CAT1-S1-1A",25,35.9,37.2,36.6,-5.19896826327819,0.000552226,4.95369744440084,2.177054306,5.6920125544145,4.32582710421619,7.05819800461282
"Kerguelen","KER1","CAT1-S1-1A",26,37.3,38.7,38,-5.44386766920401,0.000432273,5.91722515228022,1.61738766,5.51874505292698,4.15439608690095,6.883094018953
"Kerguelen","KER1","CAT1-S1-1A",27,38.8,40.1,39.4,-5.2948294563849,0.000501747,5.83338586803273,3.285768212,5.62419030161474,4.25876445453341,6.98961614869607
"Kerguelen","KER1","CAT1-S1-1A",28,40.2,41.6,40.9,-5.39222724722897,0.000455182,5.48595543395401,5.105480906,5.55528089856348,4.19057316248743,6.91998863463953
"Kerguelen","KER1","CAT1-S1-1B",36,45.1,46.2,45.6,-4.95355416657615,0.000705828,6.16951744989809,3.028332467,5.8656442020889,4.49727591727774,7.23401248690006
"Kerguelen","KER1","CAT1-S1-1B",40,50.7,52.1,51.4,-5.27288415022355,0.00051288,5.92806376729722,6.296867091,5.63971671072783,4.27412159110787,7.00531183034779
"Kerguelen","KER1","CAT1-S1-1B",41,52.3,53.6,53,-4.74597355546025,0.00086866,6.12537266794902,6.7296966,6.0125084776854,4.64202743030189,7.38298952506891
"Kerguelen","KER1","CAT1-S1-1B",46,59.9,61.2,60.5,-6.08177313574872,0.000228412,4.96586415431783,2.745857023,5.06742388309564,3.70624644290406,6.42860132328723
"Kerguelen","KER1","CAT1-S1-1B",49,64.4,65.8,65.1,-5.4677853259003,0.000422057,5.8475646081218,2.28996156,5.50182319637312,4.13763523334522,6.86601115940101
"Kerguelen","KER1","CAT1-S1-1B",51,67.6,68.9,68.3,-5.90994465408706,0.000271234,4.08868638069481,0.738292129,5.18899335603642,3.82719154422765,6.55079516784519
"Kerguelen","KER1","CAT1-S1-1B",57,76.5,77.9,77.2,-6.8169808245913,0.000109502,4.33473428437725,2.226362168,4.54726092541676,3.18683419814351,5.90768765269002
"Kerguelen","KER1","CAT1-S1-1C",69,86.1,87.5,86.8,-6.87515160251556,0.000103314,4.01570261870077,1.39598335,4.50610482169973,3.14560444694966,5.86660519644979
"Kerguelen","KER1","CAT1-S1-1C",73,92.4,93.7,93.1,-6.87595626943319,0.000103231,4.02900985096483,1.1653151,4.50553551600534,3.14503398571363,5.86603704629705
"Kerguelen","KER1","CAT1-S1-1C",80,103.1,104.5,103.8,-7.06457518469198,8.55e-05,3.39237247479844,0.524097846,4.3720867309557,3.01121137850628,5.73296208340511
"Kerguelen","KER1","CAT1-S1-1C",86,112.2,113.6,112.9,-7.44460494296168,5.85e-05,3.84759114100255,0.996486006,4.10321385861297,2.74096326479744,5.4654644524285
"Kerguelen","KER1","CAT1-S1-1C",93,122.9,124.1,123.5,-7.34944515257993,6.43e-05,3.84548153594143,0.804152565,4.17053986562876,2.80871157849873,5.53236815275879
"Kerguelen","KER1","CAT1-S1-1D",105,130.3,131.4,130.8,-7.23792740305487,7.19e-05,3.82401840146096,0.73313968,4.24943920700802,2.88803958122566,5.61083883279038
"Kerguelen","KER1","CAT1-S1-1D",108,134.6,135.8,135.2,-7.53946311088218,5.32e-05,3.65132431032959,0.466129212,4.03610125093173,2.67337793702581,5.39882456483765
"Kerguelen","KER1","CAT1-S1-1D",110,137.6,138.8,138.2,-7.20157347230977,7.45e-05,3.34083200430147,0.206348674,4.27515978695652,2.91388444101382,5.63643513289922
"Kerguelen","KER1","CAT1-S1-1D",114,143.4,144.6,144,-7.44580479967057,5.84e-05,3.71629530556503,0.161053209,4.10236495425036,2.74010870356319,5.46462120493753
"Kerguelen","KER1","CAT1-S1-1D",117,147.8,148.9,148.4,-6.47352585891355,0.000154377,4.63725856091854,1.199696853,4.79025695699756,3.42986736688154,6.15064654711358
"Kerguelen","KER1","CAT1-S1-1D",119,150.7,151.8,151.3,-7.28300742992271,6.87e-05,3.51175321933271,0.982277396,4.21754487230005,2.85598057580816,5.57910916879194
"Kerguelen","KER1","CAT1-S1-1D",123,156.5,157.7,157.1,-7.03390824498272,8.81e-05,3.72552657404032,0.629608913,4.39378373753522,3.03298311862305,5.75458435644738
"Kerguelen","KER1","CAT1-S1-1D",124,158,159.2,158.6,-7.1423415492068,7.91e-05,3.74189785785682,1.220525248,4.31706665596486,2.95597750904267,5.67815580288704
"Kerguelen","KER1","CAT1-S1-1E",132,161.5,162.7,162.1,-7.47893441548462,5.65e-05,5.61975324881221,3.694081689,4.07892559254329,2.71650988316186,5.44134130192472
"Kerguelen","KER1","CAT1-S1-1E",137,168.8,170,169.4,-6.61946763992283,0.000133414,3.69644375476861,0.993577198,4.68700244863106,3.32668019103219,6.04732470622993
