"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Ti","Ti_sd","Ti_ICP","Ti_ICP_sd","fit","lwr","upr"
"Kerguelen","KER1","CAT1-S1-1B",51,67.6,68.9,68.3,2364.32142857143,0.0048834951563515,0.00072089743844354,1321.532644,26.45067866,2041.15763150363,-2420.7706370967,6503.08590010397
"Kerguelen","KER1","CAT1-S1-1B",57,76.5,77.9,77.2,3056.76,0.002043435228633,0.00068663269681506,498.7916112,15.46904819,1762.67128649333,-2699.49337916406,6224.83595215072
"Kerguelen","KER1","CAT1-S1-1C",69,86.1,87.5,86.8,3452.74666666667,0.00175521027153026,0.00092601914261991,291.56336,2.633210049,1734.40895510345,-2727.78242615115,6196.60033635805
"Kerguelen","KER1","CAT1-S1-1C",73,92.4,93.7,93.1,3631.13571428571,0.00171941666775891,0.00043935375940548,755.0023464,16.03135126,1730.8991594855,-2731.29557452693,6193.09389349793
"Kerguelen","KER1","CAT1-S1-1C",80,103.1,104.5,103.8,3940.82666666667,0.00213249413625302,0.00194399128686457,223.979161,4.416598968,1771.40409154144,-2690.75242077049,6233.56060385336
"Kerguelen","KER1","CAT1-S1-1C",86,112.2,113.6,112.9,4208.64,0.000857079740482,0.00058852088342431,334.2205693,6.961726331,1646.34141593194,-2815.93643273031,6108.61926459418
"Kerguelen","KER1","CAT1-S1-1C",93,122.9,124.1,123.5,4497.10769230769,0.00076992303488808,0.00043681453775263,237.3718165,2.315375042,1637.79513416263,-2824.49136497878,6100.08163330405
"Kerguelen","KER1","CAT1-S1-1D",105,130.3,131.4,130.8,4654.675,0.00092831149037489,0.00055272410255743,393.3367813,9.38595087,1653.32615223371,-2808.94466062332,6115.59696509074
"Kerguelen","KER1","CAT1-S1-1D",108,134.6,135.8,135.2,4745.8,0.00134973605624011,0.00062054025420384,386.7326744,7.70046112,1694.64957146862,-2767.58024316629,6156.87938610353
"Kerguelen","KER1","CAT1-S1-1D",110,137.6,138.8,138.2,4810.63076923077,0.00124937763076179,0.00040680913632239,218.0937453,1.218257687,1684.80877521299,-2777.4307054141,6147.04825584008
"Kerguelen","KER1","CAT1-S1-1D",114,143.4,144.6,144,4936.93076923077,0.00129748579261504,0.00043998924106075,441.6354183,3.726801625,1689.52609333326,-2772.70874617503,6151.76093284155
"Kerguelen","KER1","CAT1-S1-1D",117,147.8,148.9,148.4,5072.725,0.00502499756824993,0.00260760265569486,2787.737038,26.53025849,2055.03286318982,-2406.88490224803,6516.95062862766
"Kerguelen","KER1","CAT1-S1-1D",119,150.7,151.8,151.3,5184.44166666667,0.00201496770511432,0.00076661166933783,435.4794317,8.232842168,1759.87986068613,-2702.28742128375,6222.04714265601
"Kerguelen","KER1","CAT1-S1-1D",123,156.5,157.7,157.1,5436.62307692308,0.00100902763907513,0.00038096869242529,337.7373781,5.496537482,1661.24089551622,-2801.02198178724,6123.50377281969
"Kerguelen","KER1","CAT1-S1-1D",124,158,159.2,158.6,5499.66923076923,0.00084828692131008,0.00044714155110882,439.2617094,15.50786053,1645.47922283184,-2816.79949645351,6107.7579421172
"Kerguelen","KER1","CAT1-S1-1E",132,161.5,162.7,162.1,5646.26923076923,0.00078069879170572,0.00036270022055891,4823.395579,68.52333173,1638.85176719406,-2823.4336599448,6101.13719433292
"Kerguelen","KER1","CAT1-S1-1E",137,168.8,170,169.4,5947.94615384615,0.00258350838829426,0.00060643337804989,314.2119789,7.44344845,1815.62897192958,-2646.48698607055,6277.74492992971
"Kerguelen","KER1","CAT1-S1-1E",144,179,180.2,179.6,6370.75384615385,0.00211413833769884,0.00046772001129127,904.1879244,6.44341763,1769.60418612423,-2692.55400273986,6231.76237498831
"Kerguelen","KER1","CAT1-S1-1E",145,180.4,181.6,181,6433.53846153846,0.00738579505790535,0.00973119484625867,2923.188804,57.700133,2286.52440947271,-2175.23597782738,6748.2847967728
"Kerguelen","KER1","CAT1-S1-1E",146,181.9,183,182.4,6500.14166666667,0.0267753863812031,0.0135104625165287,3433.05248,24.39482226,4187.79993051656,-273.942753770646,8649.54261480376
"Kerguelen","KER1","CAT1-S1-1E",147,183.3,184.4,183.8,6564.375,0.00606647259976278,0.00191836915427956,1119.777227,20.32893742,2157.15626281065,-2304.68792169303,6619.00044731433
"Kerguelen","KER1","CAT1-S1-1E",151,189,190.3,189.7,6812.30714285714,0.00159334663811624,0.00032966483800376,617.9743965,10.1499901,1718.53717323729,-2743.66943131398,6180.74377778857
"Kerguelen","KER1","CAT1-S1-1E",157,198.4,199.7,199,7055.1,0.0016629413886642,0.00053227012898774,449.3132406,5.072336847,1725.36139110779,-2736.8386486441,6187.56143085967
"Kerguelen","KER1","CAT1-S1-1E",161,204.5,205.8,205.2,7160.46428571429,0.00227777079525571,0.00128604183289657,602.974911,13.83517938,1785.64941270037,-2676.49390240184,6247.79272780258
"Kerguelen","KER1","CAT1-S1-1F",170,210.3,211.7,211,7263.93333333333,0.00142853347381174,0.0007914710283886,168.1798853,3.365678645,1702.37617068633,-2759.84609725509,6164.59843862775
"Kerguelen","KER1","CAT1-S1-1F",177,220.9,222.2,221.6,7451.67142857143,0.00086387976960687,0.00032145997691079,347.1872575,3.829031114,1647.00820300867,-2815.26897266743,6109.28537868476
"Kerguelen","KER1","CAT1-S1-1F",179,224,225.4,224.7,7505.43333333333,0.00130042476560698,0.00049103210645151,426.0420821,6.662632451,1689.81427874745,-2772.42027768383,6152.04883517874
"Kerguelen","KER1","CAT1-S1-1F",180,225.6,226.8,226.2,7531.69230769231,0.0031227045752657,0.00086724872612878,1197.40653,21.15846533,1868.50066449059,-2593.56842348678,6330.56975246796
"Kerguelen","KER1","CAT1-S1-1F",185,233.2,234.5,233.8,7669.85,0.013680618305215,0.00593718413645826,1951.217642,25.5783098,2903.77276452324,-1557.73268513249,7365.27821417897
