"Location","Site","Section","sample","top","bottom","mp","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","Water_Content_pc","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc"
"Marion Island","PB1","PB1.1C",92,109.4,110.4,109.9,109.9,0.5,2924.2,3313.6,3157.7,3149.3,195,0.02403,0.00159,53.87,46.13,2.31,0,0,0,0,3.134,3.0118,1.5288,0.7053,0.713,0.0169,0.0183,107.7
"Marion Island","PB1","PB1.1C",93,110.6,111.8,111.2,111.2,0.6,3029.7,3333.3,3207.8,3202.9,152,0.02283,0.0012,49.83,50.17,2.51,0,0,0,0,3.611,3.5027,1.3458,0.6752,0.6887,0.0154,0.0165,107.3
"Marion Island","PB1","PB1.1C",94,112,113.1,112.6,112.6,0.5,3109.8,3369.4,3280,3262.6,130,0.02414,0.00108,48.1,51.9,2.6,0,0,0,0,3.454,3.3849,1.3409,0.6959,0.7168,0.0168,0.0181,107.5
"Marion Island","PB1","PB1.1C",95,113.4,114.5,113.9,113.9,0.5,3152.6,3467,3327.1,3318.1,157,0.02069,0.00108,29.17,70.83,3.54,0,0,0,0,3.1172,3.0798,1.2734,0.9019,0.9362,0.0187,0.0203,109
"Marion Island","PB1","PB1.1C",96,114.7,115.6,115.2,115.2,0.5,3194.4,3582.5,3375.5,3377.9,194,0.01598,0.00098,50.89,49.11,2.46,0,0,0,0,2.418,2.4107,1.9056,0.9359,0.9799,0.015,0.0166,110.8
"Marion Island","PB1","PB1.1C",97,115.8,116.9,116.4,116.4,0.5,3306.3,3620.8,3454.3,3455.5,157,0.01594,0.0008,21.99,78.01,3.9,0,0,0,0,3.6289,3.6688,1.0918,0.8517,0.9036,0.0136,0.0151,111.1
"Marion Island","PB1","PB1.1C",98,117.2,118.3,117.7,117.7,0.5,3409.5,3679,3536,3539.4,135,0.0148,0.00063,47.82,52.18,2.61,0,0,0,0,2.876,2.9234,1.5252,0.7958,0.8487,0.0118,0.0131,110.9
"Marion Island","PB1","PB1.1C",99,118.5,119.6,119.1,119.1,0.5,3492.1,3775.9,3627.8,3629.9,142,0.01084,0.00047,50.14,49.86,2.49,0,0,0,0,3.1998,3.291,1.4705,0.7332,0.7907,0.008,0.0089,112.2
"Marion Island","PB1","PB1.1C",100,119.9,121.1,120.5,120.5,0.6,3624.5,3910.4,3756.5,3757.9,143,0.00764,0.00033,46.5,53.5,2.68,0,0,0,0,3.582,3.7217,1.6264,0.8702,0.9476,0.0066,0.0075,113.2
"Marion Island","PB1","PB1.1C",101,121.3,122.4,121.8,121.8,0.5,3771.1,4090,3943.1,3939.7,159,0.00697,0.00031,46.16,53.84,2.69,0,0,0,0,3.808,4.0061,1.7377,0.9356,1.031,0.0065,0.0075,114.7
"Marion Island","PB1","PB1.1C",102,122.6,123.8,123.2,123.2,0.6,3857.4,4338.5,4149.9,4135.4,241,0.00737,0.00046,45.35,54.65,2.73,0,0,0,0,3.7018,3.9258,1.4909,0.8148,0.9048,0.006,0.007,117.3
"Marion Island","PB1","PB1.1C",103,124,125.1,124.5,124.5,0.5,3924.7,4605.2,4340.3,4317.1,340,0.00944,0.00078,40.13,59.87,2.99,0,0,0,0,2.8978,3.0934,1.7319,1.037,1.1588,0.0098,0.0118,120.1
"Marion Island","PB1","PB1.1C",104,125.3,127.3,126.3,126.3,1,4217.6,4741.8,4511.8,4501.3,262,0.01121,0.00074,32.9,67.1,3.35,0,0,0,0,7.4088,8.0312,1.4147,0.9493,1.0765,0.0106,0.0128,120
