"Location","Site","Section","sample","min_depth","max_depth","midpoint","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","Cu_fit_OLS","Cu_lwr_OLS","Cu_upr_OLS","Cu_fit_WLS","Cu_lwr_WLS","Cu_upr_WLS"
"Kerguelen","KER1","CAT1-S1-1D",110,137.6,138.8,138.2,-6.06546285204154,-6.78110242751195,1.08932336825149,-3.76913889860653,2.01096059782468,0.813327962463907,3.20859323318545,2.02842228006208,0.77080612962273,3.28603843050142
"Kerguelen","KER1","CAT1-S1-1D",114,143.4,144.6,144,-5.99989095493762,-6.52157764887841,1.78551157857811,-3.77453991854243,2.16052651329006,0.963876752972184,3.35717627360793,2.17510973807663,0.928989592897027,3.42122988325624
"Kerguelen","KER1","CAT1-S1-1D",117,147.8,148.9,148.4,-6.15634795934949,-6.9043509381369,2.00026796436973,-3.02516083707697,1.80365663260403,0.604365239059436,3.00294802614862,1.82510796476546,0.55131459355021,3.09890133598071
"Kerguelen","KER1","CAT1-S1-1D",119,150.7,151.8,151.3,-6.13962232573047,-7.098421839458,1.77910466860444,-2.66071672596069,1.84180688926051,0.642846565070573,3.04076721345045,1.86252400406914,0.591728546607939,3.13331946153033
"Kerguelen","KER1","CAT1-S1-1D",123,156.5,157.7,157.1,-6.20719467630907,-7.03590114211156,1.82638851206786,-2.1580851232536,1.68767804869305,0.487308867193734,2.88804723019237,1.7113614363195,0.42839775785603,2.99432511478297
"Kerguelen","KER1","CAT1-S1-1D",124,158,159.2,158.6,-6.32372238394318,-6.74700769163946,1.55694352375835,-4.20288372442839,1.42188471284131,0.21864203180809,2.62512739387453,1.45068340234373,0.146391151070441,2.75497565361702
"Kerguelen","KER1","CAT1-S1-1E",137,168.8,170,169.4,-6.15976734837329,-6.94796259644991,1.46070111668697,-3.5347657578277,1.79585719302298,0.596496684592567,2.99521770145338,1.81745862860138,0.54305122332841,3.09186603387436
"Kerguelen","KER1","CAT1-S1-1E",144,179,180.2,179.6,-6.06791682084073,-6.64865302791941,1.6222257201761,-3.45100616795099,2.00536322904041,0.807690325897021,3.2030361321838,2.02293263493819,0.764883364878305,3.28098190499808
"Kerguelen","KER1","CAT1-S1-1E",145,180.4,181.6,181,-5.70083195039303,-6.59707916225615,1.32636202241707,-4.05755404961554,2.84266376672333,1.64821212828346,4.0371154051632,2.84411898000061,1.64844021242464,4.03979774757658
"Kerguelen","KER1","CAT1-S1-1E",146,181.9,183,182.4,-5.72657619044879,-5.99313651814466,1.79432325724645,-3.95203616048059,2.78394256142104,1.58944945947708,3.978435663365,2.78652788840368,1.58664142869802,3.98641434810935
"Kerguelen","KER1","CAT1-S1-1E",147,183.3,184.4,183.8,-6.11652204292391,-7.41759156715643,2.09864882684407,-2.36656389880147,1.89449737250209,0.695975172008782,3.09301957299539,1.91420043732745,0.647530164928339,3.18087070972656
