"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Rb","Rb_sd","Rb_ICP","Rb_ICP_sd","fit","lwr","upr"
"Isla Hermite","HER42PB","HER42PB_1G",240,268.6,269.8,269.2,3169.09230769231,0.0219257259704851,0.0342668827935266,7.318389831,0.119289754,6.85529353318518,-18.0877995149603,31.7983865813306
"Isla Hermite","HER42PB","HER42PB_1G",245,275.2,276.4,275.8,3233.34153846154,0.035744124687734,0.0743727941037726,5.332748571,0.09225655,7.48762910891467,-17.4492442774472,32.4245024952765
"Isla Hermite","HER42PB","HER42PB_1G",253,285.8,286.9,286.3,3335.24833333333,0.180583082367778,0.12578032541474,9.789818065,0.026432509,14.1155190378937,-10.8117103579916,39.0427484337789
"Isla Hermite","HER42PB","HER42PB_1H",260,285,286.2,285.6,3328.03692307692,0.206769411835128,0.178512239687113,10.85946901,0.114024425,15.3138161820707,-9.62249951132551,40.2501318754669
"Isla Hermite","HER42PB","HER42PB_1H",264,290.3,291.5,290.9,3378.91846153846,0.0817194163114806,0.0873491861090605,4.53509703,0.070294004,9.59147725319669,-15.3313424287569,34.5142969351503
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,3442.75846153846,0.109526545780432,0.121572440155979,9.064433171,0.045322166,10.8639428682021,-14.0553372197156,35.7832229561198
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,3494.21153846154,0.157369322647285,0.116151253404922,4.725737967,0.043476789,13.0532479008349,-11.8686982014394,37.9751940031091
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,3563.64071428571,0.0676634350184671,0.0841800113592953,9.013114206,0.041460325,8.94826980165123,-15.9777621829089,33.8743017862114
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,3603.44,0.172561029377923,0.141994315939451,15.03062537,0.214937943,13.7484266128111,-11.1766823666831,38.6735355923054
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,3669.60384615385,0.140656008546637,0.122559348854365,8.511878548,0.109803233,12.2884398134123,-12.6313162791914,37.208195906016
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,3782.35692307692,0.0587383564906211,0.0813574941811519,9.181167207,0.080794271,8.53985455869752,-16.3887129736364,33.4684220910314
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,3810.93642857143,0.130837539966565,0.112849163701102,3.476749263,0.059800087,11.8391426763561,-13.079957044726,36.7582423974382
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,4016.98,0.0379454874465968,0.0439044640655494,3.653537431,0.035804667,7.588364368911,-17.3476033046691,32.5243320424911
"Isla Hermite","HER42PB","HER42PB_1I",317,354.3,355.4,354.9,4144.90083333333,0.304877212466098,0.130949374949215,19.34515712,0.118005458,19.8032692558267,-5.19648415685737,44.8030226685107
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,4223.08571428571,0.23779400227149,0.122183683015953,13.39282812,0.081696252,16.7335141265844,-8.21785154100744,41.6848797941762
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,4273.55307692308,0.425600301924588,0.13893378296534,22.50407206,0.393821261,25.3276071938606,0.186581112188659,50.4686332755325
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,4438.2275,0.200718824342953,0.142303034388266,26.16719666,0.423908586,15.0369388243064,-9.89698310417438,39.9708607527871
"Isla Hermite","HER42PB","HER42PB_1J",340,376.7,377.9,377.3,4574.44,0.0664620430808818,0.069492967261062,23.87451872,0.272169513,8.89329361533078,-16.0330572470193,33.8196444776809
"Isla Hermite","HER42PB","HER42PB_1J",342,379.6,380.9,380.3,4631.57428571429,0.139158425897172,0.128783082390673,26.1051305,0.253219766,12.2199098190021,-12.6997160120397,37.1395356500438
"Isla Hermite","HER42PB","HER42PB_1J",346,385.3,386.5,385.9,4743.01769230769,0.224358450563639,0.127163166424789,6.326605247,0.032898347,16.1186977865534,-8.82558026388529,41.0629758369922
"Isla Hermite","HER42PB","HER42PB_1J",349,389.6,390.9,390.2,4828.70428571429,0.331287597146348,0.128450791205206,14.32868034,0.222094545,21.0118192581636,-4.01290805839608,46.0365465747232
"Isla Hermite","HER42PB","HER42PB_1J",352,394,395.2,394.6,4912.70923076923,0.171379365138262,0.104820556715571,11.48762934,0.079264642,13.6943531740145,-11.2304697555581,38.619176103587
"Isla Hermite","HER42PB","HER42PB_1J",353,395.4,396.6,396,4939.73076923077,0.199142218982032,0.120787345202572,19.78681817,0.316589091,14.964792718307,-9.96853450470081,39.8981199413148
"Kerguelen","KER1","CAT1-S1-1A",1,0,1.4,0.7,-43.6,0.246093049406299,0.199092492125039,4.612179656,0.039321744,17.1132819170046,-7.84289647826442,42.0694603122737
"Kerguelen","KER1","CAT1-S1-1A",3,3.1,4.7,3.9,3.97058823529412,0.176908295337565,0.0965930308150581,6.928285046,0.072325223,13.9473592807481,-10.9788601654958,38.873578726992
"Kerguelen","KER1","CAT1-S1-1A",5,6.4,7.8,7.1,59.76,0.147239048355324,0.113490297934874,8.457485532,0.069317299,12.5896824069033,-12.330774972828,37.5101397866346
"Kerguelen","KER1","CAT1-S1-1A",7,9.3,10.6,9.9,108.485714285714,0.0866048061061052,0.0813799995775612,2.597921886,0.063207346,9.81503468786463,-15.1068922667836,34.7369616425129
"Kerguelen","KER1","CAT1-S1-1A",8,10.7,12,11.4,130.207142857143,0.127834900190609,0.129350201110714,4.555799076,0.017626227,11.7017406524105,-13.2172514779497,36.6207327827707
"Kerguelen","KER1","CAT1-S1-1A",9,12.1,13.6,12.8,153.175,0.115402415517452,0.111612389310953,4.22647584,0.084413495,11.1328250700474,-13.7861858588679,36.0518359989626
"Kerguelen","KER1","CAT1-S1-1A",11,15.1,16.5,15.8,212.526666666667,0.16080195447519,0.136298478489177,2.954910964,0.027519532,13.210326536904,-11.7122366212549,38.132889695063
