"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","fit","lwr","upr"
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,961.955384615385,0.00398618455648854,0.0008550528491561,40.65077512,0.219514186,31.7115128051005,-6.51709693432142,69.9401225445225
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,977.5775,0.00422849532017491,0.00125372780647372,44.99762802,0.350981499,34.6116926544687,-3.6207292707589,72.8441145796963
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,1058.64692307692,0.00464748026976188,0.00136206305522631,28.9478943,0.358953889,39.6264583606817,1.38089084622028,77.8720258751432
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,1151.60416666667,0.00277046201397301,0.00140890510394751,31.06311504,0.086976722,17.1607187479706,-21.0907054956259,55.4121429915672
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,1233.23666666667,0.00344253013467335,0.00126246618884035,27.88986141,0.806016995,25.2045975728531,-13.0255707474093,63.4347658931155
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,1270.93,0.00252768640432059,0.00081902985591909,25.96709783,0.067514454,14.2549752295219,-24.0093761488036,52.5193266078474
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,1396.85230769231,0.00361865131774601,0.00106714941167276,22.2037868,0.057729846,27.3125646248465,-10.9155669160938,65.5406961657867
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,1480.03461538462,0.0026080311600394,0.00112078201282314,20.00182283,0.29802716,15.2166091164907,-23.0431560133923,53.4763742463737
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,1611.23,0.00289977144444279,0.00175337881687212,29.54255159,0.460863805,18.708403212649,-19.5372720330325,56.9540784583304
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,1669.44846153846,0.00388633264262043,0.00119075754768512,30.53387748,0.213737142,30.5164007757564,-7.71144649361815,68.7442480451309
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,1768.77461538462,0.00377921882394961,0.00133054540461745,7.835581975,0.049364166,29.2343721371109,-8.99318185138968,67.4619261256114
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,1865.00538461538,0.002664704361573,0.00080828582055587,42.45588235,0.687785294,15.8949218525261,-22.3617915551731,54.1516352602253
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,1961.41923076923,0.00385223763428343,0.00111292814771045,20.43760841,0.116494368,30.1083229230078,-8.11937207476466,68.3360179207802
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,2158.50153846154,0.00315136589889695,0.00105279580228722,16.48459618,0.060993006,21.7196981131313,-16.5170564955292,59.9564527217918
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,2273.88416666667,0.0029832010035614,0.00087560402173137,25.87423565,0.26132978,19.7069586317992,-18.5354268261113,57.9493440897098
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,2256.42833333333,0.00377828565254088,0.00144403928893411,26.97965714,0.312964023,29.2232031536351,-9.00435066598576,67.450756973256
"Isla Hermite","HER42PB","HER42PB_1F",189,208.1,209.3,208.7,2363.54384615385,0.00293043799598266,0.00176740131408059,32.78276452,0.835960495,19.0754463991442,-19.168981361914,57.3198741602024
"Isla Hermite","HER42PB","HER42PB_1F",191,210.9,212.2,211.5,2407.86357142857,0.00308331689399367,0.00156515853887637,17.54257349,0.228053455,20.9052301555894,-17.3336419272225,59.1441022384013
"Isla Hermite","HER42PB","HER42PB_1F",197,219.3,220.5,219.9,2535.41461538462,0.00366829324312782,0.00112653908822823,15.70576463,0.164910529,27.9067211100388,-10.3211015541109,66.1345437741885
"Isla Hermite","HER42PB","HER42PB_1F",200,223.4,224.6,224,2595.94769230769,0.00339175189229342,0.00131860406660871,16.67157469,0.240070676,24.5968406862163,-13.6341874944926,62.8278688669252
"Isla Hermite","HER42PB","HER42PB_1F",205,230.3,231.5,230.9,2697.92846153846,0.00275654953598752,0.00129122301004172,16.66345413,0.26161623,16.99420246246,-21.2578873942117,55.2462923191317
"Isla Hermite","HER42PB","HER42PB_1F",209,235.8,236.9,236.4,2780.0925,0.00217284502683177,0.00110257815768378,24.69330757,0.45682619,10.0079339629311,-28.2803149107587,48.296182836621
"Isla Hermite","HER42PB","HER42PB_1F",211,238.4,239.5,239,2819.29,0.00354422287367674,0.00181184024347297,32.30269493,0.226118865,26.4217421519789,-11.8070710213448,64.6505553253025
"Isla Hermite","HER42PB","HER42PB_1F",213,241.1,242.3,241.7,2859.43,0.00324754654647382,0.00114674527301234,30.25871619,0.239043858,22.8708693271458,-15.3632660005817,61.1050046548733
"Isla Hermite","HER42PB","HER42PB_1G",224,246.9,248.1,247.5,2943.97461538462,0.00354853321576487,0.00113118187222162,37.91346404,0.955419294,26.4733319661403,-11.7554345799417,64.7020985122222
"Isla Hermite","HER42PB","HER42PB_1G",231,256.4,257.6,257,3049.39,0.00251644322635357,0.00087379701161767,20.55300982,0.119207457,14.1204073808356,-24.1446100842221,52.3854248458932
"Isla Hermite","HER42PB","HER42PB_1G",232,257.7,258.9,258.3,3062.22846153846,0.00347317949664421,0.00107136784671046,14.18284501,0.039711966,25.57143502007,-12.6582733462585,63.8011433863985
"Isla Hermite","HER42PB","HER42PB_1G",236,263.2,264.4,263.8,3116.22307692308,0.00324592294256044,0.00111638196722364,15.90778555,0.281567804,22.8514366643895,-15.3827392476318,61.0856125764109
"Isla Hermite","HER42PB","HER42PB_1G",240,268.6,269.8,269.2,3169.09230769231,0.00320964166843746,0.00082673977917792,12.73174274,0.252088506,22.4171917364297,-15.8179236067949,60.6523070796544
"Isla Hermite","HER42PB","HER42PB_1G",245,275.2,276.4,275.8,3233.34153846154,0.00256158776699795,0.00102318417263773,14.76761143,0.239235305,14.6607353674837,-23.6016436880202,52.9231144229875
"Isla Hermite","HER42PB","HER42PB_1G",253,285.8,286.9,286.3,3335.24833333333,0.00465593173763406,0.0015517591428285,15.51050531,0.268331742,39.7276126653754,1.48169458133982,77.9735307494109
"Isla Hermite","HER42PB","HER42PB_1H",260,285,286.2,285.6,3328.03692307692,0.00345003101533403,0.00106681586208573,17.5903724,0.142482016,25.294374447036,-12.9356771992801,63.524426093352
"Isla Hermite","HER42PB","HER42PB_1H",264,290.3,291.5,290.9,3378.91846153846,0.00273282190012283,0.00145300926992571,11.06280232,0.14160387,16.710210078626,-21.5430360722577,54.9634562295098
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,3442.75846153846,0.0032180237022951,0.00135425544607865,21.54142699,0.381283258,22.5175149962008,-15.7173777796859,60.7524077720876
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,3494.21153846154,0.00314200161652203,0.00159627136803615,20.15831002,0.175377297,21.6076184736041,-16.6294145271313,59.8446514743394
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,3563.64071428571,0.00350873768333222,0.00162273748527651,42.22566553,0.422256655,25.9970254269663,-12.2322050250885,64.2262558790211
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,3603.44,0.00359794551883124,0.00098513687872585,20.93774638,0.335003942,27.0647401375471,-11.1635547078519,65.2930349829462
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,3669.60384615385,0.00374248534039427,0.00145792156277326,23.03276646,0.181958855,28.7947147847772,-9.43286367869133,67.0222932482457
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,3782.35692307692,0.0035821554762624,0.00156070600330744,32.86089404,0.059149609,26.8757515735142,-11.35268144368,65.1041845907084
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,3810.93642857143,0.00256255111110079,0.00119342362815519,45.18632252,0.230450245,14.6722654832431,-23.5900583192255,52.9345892857118
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,4016.98,0.00302681715095702,0.00120649251362007,15.18090345,0.054651252,20.2289935173299,-18.011803054727,58.4697900893867
"Isla Hermite","HER42PB","HER42PB_1I",317,354.3,355.4,354.9,4144.90083333333,0.0050065599519892,0.00136655200009387,26.73054531,0.269978508,43.9242272375985,5.66079083053035,82.1876636446666
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,4223.08571428571,0.00383691776834813,0.00134912776304112,24.02900522,0.396478586,29.9249618299856,-8.3026826635913,68.1526063235624
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,4273.55307692308,0.00307248838384208,0.00141829395580044,34.81762093,0.045262907,20.7756254015019,-17.4636038279656,59.0148546309695
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,4438.2275,0.00368588336730495,0.00155877009330476,43.85099046,0.526211885,28.1172545709148,-10.1104866332608,66.3449957750905
"Isla Hermite","HER42PB","HER42PB_1J",340,376.7,377.9,377.3,4574.44,0.00321697840911382,0.00122569467697604,35.30719832,0.748512604,22.5050040446653,-15.7299163053989,60.7399243947294
