"Location","Site","Section","sample","min_depth","max_depth","midpoint","Rb","Rb_sd","Rb_ICP","Rb_ICP_sd","Rb_fit_OLS","Rb_lwr_OLS","Rb_upr_OLS","Rb_fit_WLS","Rb_lwr_WLS","Rb_upr_WLS"
"Kerguelen","KER1","CAT1-S1-1B",41,52.3,53.6,53,-0.979418462885339,-0.048970923144267,-3.37633038054105,-0.168816519027052,-3.00065597291706,-4.44340462920232,-1.5579073166318,-3.00016757110821,-4.43975163289205,-1.56058350932437
"Kerguelen","KER1","CAT1-S1-1B",46,59.9,61.2,60.5,-1.52326847950422,-0.0761634239752108,-3.09348440361174,-0.154674220180587,-3.31188076019706,-4.75573237104448,-1.86802914934964,-3.31577164724987,-4.77475077303263,-1.8567925214671
"Kerguelen","KER1","CAT1-S1-1B",49,64.4,65.8,65.1,0.0234968038138809,0.00117484019069405,-1.57125708071313,-0.0785628540356563,-2.42672551231166,-3.87509695886878,-0.978354065754534,-2.4181612522286,-3.83000304000597,-1.00631946445122
"Kerguelen","KER1","CAT1-S1-1B",51,67.6,68.9,68.3,-1.77917388843278,-0.088958694421639,-3.14074641693503,-0.157037320846751,-3.45832574323254,-4.903706275948,-2.01294521051708,-3.46427727875957,-4.93339746741604,-1.99515709010311
"Kerguelen","KER1","CAT1-S1-1B",57,76.5,77.9,77.2,-1.03735024181518,-0.0518675120907589,-3.90920358302952,-0.195460179151476,-3.03380813807885,-4.47653517189523,-1.59108110426248,-3.03378622516666,-4.47529407839258,-1.59227837194075
"Kerguelen","KER1","CAT1-S1-1C",69,86.1,87.5,86.8,-0.53525024679597,-0.0267625123397985,-3.82732045579994,-0.191366022789997,-2.74647530849718,-4.19049163745061,-1.30245897954375,-2.74241029390542,-4.16839705872539,-1.31642352908546
"Kerguelen","KER1","CAT1-S1-1C",73,92.4,93.7,93.1,-1.04956467391161,-0.0524782336955806,-3.65064483831643,-0.182532241915821,-3.04079799541965,-4.48352470578754,-1.59807128505177,-3.04087443779807,-4.48279228376709,-1.59895659182906
"Kerguelen","KER1","CAT1-S1-1C",80,103.1,104.5,103.8,-1.3664664176168,-0.0683233208808398,-3.58144247918955,-0.179072123959478,-3.22214887297681,-4.66538268877125,-1.77891505718237,-3.22477712970485,-4.67786017847199,-1.7716940809377
"Kerguelen","KER1","CAT1-S1-1C",86,112.2,113.6,112.9,-0.453097161309691,-0.0226548580654846,-3.59845664171166,-0.179922832085583,-2.69946220603592,-4.14392638786974,-1.2549980242021,-2.69473566329995,-4.1184337475735,-1.27103757902641
"Kerguelen","KER1","CAT1-S1-1C",93,122.9,124.1,123.5,-1.09864062375716,-0.0549320311878578,-3.8575141328936,-0.19287570664468,-3.06888230466763,-4.51162258463363,-1.62614202470164,-3.06935392541135,-4.51293439194227,-1.62577345888043
"Kerguelen","KER1","CAT1-S1-1D",105,130.3,131.4,130.8,-1.57390918925408,-0.0786954594627038,-3.62392069223668,-0.181196034611834,-3.34086052233367,-4.78496348179513,-1.89675756287222,-3.3451591877985,-4.80609436128624,-1.88422401431076
"Kerguelen","KER1","CAT1-S1-1D",108,134.6,135.8,135.2,-2.96360613044513,-0.148180306522257,-3.49736150939512,-0.174868075469756,-4.13613150089273,-5.59692052381512,-2.67534247797034,-4.15162053897806,-5.67568299341424,-2.62755808454189
"Kerguelen","KER1","CAT1-S1-1D",110,137.6,138.8,138.2,-1.05703774362323,-0.0528518871811617,-3.63567923168013,-0.181783961584007,-3.04507455046288,-4.48780179024352,-1.60234731068223,-3.04521116886401,-4.4873806081117,-1.60304172961631
"Kerguelen","KER1","CAT1-S1-1D",114,143.4,144.6,144,-1.29789148652214,-0.0648945743261069,-3.9183197632609,-0.195915988163045,-3.18290603452778,-4.62594597123048,-1.73986609782508,-3.18498209961703,-4.63556342471704,-1.73440077451702
"Kerguelen","KER1","CAT1-S1-1D",117,147.8,148.9,148.4,-0.492625532437645,-0.0246312766218823,-2.42750369401663,-0.121375184700831,-2.72208279722814,-4.16632318938179,-1.2778424050745,-2.71767455209283,-4.1424649418828,-1.29288416230285
"Kerguelen","KER1","CAT1-S1-1D",119,150.7,151.8,151.3,-1.21384309326602,-0.0606921546633009,-4.09318148506269,-0.204659074253135,-3.13480831914113,-4.57767400195986,-1.6919426363224,-3.13620759434129,-4.58378697014798,-1.68862821853461
"Kerguelen","KER1","CAT1-S1-1D",123,156.5,157.7,157.1,-1.98221465384807,-0.0991107326924036,-4.00036806267563,-0.200018403133782,-3.57451829098385,-5.02157010061675,-2.12746648135096,-3.58210478860572,-5.05972101294597,-2.10448856426547
"Kerguelen","KER1","CAT1-S1-1D",124,158,159.2,158.6,-0.241718404196876,-0.0120859202098438,-3.20386797167399,-0.1601933985837,-2.57849814111423,-4.02442008051716,-1.1325762017113,-2.57206949557726,-3.99020833048204,-1.15393066067248
"Kerguelen","KER1","CAT1-S1-1E",132,161.5,162.7,162.1,-0.398057947261429,-0.0199028973630714,-3.59030379265238,-0.179515189632619,-2.66796534631212,-4.112766768069,-1.22316392455524,-2.66279560672101,-4.08500034868332,-1.24059086475871
"Kerguelen","KER1","CAT1-S1-1E",137,168.8,170,169.4,-0.689447673881826,-0.0344723836940913,-3.71779187425978,-0.185889593712989,-2.83471666177004,-4.27807211091687,-1.39136121262322,-2.83189330398494,-4.26236767213242,-1.40141893583745
"Kerguelen","KER1","CAT1-S1-1E",144,179,180.2,179.6,-0.788756799038407,-0.0394378399519204,-2.22109369514835,-0.111054684757418,-2.89154751661486,-4.33460160356722,-1.4484934296625,-2.88952383398351,-4.32302002205947,-1.45602764590756
"Kerguelen","KER1","CAT1-S1-1E",145,180.4,181.6,181,0.033649485706387,0.00168247428531935,-1.85584411852327,-0.0927922059261635,-2.42091551660372,-3.86939441583849,-0.972436617368957,-2.41226950323323,-3.8238853580534,-1.00065364841306
