"Location","Site","Section","sample","min_depth","max_depth","midpoint","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","Fe_fit_OLS","Fe_lwr_OLS","Fe_upr_OLS","Fe_fit_WLS","Fe_lwr_WLS","Fe_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1J",352,394,395.2,394.6,4.06835107543454,0.203417553771727,4.50127236594366,0.225063618297183,4.72356492090151,3.71335824030921,5.73377160149382,4.72496135188473,3.72076642221501,5.72915628155446
"Isla Hermite","HER42PB","HER42PB_1J",353,395.4,396.6,396,3.93012999548167,0.196506499774083,4.32700705400485,0.216350352700243,4.61866287812087,3.60874994539885,5.62857581084289,4.61948501439208,3.61284600655862,5.62612402222554
"Kerguelen","KER1","CAT1-S1-1A",1,0,1.4,0.7,2.53220809162667,0.126610404581333,4.6327935337426,0.23163967668713,3.55771860383075,2.5423896521184,4.57304755554309,3.55273251492052,2.5131298641973,4.59233516564374
"Kerguelen","KER1","CAT1-S1-1A",3,3.1,4.7,3.9,4.43146125270999,0.2215730626355,4.81541218730893,0.240770609365447,4.99914516787704,3.98745597678529,6.01083435896879,5.00205028519636,4.00355091598382,6.00054965440891
"Kerguelen","KER1","CAT1-S1-1A",5,6.4,7.8,7.1,4.62485197941049,0.231242598970525,4.73741078774263,0.236870539387132,5.14591787644387,4.13302007022778,6.15881568265996,5.14962651281929,4.15372723505089,6.14552579058769
"Kerguelen","KER1","CAT1-S1-1A",7,9.3,10.6,9.9,4.701995163736,0.2350997581868,4.9219078124665,0.246095390623325,5.20446522410682,4.19100433411426,6.21792611409939,5.20849438266916,4.21354749430159,6.20344127103674
"Kerguelen","KER1","CAT1-S1-1A",8,10.7,12,11.4,4.01504726055119,0.200752363027559,4.7117658762258,0.23558829381129,4.68311031679068,3.67303461432691,5.69318601925444,4.68428527577391,3.67916571173212,5.6894048398157
"Kerguelen","KER1","CAT1-S1-1A",9,12.1,13.6,12.8,3.8806836032672,0.19403418016336,4.51569015228227,0.225784507614114,4.58113584133893,3.5712917034387,5.59097997923915,4.58175253281411,3.57420257767216,5.58930248795607
"Kerguelen","KER1","CAT1-S1-1A",11,15.1,16.5,15.8,3.59505033130861,0.179752516565431,4.41261711373418,0.220630855686709,4.36435621753052,3.35453500000309,5.37417743505796,4.36378613143375,3.35059960134466,5.37697266152285
"Kerguelen","KER1","CAT1-S1-1A",13,18,19.4,18.7,4.33615413402306,0.216807706701153,4.75005648647564,0.237502824323782,4.92681241338543,3.91561186301478,5.93801296375608,4.92932153919393,3.92942956300442,5.92921351538344
"Kerguelen","KER1","CAT1-S1-1A",17,24,25.5,24.7,4.10091182212784,0.205045591106392,4.43362441010665,0.221681220505332,4.74827670034756,3.73797908518797,5.75857431550716,4.74980841796472,3.74616721151359,5.75344962441584
"Kerguelen","KER1","CAT1-S1-1A",20,28.6,30,29.3,4.20087657187797,0.210043828593898,4.52246248620161,0.226123124310081,4.82414433543202,3.81351579556068,5.83477287530336,4.82609139654951,3.8240974536252,5.82808533947383
"Kerguelen","KER1","CAT1-S1-1A",23,33,34.4,33.7,3.99364018984955,0.199682009492478,4.38350115444047,0.219175057722024,4.66686355148312,3.6568341984505,5.67689290451575,4.66794956623652,3.66245233132763,5.67344680114541
"Kerguelen","KER1","CAT1-S1-1A",25,35.9,37.2,36.6,4.0786301242911,0.203931506214555,4.50288913921168,0.225144456960584,4.73136614212814,3.72113164949093,5.74160063476534,4.7328052815275,3.72878606545364,5.73682449760137
"Kerguelen","KER1","CAT1-S1-1A",26,37.3,38.7,38,4.15915182677652,0.207957591338826,4.46728823250449,0.223364411625225,4.79247759547357,3.78199667090904,5.8029585200381,4.79425129446367,3.79157947801457,5.79692311091276
"Kerguelen","KER1","CAT1-S1-1A",27,38.8,40.1,39.4,4.16086218312897,0.208043109156448,4.44033611543377,0.222016805771688,4.79377565996066,3.78328895163037,5.80426236829096,4.79555646530971,3.79291270889793,5.7982002217215
"Kerguelen","KER1","CAT1-S1-1A",28,40.2,41.6,40.9,4.10947129143764,0.205473564571882,4.45595684611542,0.222797842305771,4.75477285720021,3.74444996226713,5.76509575213328,4.7563401385531,3.75284309458621,5.75983718252
"Kerguelen","KER1","CAT1-S1-1B",36,45.1,46.2,45.6,4.10676565074605,0.205338282537303,4.49494560309276,0.224747280154638,4.75271942775461,3.74240458561095,5.76303426989826,4.75427546744204,3.75073291681727,5.7578180180668
"Kerguelen","KER1","CAT1-S1-1B",40,50.7,52.1,51.4,4.07884598788335,0.203942299394168,4.53263375169766,0.226631687584883,4.73152997048049,3.72129488492796,5.74176505603301,4.73297000677141,3.72895447175,5.73698554179282
"Kerguelen","KER1","CAT1-S1-1B",41,52.3,53.6,53,4.16728274108216,0.208364137054108,4.37712313297758,0.218856156648879,4.79864850312837,3.78813987910752,5.80915712714922,4.80045598525119,3.79791735609203,5.80299461441036
"Kerguelen","KER1","CAT1-S1-1B",46,59.9,61.2,60.5,4.24347732921816,0.212173866460908,4.34036228187925,0.217018114093963,4.85647591951827,3.84568264436453,5.86726919467201,4.85859998250607,3.85728379409352,5.85991617091863
"Kerguelen","KER1","CAT1-S1-1B",49,64.4,65.8,65.1,3.8309678331188,0.19154839165594,4.40337466773691,0.220168733386845,4.54340436182251,3.53361010723078,5.55319861641423,4.5438144892634,3.53532925395132,5.55229972457547
