Site,depth,SH20_age,Ti,Ca,Sr,Ti_convert_WLS,Ti_ppm_WLS,Ti_lower_RMSE_WLS,Ti_upper_RMSE_WLS,Ti_convert_PLS_scaled,Ti_ppm_PLS_scaled,Ti_lower_RMSE_PLS_scaled,Ti_upper_RMSE_PLS_scaled,Ti_ppm_PLS
HER42PB,2.7,-34.8,-5.144615304,-4.270979748,-3.756948259,7.501661593,1811.049143,1168.015686,2808.094991,4.111704422,61.05068504,32.83950205,113.4970359,519.7005323
HER42PB,2.8,-33.76,-5.793453542,-4.256697181,-4.010322254,7.060451591,1164.971138,751.3349754,1806.328464,4.418549297,82.97582469,44.63315625,154.2572397,237.2438819
HER42PB,2.9,-32.72,-5.869450426,-4.42765966,-4.188703486,7.00877371,1106.297032,713.4937736,1715.352213,4.5102885,90.94805321,48.92146219,169.0781104,667.4325739
HER42PB,3,-31.67,-5.794551908,-4.316102655,-3.82350077,7.059704703,1164.101359,750.7740212,1804.979841,4.517912612,91.64410141,49.29587037,170.3721074,NA
HER42PB,3.1,-30.63,-5.757702317,-4.120649237,-3.839310196,7.084762424,1193.639622,769.8243904,1850.779951,4.37210953,79.21055263,42.60779553,147.2573638,515.9977161
HER42PB,3.2,-29.58,-5.840230805,-4.081623543,-3.812368639,7.028643053,1128.498258,727.8122034,1749.775989,4.412570463,82.48120611,44.36709817,153.3377129,302.2905587
HER42PB,3.3,-28.54,-5.541792506,-4.231745155,-3.71111762,7.231581096,1382.406494,891.5674522,2143.469584,4.343195138,76.95302249,41.39345755,143.0604743,736.549035
HER42PB,3.4,-27.49,-5.193393709,-4.28160749,-3.718450735,7.468492278,1751.96322,1129.908887,2716.480202,4.159428171,64.0348951,34.44472519,119.0448688,666.9033355
HER42PB,3.5,-26.45,-5.949991299,-4.340553386,-3.890636516,6.954005917,1047.33688,675.4680896,1623.932436,4.613951908,100.8820395,54.26500848,187.5460112,869.9132783
HER42PB,3.6,-25.41,-5.767865795,-4.176058114,-3.726771562,7.077851259,1185.418623,764.5223497,1838.033004,4.449861876,85.61511766,46.05284658,159.1638502,651.5876117
HER42PB,3.7,-24.36,-5.460756583,-4.228914879,-3.69716799,7.286685524,1460.721139,942.0755976,2264.899177,4.295837907,73.39368579,39.4788706,136.4434451,823.0757314
HER42PB,3.8,-23.32,-5.583527637,-4.214040394,-3.554283499,7.203201207,1343.72543,866.6205365,2083.493241,4.412107357,82.44301748,44.3465563,153.2667178,1112.474806
HER42PB,3.9,-22.27,-5.182438766,-4.364128443,-3.719955267,7.475941639,1765.062958,1138.357416,2736.791805,4.201588681,66.79235854,35.92798007,124.1711655,263.9435558
HER42PB,4,-21.23,-5.695445935,-4.146278934,-3.935638066,7.127096764,1245.256441,803.1140745,1930.813632,4.314163702,74.75108314,40.20902216,138.9669316,320.8694022
HER42PB,4.1,-20.19,-5.446243699,-3.951540039,-3.799348224,7.296554285,1475.208013,951.4187434,2287.361582,4.087351609,59.58188643,32.04942713,110.7664476,829.0538819
HER42PB,4.2,-19.14,-5.281285731,-4.066117551,-3.733300598,7.408725703,1650.322006,1064.356535,2558.881948,4.078084765,59.03230081,31.75380197,109.7447336,632.5077752
HER42PB,4.3,-18.1,-5.14518572,-4.138166135,-3.801693899,7.50127371,1810.346804,1167.562721,2807.00599,4.017903536,55.58445277,29.8991854,103.3349688,828.6312565
HER42PB,4.4,-17.05,-5.528904222,-4.313427593,-3.733021036,7.240345129,1394.575196,899.415519,2162.337581,4.376264752,79.54037481,42.78520871,147.8705238,613.8031751
HER42PB,4.5,-16.01,-5.137352334,-4.124707036,-3.544137257,7.506600413,1820.015712,1173.798574,2821.997969,4.09266506,59.89931444,32.22017342,111.3565661,936.0295574
HER42PB,4.6,-14.96,-5.073300593,-3.957881186,-3.245476189,7.550155597,1901.038504,1226.053308,2947.62664,4.057943047,57.85518319,31.12062388,107.5563984,537.2593618
HER42PB,4.7,-13.92,-5.140923035,-3.888160067,-3.353391902,7.504172336,1815.601935,1170.951958,2815.154254,4.018735321,55.63070633,29.92406544,103.420957,529.0275007
HER42PB,4.8,-12.88,-5.043500133,-4.017208506,-3.128802977,7.57041991,1939.954716,1251.151879,3007.967587,4.115820738,61.30250694,32.97495844,113.9651886,571.312437
HER42PB,4.9,-11.83,-5.081703654,-3.680461332,-3.318459355,7.544441515,1890.206791,1219.067517,2930.831691,3.873059933,48.08931123,25.8675072,89.40103262,656.0463466
HER42PB,5,-10.79,-4.94784079,-3.766399722,-3.322978407,7.635468263,2070.340287,1335.242581,3210.134973,3.847202905,46.86180283,25.20722362,87.11901785,1046.637793
HER42PB,5.1,-9.74,-4.29635647,-3.31483108,-3.075534765,8.0784776,3224.320794,2079.489272,4999.422078,3.323448307,27.75589659,14.9300507,51.59994504,1090.111744
HER42PB,5.2,-8.7,-4.882951926,-3.552651835,-2.993036047,7.67959269,2163.738281,1395.478562,3354.951826,3.796114862,44.52785114,23.95177806,82.78005591,820.775989
HER42PB,5.3,-7.65,-4.756029127,-3.845765103,-3.098005444,7.765900194,2358.780893,1521.269091,3657.372212,3.866084026,47.75501207,25.68768582,88.7795496,663.858873
HER42PB,5.4,-6.61,-5.58138601,-4.324625701,-3.336509234,7.204657513,1345.683731,867.8835209,2086.529656,4.550311508,94.66189161,50.91915646,175.9823679,849.4270868
HER42PB,5.5,-5.57,-4.931578278,-4.079507139,-3.253721822,7.646526771,2093.362222,1350.090317,3245.831287,4.047812823,57.27205586,30.80695646,106.4723283,915.0895218
HER42PB,5.6,-4.52,-5.227022741,-4.348953222,-3.605162308,7.445624536,1712.354385,1104.363617,2655.06532,4.25757986,70.63882056,37.99701332,131.3219786,645.5486549
HER42PB,5.7,-3.48,-5.32104997,-3.936517723,-3.249562513,7.38168602,1606.295733,1035.962288,2490.617674,4.188726627,65.93877286,35.46883159,122.5842964,849.8798231
HER42PB,5.8,-2.43,-5.573883931,-4.079776707,-3.610274205,7.209758927,1352.566161,872.3222662,2097.201104,4.307209874,74.23308007,39.93038544,138.0039315,651.1654823
HER42PB,5.9,-1.39,-5.384090232,-4.122959014,-3.423581283,7.338818642,1538.893056,992.4916925,2386.107467,4.278639657,72.14223503,38.8057083,134.11692,952.2686693
HER42PB,6,-0.34,-4.462058162,-4.102190645,-3.453633536,7.96580045,2880.734138,1857.89694,4466.678961,3.745478933,42.32927524,22.76915189,78.69276601,343.2495647
HER42PB,6.1,0.7,-5.40461078,-3.82372477,-3.621530845,7.32486467,1517.568512,978.7386684,2353.043015,4.04612619,57.17554029,30.7550402,106.2928999,337.2537497
HER42PB,6.2,1.74,-5.274540184,-3.980619144,-3.854507684,7.413312675,1657.909375,1069.249923,2570.646429,3.982161695,53.63284686,28.84940575,99.70681154,714.5859296
