"Location","Site","Section","sample","min_depth","max_depth","midpoint","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,-1.34154254137703,-0.0670771270688513,-0.970787371658838,-0.0485393685829419,-0.464102156341123,-1.41800505459352,0.48980074191127
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,-1.23152444163203,-0.0615762220816013,-0.0736991221674378,-0.00368495610837189,-0.386842856044562,-1.33974137529039,0.566055663201262
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,-0.991998077788404,-0.0495999038894202,0.342731194049951,0.0171365597024976,-0.218637448788575,-1.17018777218681,0.732912874609662
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,-0.335645858570547,-0.0167822929285273,-0.133146178965947,-0.00665730894829735,0.242280466739876,-0.711482319969743,1.1960432534495
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,-1.0949612246498,-0.0547480612324899,0.239667261156928,0.0119833630578464,-0.290942466792712,-1.24293126520407,0.661046331618644
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,-0.968150567693259,-0.0484075283846629,0.321211174538055,0.0160605587269027,-0.201890732129802,-1.15336987844948,0.749588414189874
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,-1.3077107927674,-0.0653855396383698,-0.693440177409821,-0.0346720088704911,-0.440344090791478,-1.39391238464599,0.513224203063029
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,-1.3225616066347,-0.0661280803317352,-0.802348738782333,-0.0401174369391167,-0.450772951959612,-1.40448531083494,0.502939406915712
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,-1.38993501161694,-0.0694967505808468,-1.11605283295723,-0.0558026416478616,-0.498085368185568,-1.45250656257883,0.456335826207692
"Bird Island","BI10","BI10.13",519,491,492,491.5,-1.61107207568075,-0.0805536037840376,-0.635253197439384,-0.0317626598719692,-0.653377041817502,-1.61075889520627,0.304004811571262
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,-1.37346869959403,-0.0686734349797014,-0.749015398926924,-0.0374507699463462,-0.486522036803701,-1.44076163359782,0.467717559990416
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,-1.0917179520168,-0.0545858976008402,-0.48146919801742,-0.024073459900871,-0.28866490541984,-1.24063664495965,0.66330683411997
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,-1.38091180147252,-0.069045590073626,-1.00869929661765,-0.0504349648308826,-0.491748893516379,-1.44606990704539,0.462572120012636
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-0.463548094321484,-0.0231774047160742,0.870948413780336,0.0435474206890168,0.152462179899921,-0.800191336384559,1.1051156961844
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-0.33160830370281,-0.0165804151851405,0.694416414687481,0.0347208207343741,0.245115806240498,-0.708687319747356,1.19891893222835
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,-0.578368744302269,-0.0289184372151135,0.616051299801882,0.0308025649900941,0.0718303284348178,-0.880106404076065,1.0237670609457
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,-0.309034835884474,-0.0154517417942237,0.560673152463704,0.0280336576231852,0.260967837251339,-0.69306681308714,1.21500248758982
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,-0.733700309059164,-0.0366850154529582,0.562631716670505,0.0281315858335252,-0.0372499777593726,-0.98863824334005,0.914138287821305
