Location,Site,Section,Sample_ID,Sample_thickness,section_depth_top,section_depth_bottom,section_depth_mid,field_depth_top,field_depth_bottom,field_depth_mid,strat_depth_top,strat_depth_bottom,strat_depth_mid,depth,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,accrate_cmyr-1,water_content_pc,water_content_err,dry_mass_pc,dry_mass_err,density_gcm3,density_gcm3_err,P_ICP,P_ICP_sd,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,As_ICP,As_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,Pb_ICP,Pb_ICP_sd,Th_ICP,Th_ICP_sd
Kerguelen,KER1,CAT1-S1-1A,3,1.6,3.1,4.7,3.9,3.1,4.7,3.9,3.1,4.7,3.9,3.9,-60.1,43.99,-26.67,-21.63,0.06606,67.63722506,3.381861253,32.36277494,3.236277494,0.324199705,0.03241997,2470.033093,34.02759777,8470.459825,1524.682769,24349.44729,3165.428148,10205.77283,1428.808196,553.5802331,66.42962797,48738.7654,8772.977772,18.68861595,1.308203117,39.93389191,21.56430163,26.74331214,3.7440637,81.89432683,7.370489415,6.559985032,0.051370996,6.928285046,1.108525607,172.0332159,3.440664318,130.2830932,6.51415466,2.111394546,0.024201811,1.145028767,0.007781087
Kerguelen,KER1,CAT1-S1-1A,5,1.4,6.4,7.8,7.1,6.4,7.8,7.1,6.4,7.8,7.1,7.1,-40.62,104.16,23.58,26.81,0.05844,41.40335573,2.070167786,58.59664427,5.859664427,0.963326181,0.096332618,1625.983285,4.532085741,7270.581826,1308.704729,18719.29689,2433.508596,11837.89698,1657.305577,433.6021987,52.03226384,40886.55616,7359.580109,15.75984242,1.103188969,28.84382633,15.57566622,26.49605516,3.709447722,74.54857758,6.709371982,4.320499499,0.084280295,8.457485532,1.353197685,154.8814977,3.097629954,132.8980564,6.64490282,1.904048371,0.015679958,1.21611583,0.015233425
Kerguelen,KER1,CAT1-S1-1A,7,1.3,9.3,10.6,9.9,9.3,10.6,9.9,9.3,10.6,9.9,9.9,-30.01,220.47,65.7,74.72,0.06754,82.51226355,4.125613177,17.48773645,1.748773645,0.172242166,0.017224217,1606.982719,27.67398683,2638.458059,474.9224506,7892.84278,1026.069561,3166.073488,443.2502883,145.6542648,17.47851178,18707.63044,3367.373479,5.990333136,0.41932332,14.90398608,8.048152483,12.73383553,1.782736974,27.27598299,2.454838469,4.084353792,0.116059134,2.597921886,0.415667502,65.34606485,1.306921297,43.42615035,2.171307518,0.723868771,0.025206261,0.684732429,0.000968503
Kerguelen,KER1,CAT1-S1-1A,8,1.3,10.7,12,11.4,10.7,12,11.4,10.7,12,11.4,11.4,-0.44,232.2,82.28,96.93,0.06833,71.80119564,3.590059782,28.19880436,2.819880436,0.313169166,0.031316917,1732.985617,17.56871755,7029.037339,1265.226721,23057.20465,2997.436605,9442.994519,1322.019233,372.8583737,44.74300484,35630.07615,6413.413707,14.56260068,1.019382048,31.14535059,16.81848932,25.82156005,3.615018407,65.36111894,5.882500705,3.719253835,0.057860348,4.555799076,0.728927852,143.4502871,2.869005742,114.5251759,5.726258795,1.879720325,0.033823532,0.845985799,0.005878393
Kerguelen,KER1,CAT1-S1-1A,9,1.5,12.1,13.6,12.8,12.1,13.6,12.8,12.1,13.6,12.8,12.8,21.24,240.48,98.36,117.42,0.04695,80.8570446,4.04285223,19.1429554,1.91429554,0.183332976,0.018333298,1544.341058,19.77568712,3048.627916,548.7530249,8068.846686,1048.950069,3112.020149,435.6828209,137.6502423,16.51802908,13008.32214,2341.497985,5.221829427,0.36552806,13.60485991,7.346624351,19.18499137,2.685898792,28.74841778,2.5873576,2.507339154,0.040575593,4.22647584,0.676236134,73.24363877,1.464872775,41.3224873,2.066124365,0.701594692,0.00189081,0.759972104,0.007226092
Kerguelen,KER1,CAT1-S1-1A,11,1.4,15.1,16.5,15.8,15.1,16.5,15.8,15.1,16.5,15.8,15.8,84.99,299.64,162.47,181.32,0.02524,80.22968919,4.01148446,19.77031081,1.977031081,0.228079577,0.022807958,1195.644073,10.13885337,2675.023484,481.5042271,7023.833905,913.0984077,3257.609478,456.0653269,116.7959682,14.01551618,9929.222192,1787.259995,4.215243411,0.295067039,10.86332373,5.866194814,10.81206248,1.513688747,28.98839799,2.608955819,1.591513383,0.032977868,2.954910964,0.472785754,66.66000584,1.333200117,46.13258291,2.306629146,0.965531788,0.01952173,0.66100582,0.004545605
Kerguelen,KER1,CAT1-S1-1A,13,1.4,18,19.4,18.7,18,19.4,18.7,18,19.4,18.7,18.7,168.69,423.04,304.32,296.22,0.03406,84.03655899,4.201827949,15.96344101,1.596344101,0.160195085,0.016019508,982.6393251,33.61844003,458.1692768,82.47046982,1842.298409,239.4987932,338.8842864,47.4438001,22.55582026,2.706698431,4020.387316,723.6697169,1.572869736,0.110100882,7.487431173,4.043212833,3.298222114,0.461751096,11.6740324,1.050662916,2.025278681,0.098573745,0.811121884,0.129779501,28.31046928,0.566209386,11.60409855,0.580204928,0.393167393,0.00299171,0.214132522,0.001869461
Kerguelen,KER1,CAT1-S1-1A,17,1.5,24,25.5,24.7,24,25.5,24.7,24,25.5,24.7,24.7,390.25,520.69,478.38,472.37,0.04180,68.34743292,3.417371646,31.65256708,3.165256708,0.314377289,0.031437729,1656.226334,6.054527797,5071.624524,912.8924143,15295.91562,1988.469031,6877.170886,962.803924,213.3189091,25.59826909,18207.37633,3277.327739,6.986589224,0.489061246,16.48989021,8.904540713,22.07333655,3.090267117,44.32511103,3.989259993,2.226330413,0.015443008,3.976518253,0.63624292,114.3906738,2.287813476,97.8771987,4.893859935,1.360214265,0.002755716,0.998413767,0.012461864
Kerguelen,KER1,CAT1-S1-1A,20,1.4,28.6,30,29.3,28.6,30,29.3,28.6,30,29.3,29.3,526.68,675.66,574.98,582.41,0.05920,81.83306385,4.091653193,18.16693615,1.816693615,0.190035975,0.019003598,1984.35608,27.9378454,2197.636489,395.574568,5707.668952,741.9969638,2119.195067,296.6873094,70.00844714,8.401013657,11359.78762,2044.761772,5.66932153,0.396852507,15.34618164,8.286938086,18.88934963,2.644508948,29.368275,2.64314475,4.466479343,0.067868015,3.67902566,0.588644106,64.93648567,1.298729713,51.11187666,2.555593833,0.612052096,0.010945345,1.260110739,0.004130806
Kerguelen,KER1,CAT1-S1-1A,23,1.4,33,34.4,33.7,33,34.4,33.7,33,34.4,33.7,33.7,561.1,784.53,647.75,656.73,0.05880,57.79204232,2.889602116,42.20795768,4.220795768,0.533062752,0.053306275,1780.96211,19.26115121,12528.03678,2255.04662,27130.75859,3526.998617,12890.21714,1804.6304,417.5692893,50.10831472,33851.35179,6093.243322,18.88507004,1.321954903,39.37891077,21.26461182,37.94363653,5.312109114,93.54908632,8.419417769,3.630991932,0.066691662,7.20558062,1.152892899,171.3250337,3.426500674,160.3937624,8.01968812,2.599389237,0.018432733,1.145429053,0.002698226
Kerguelen,KER1,CAT1-S1-1A,25,1.3,35.9,37.2,36.6,35.9,37.2,36.6,35.9,37.2,36.6,36.6,595.43,844.63,696.62,706.05,0.05507,69.12832422,3.456416211,30.87167578,3.087167578,0.423956063,0.042395606,1037.146063,9.911663486,3483.960682,627.1129228,10116.20827,1315.107075,4855.040059,679.7056083,141.6979167,17.00375,14577.34124,2623.921423,7.044092268,0.493086459,18.00861913,9.72465433,18.73001453,2.622202034,40.14643479,3.613179131,2.977303637,0.036686872,2.109290233,0.337486437,69.55534929,1.391106986,63.51816441,3.175908221,0.916516561,0.003853973,0.582116874,0.00169892
Kerguelen,KER1,CAT1-S1-1A,26,1.4,37.3,38.7,38,37.3,38.7,38,37.3,38.7,38,38.0,608.48,865.16,724,731.47,0.05510,54.07511476,2.703755738,45.92488524,4.592488524,0.61562862,0.061562862,1392.158008,7.108145036,11659.94441,2098.789994,21714.33708,2822.86382,10403.61788,1456.506503,371.3797605,44.56557126,29657.04588,5338.268258,14.92378146,1.044664702,32.14134367,17.35632558,34.08990898,4.772587257,81.59730828,7.343757745,3.51604823,0.013814423,3.963633199,0.634181312,130.2536735,2.60507347,121.174026,6.0587013,2.055377995,0.021856926,0.673051269,0.005071986
Kerguelen,KER1,CAT1-S1-1A,27,1.3,38.8,40.1,39.4,38.8,40.1,39.4,38.8,40.1,39.4,39.4,617.75,898.89,754.93,756.88,0.05083,62.71538526,3.135769263,37.28461474,3.728461474,0.487231101,0.04872311,1465.359818,11.44089097,7647.184074,1376.493133,20341.20911,2644.357184,9675.703494,1354.598489,341.5130418,40.98156502,27516.05179,4952.889322,16.64731905,1.165312334,38.36122731,20.71506275,29.17767688,4.084874763,79.93730908,7.194357817,3.501373372,0.035358998,4.206801091,0.673088175,131.8879867,2.637759734,116.499276,5.8249638,1.738338112,0.021536133,0.863413962,0.008593058
Kerguelen,KER1,CAT1-S1-1A,28,1.4,40.2,41.6,40.9,40.2,41.6,40.9,40.2,41.6,40.9,40.9,644.83,925.93,784.66,786.39,0.04809,45.3473039,2.267365195,54.6526961,5.46526961,0.835475454,0.083547545,1044.236896,9.641918339,5002.720293,900.4896527,12514.93162,1626.941111,8232.043472,1152.486086,241.2793604,28.95352325,18335.53114,3300.395605,10.18252838,0.712776987,22.13806966,11.95455762,20.22360626,2.831304876,53.3476494,4.801288446,2.35241774,0.021704697,1.945757248,0.31132116,87.98899619,1.759779924,91.14020217,4.557010109,1.296530802,0.026420891,0.387156154,0.005073973
Kerguelen,KER1,CAT1-S1-1B,36,1.1,5.1,6.2,5.65,45.1,46.2,45.6,45.1,46.2,45.6,45.6,750.06,1002.28,890.8,884.12,0.03039,45.01114637,2.250557319,54.98885363,5.498885363,1.245475777,0.124547578,1737.02068,6.654228897,9110.578774,1639.904179,26333.16952,3423.312038,13294.3136,1861.203904,477.955413,57.35464956,37854.28444,6813.771199,19.97407233,1.398185063,43.41924078,23.44639002,37.92341421,5.309277989,105.4949459,9.494545131,3.312187293,0.018319984,5.765444277,0.922471084,183.5186364,3.670372728,153.3915035,7.669575175,2.190471084,0.008947313,1.042200739,0.006217018
Kerguelen,KER1,CAT1-S1-1B,40,1.4,10.7,12.1,11.5,50.7,52.1,51.4,50.7,52.1,51.4,51.4,963.63,1231.1,1067.16,1075,0.01455,59.79959042,2.989979521,40.20040958,4.020040958,0.496991162,0.049699116,1458.369885,15.52936827,9163.233327,1649.381999,20694.032,2690.22416,10841.15992,1517.762389,375.4268958,45.0512275,31170.92403,5610.766325,19.40135717,1.358095002,37.71061641,20.36373286,31.57899132,4.421058785,88.37360202,7.953624182,3.236225198,0.04936369,2.362468842,0.377995015,127.4096231,2.548192462,135.8916128,6.79458064,2.013870767,0.009340485,0.579473936,0.005683274
Kerguelen,KER1,CAT1-S1-1B,41,1.3,12.3,13.6,13.1,52.3,53.6,53,52.3,53.6,53,53.0,977.22,1484.6,1174.17,1185,0.01201,47.92690758,2.396345379,52.07309242,5.207309242,0.769770628,0.076977063,1461.770688,14.84624756,12647.00276,2276.460497,27857.81305,3621.515697,11278.11655,1578.936317,457.3151082,54.87781298,33869.91213,6096.584183,16.69197316,1.168438121,33.88638281,18.29864672,33.08146631,4.631405283,81.69604829,7.352644346,2.945391384,0.027351395,14.53891486,2.326226378,171.3204442,3.426408884,150.100816,7.5050408,2.347294913,0.029682608,1.943124881,0.010880841
Kerguelen,KER1,CAT1-S1-1B,46,1.3,19.9,21.2,20.6,59.9,61.2,60.5,59.9,61.2,60.5,60.5,1158.78,2387.83,1827.27,1809.44,0.01237,78.62305907,3.931152954,21.37694093,2.137694093,0.23443294,0.023443294,1585.510293,23.42571214,3713.686646,668.4635963,7587.711479,986.4024923,3746.441884,524.5018638,143.4324445,17.21189334,12808.45152,2305.521274,6.554846441,0.458839251,13.83972022,7.473448919,14.52619027,2.033666638,30.18599746,2.716739771,2.759203056,0.063806366,7.56864323,1.210982917,76.14964032,1.522992806,105.1968675,5.259843375,1.676304543,0.010067412,2.325701248,0.027686575
Kerguelen,KER1,CAT1-S1-1B,49,1.4,24.4,25.8,25.2,64.4,65.8,65.1,64.4,65.8,65.1,65.1,1313.18,2839.53,2200.2,2181.16,0.01030,72.25488403,3.612744202,27.74511597,2.774511597,0.312565646,0.031256565,806.4630816,9.343521454,15479.98661,2786.39759,4034.917626,524.5392914,2161.427163,302.5998028,346.3897576,41.56677091,14380.32761,2588.45897,1.249641147,0.08747488,9.064108327,4.894618497,4.195291116,0.587340756,64.2076509,5.778688581,2.126892667,0.008844154,36.56109383,5.849775013,34.6500895,0.69300179,338.8652331,16.94326166,6.712487791,0.047348505,5.187565044,0.068701706
Kerguelen,KER1,CAT1-S1-1B,51,1.3,27.6,28.9,28.4,67.6,68.9,68.3,67.6,68.9,68.3,68.3,1759.05,2949.92,2547.08,2491.91,0.01419,82.01776537,4.100888269,17.98223463,1.798223463,0.178266201,0.01782662,972.383618,15.84273379,1332.507255,239.8513059,3370.327372,438.1425584,1321.532644,185.0145702,59.66146775,7.15937613,4883.677754,879.0619957,1.332416753,0.093269173,11.80880582,6.376755143,2.938278701,0.411359018,10.51247544,0.94612279,1.764186714,0.090850711,2.802966071,0.448474571,47.97809994,0.959561999,48.56850259,2.42842513,0.967797072,0.007910503,1.071067919,0.012078129
Kerguelen,KER1,CAT1-S1-1B,57,1.4,36.5,37.9,37.3,76.5,77.9,77.2,76.5,77.9,77.2,77.2,2980.54,3266.76,3124.26,3118.97,0.02737,86.87434172,4.343717086,13.12565828,1.312565828,0.142117168,0.014211717,513.0398018,21.03485366,442.9078563,79.72341413,5249.86072,682.4818936,498.7916112,69.83082557,76.30468085,9.156561702,8920.913751,1605.764475,3.179077437,0.222535421,9.288903341,5.016007804,5.504167322,0.770583425,11.403039,1.02627351,2.424840438,0.11036281,1.221309035,0.195409446,70.88337203,1.417667441,20.51940777,1.025970389,0.743462003,0.001174233,0.430177137,0.005489888
Kerguelen,KER1,CAT1-S1-1C,69,1.4,6.1,7.5,6.8,86.1,87.5,86.8,86.1,87.5,86.8,86.8,3237.95,3738.89,3462.56,3469.7,0.03463,87.43206549,4.371603275,12.56793451,1.256793451,0.114391368,0.011439137,497.9986173,9.972433234,323.9790116,58.31622209,3883.986282,504.9182167,291.56336,40.8188704,55.46225053,6.655470064,6816.274673,1226.929441,2.133265234,0.149328566,4.959823644,2.678304768,4.052348853,0.567328839,8.987606637,0.808884597,1.99297207,0.067684798,0.934094849,0.149455176,56.90823166,1.138164633,13.72149586,0.686074793,0.314813019,0.001520897,0.290615627,0.001311434
Kerguelen,KER1,CAT1-S1-1C,73,1.3,12.4,13.7,13.1,92.4,93.7,93.1,92.4,93.7,93.1,93.1,3366.57,3960.6,3651.53,3651.63,0.03686,86.53214196,4.326607098,13.46785804,1.346785804,0.148797169,0.014879717,480.0573451,12.0904326,487.3846201,87.72923162,3407.375544,442.9588207,755.0023464,105.7003285,56.20523213,6.744627856,5710.94941,1027.970894,1.579837083,0.110588596,3.437486028,1.856242455,4.450254187,0.623035586,9.510397791,0.855935801,1.465269214,0.068452901,1.203244441,0.192519111,52.38105472,1.047621094,16.75001654,0.837500827,0.319751461,0.007815248,0.315510786,0.000624041
Kerguelen,KER1,CAT1-S1-1C,80,1.4,23.1,24.5,23.8,103.1,104.5,103.8,103.1,104.5,103.8,103.8,3620.06,4191.84,3952.29,3941.89,0.03517,87.74312153,4.387156077,12.25687847,1.225687847,0.117835974,0.011783597,345.730491,1.750039606,196.5150343,35.37270617,2189.505993,284.6357791,223.979161,31.35708254,29.73641755,3.568370106,3225.774563,580.6394213,0.923007687,0.064610538,2.13136205,1.150935507,2.622442469,0.367141946,5.963937738,0.536754396,1.120314178,0.031472784,0.700899472,0.112143916,36.49555291,0.729911058,8.929101824,0.446455091,0.179617133,0.003025055,0.166787898,0.001906893
Kerguelen,KER1,CAT1-S1-1C,86,1.4,32.2,33.6,32.9,112.2,113.6,112.9,112.2,113.6,112.9,112.9,3999.72,4342.29,4210.59,4200.61,0.03924,86.07040611,4.303520305,13.92959389,1.392959389,0.155431687,0.015543169,591.9905518,6.267225698,299.9494325,53.99089785,3711.15207,482.4497691,334.2205693,46.7908797,46.8799998,5.625599976,4542.425909,817.6366636,1.049747683,0.073482338,2.791826174,1.507586134,5.41452311,0.758033235,10.45252365,0.940727129,1.499496878,0.052332993,1.072921849,0.171667496,65.73504848,1.31470097,14.23345251,0.711672626,0.304017311,0.001071613,0.304152866,0.006685523
Kerguelen,KER1,CAT1-S1-1C,93,1.2,42.9,44.1,43.5,122.9,124.1,123.5,122.9,124.1,123.5,123.5,4331.5,4640.78,4465.25,4470.77,0.04480,87.88021313,4.394010656,12.11978687,1.211978687,0.140449668,0.014044967,630.4189958,8.260995754,167.7999201,30.20398562,4217.700826,548.3011074,237.3718165,33.23205431,46.78120576,5.613744691,4414.084703,794.5352465,1.050225297,0.073515771,2.843511196,1.535496046,4.038560617,0.565398486,9.118797628,0.820691787,1.65768929,0.051866478,0.714706415,0.114353026,78.06690295,1.561338059,10.592352,0.5296176,0.232814865,0.003724308,0.228581279,0.003447345
Kerguelen,KER1,CAT1-S1-1D,105,1.1,10.3,11.4,10.85,130.3,131.4,130.8,130.3,131.4,130.8,130.8,4446.19,4857.87,4627.23,4633.7,0.04685,86.98570544,4.349285272,13.01429456,1.301429456,0.18906689,0.018906689,785.8172852,14.03913743,335.8691783,60.45645209,4013.123051,521.7059966,393.3367813,55.06714938,45.78783303,5.494539964,3780.979575,680.5763235,0.930570105,0.065139907,3.315937291,1.790606137,3.510172288,0.49142412,11.7594545,1.058350905,1.681733541,0.046882704,1.060803729,0.169728597,78.12846424,1.562569285,16.12570153,0.806285077,0.320872417,0.001780943,0.323772608,0.004952193
Kerguelen,KER1,CAT1-S1-1D,108,1.2,14.6,15.8,15.3,134.6,135.8,135.2,134.6,135.8,135.2,135.2,4529.06,4926.8,4728.73,4727.62,0.04388,88.39139851,4.419569926,11.60860149,1.160860149,0.136528867,0.013652887,565.5024661,2.237850022,238.5346084,42.93622951,3486.528107,453.2486539,386.7326744,54.14257442,38.5256522,4.623078264,3167.607313,570.1693163,0.814471895,0.057013033,3.032224277,1.63740111,3.038249121,0.425354877,5.798802064,0.521892186,1.509515972,0.049513866,0.994535425,0.159125668,70.05573441,1.401114688,13.26053158,0.663026579,0.286292813,0.002454716,0.26074383,0.001711369
Kerguelen,KER1,CAT1-S1-1D,110,1.2,17.6,18.8,18.3,137.6,138.8,138.2,137.6,138.8,138.2,138.2,4625.34,4969.54,4797.52,4795.99,0.04209,87.9285144,4.39642572,12.0714856,1.20714856,0.176153339,0.017615334,442.1118449,4.428268077,35.89186233,6.460535219,2595.371312,337.3982706,218.0937453,30.53312434,28.24261491,3.389113789,2284.889729,411.2801512,0.611487721,0.04280414,2.520712809,1.361184917,2.972262265,0.416116717,4.641441298,0.417729717,1.134356857,0.021990399,0.562762357,0.090041977,53.9478412,1.078956824,10.56346884,0.528173442,0.195604182,0.004466095,0.21328797,0.000310239
Kerguelen,KER1,CAT1-S1-1D,114,1.2,23.4,24.6,24.1,143.4,144.6,144,143.4,144.6,144,144.0,4853.29,5047.72,4931,4933.78,0.02793,89.65154481,4.48257724,10.34845519,1.034845519,0.123289892,0.012328989,614.8442797,4.395341606,157.0594404,28.27069927,3949.674648,513.4577042,441.6354183,61.82895856,41.11180496,4.933416595,3412.493629,614.2488532,0.910381859,0.06372673,5.705617692,3.081033554,5.962629521,0.834768133,6.264222559,0.56378003,1.957177567,0.056187664,0.765652204,0.122504353,79.92720242,1.598544048,23.41796688,1.170898344,0.301473477,0.001016326,0.528543858,0.003970185
Kerguelen,KER1,CAT1-S1-1D,117,1.1,27.8,28.9,28.5,147.8,148.9,148.4,147.8,148.9,148.4,148.4,4915.11,5414.5,5062.99,5091.34,0.02503,84.32862976,4.216431488,15.67137024,1.567137024,0.23901391,0.023901391,703.8825978,12.01755573,7255.583194,1306.004975,5683.67778,738.8781114,2787.737038,390.2831853,103.2608758,12.3913051,4977.113764,895.8804775,1.191415297,0.083399071,6.225778674,3.361920484,7.391036368,1.034745092,28.72260097,2.585034087,2.035936011,0.060969538,10.74847022,1.719755235,109.6646554,2.193293108,97.07584026,4.853792013,2.032385066,0.018798722,1.648071409,0.00388062
Kerguelen,KER1,CAT1-S1-1D,119,1.1,30.7,31.8,31.4,150.7,151.8,151.3,150.7,151.8,151.3,151.3,4969.51,5635.24,5168.96,5207.22,0.02442,89.84326635,4.492163318,10.15673365,1.015673365,0.126927537,0.012692754,610.582386,12.11887965,293.8266765,52.88880177,3599.827864,467.9776223,435.4794317,60.96712044,33.50696137,4.020835364,2637.046993,474.6684587,0.767742407,0.053741968,6.625024494,3.577513227,5.924549608,0.829436945,21.92880594,1.973592535,2.217616267,0.036112484,0.706861739,0.113097878,74.39152898,1.48783058,23.61796449,1.180898225,0.283433035,0.001790811,0.513351231,0.007447494
Kerguelen,KER1,CAT1-S1-1D,123,1.2,36.5,37.7,37.2,156.5,157.7,157.1,156.5,157.7,157.1,157.1,5086.03,5903.97,5424.02,5444.72,0.02432,88.02419075,4.401209537,11.97580925,1.197580925,0.177036447,0.017703645,708.9793163,16.75371889,199.7601332,35.95682398,4640.523522,603.2680579,337.7373781,47.28323293,41.49307617,4.97916914,3560.842802,640.9517044,1.008260928,0.070578265,7.365820821,3.977543243,6.211413657,0.869597912,9.708856297,0.873797067,1.625262915,0.033316663,0.749489114,0.119918258,89.12411225,1.782482245,16.00076454,0.800038227,0.386986683,0.003292803,0.321946425,0.003844
Kerguelen,KER1,CAT1-S1-1D,124,1.2,38.0,39.2,38.7,158,159.2,158.6,158,159.2,158.6,158.6,5113.87,5978.53,5492.05,5506.39,0.02580,86.01379119,4.30068956,13.98620881,1.398620881,0.2211149,0.02211149,665.8579482,3.08983947,973.6824666,175.262844,3761.690452,489.0197588,439.2617094,61.49663932,42.17796203,5.061355444,2748.553456,494.7396221,0.858721787,0.060110525,5.849088818,3.158507962,4.744298227,0.664201752,10.21776865,0.919599179,1.546124958,0.028432108,1.919467031,0.307114725,71.42068742,1.428413748,20.00078753,1.000039377,0.384542382,0.010143263,0.453688245,0.007886097
Kerguelen,KER1,CAT1-S1-1E,132,1.2,1.5,2.7,2.1,161.5,162.7,162.1,161.5,162.7,162.1,162.1,5207.15,6130.83,5630.67,5642.05,0.02578,80.75600506,4.037800253,19.24399494,1.924399494,0.269419674,0.026941967,1254.57739,18.5943659,4674.018055,841.3232499,15500.47502,2015.061753,4823.395579,675.2753811,275.8213156,33.09855787,24110.30848,4339.855526,9.64091711,0.674864198,25.33147037,13.678994,19.09702535,2.673583549,53.70010907,4.833009816,3.159336038,0.046774746,6.739390951,1.078302552,139.1876948,2.783753896,82.65655708,4.132827854,1.537559513,0.009320954,1.373276488,0.012253556
Kerguelen,KER1,CAT1-S1-1E,137,1.2,8.8,10.0,9.4,168.8,170,169.4,168.8,170,169.4,169.4,5402.51,6389.4,5929.22,5925.2,0.02304,88.20183029,4.410091515,11.79816971,1.179816971,0.14288399,0.014288399,714.0411624,6.850914549,214.2359607,38.56247293,3865.367321,502.4977517,314.2119789,43.98967705,40.30371929,4.836446315,2886.473191,519.5651744,0.797101318,0.055797092,3.074840014,1.660413608,4.308979567,0.603257139,10.03284659,0.902956193,1.331595445,0.046449452,0.841708562,0.13467337,71.47093889,1.429418778,15.55587576,0.777793788,0.287299186,0.00195743,0.328443817,0.005286885
Kerguelen,KER1,CAT1-S1-1E,144,1.2,19.0,20.2,19.6,179,180.2,179.6,179,180.2,179.6,179.6,5814.64,6715.04,6398.19,6367.96,0.02378,85.10327973,4.255163986,14.89672027,1.489672027,0.204678828,0.020467883,814.2955466,8.087138682,4531.40776,815.6533968,3481.392137,452.5809778,904.1879244,126.5863094,84.65981172,10.15917741,3168.819664,570.3875395,0.546046302,0.038223241,3.299582559,1.781774582,5.064349607,0.709008945,18.29158675,1.646242808,1.160038795,0.007432123,7.805442382,1.248870781,46.22785062,0.924557012,83.4623728,4.17311864,1.116560794,0.010382706,1.743855456,0.008094397
Kerguelen,KER1,CAT1-S1-1E,145,1.2,20.4,21.6,21.0,180.4,181.6,181,180.4,181.6,181,181.0,5914.84,6749.96,6455.37,6426.84,0.02432,58.1265796,2.90632898,41.8734204,4.18734204,0.703145519,0.070314552,285.3114966,3.381248903,23278.04767,4190.048581,3903.380519,507.4394675,2923.188804,409.2464326,121.9300211,14.63160253,4456.928381,802.2471086,0.855150174,0.059860512,2.425675008,1.309864504,3.767313027,0.527423824,30.48216342,2.743394708,0.492227975,0.002959071,16.42557783,2.628092453,35.5730101,0.711460202,90.16911624,4.508455812,2.922008417,0.028142463,0.554162251,0.006445999
Kerguelen,KER1,CAT1-S1-1E,146,1.1,21.9,23.0,22.4,181.9,183,182.4,181.9,183,182.4,182.4,6032.23,6765.71,6513.87,6484.41,0.02432,64.04109524,3.202054762,35.95890476,3.595890476,0.602361457,0.060236146,430.7819338,4.463360089,34328.60153,6179.148275,4312.186563,560.5842532,3433.05248,480.6273472,397.1365916,47.65639099,13289.58227,2392.124809,0.757047602,0.052993332,2.230484241,1.20446149,6.015402464,0.842156345,87.59499317,7.883549385,1.267593426,0.023997253,53.67294845,8.587671752,37.52281834,0.750456367,334.5208848,16.72604424,7.036643174,0.137376002,2.946323756,0.030181993
Kerguelen,KER1,CAT1-S1-1E,147,1.1,23.3,24.4,23.8,183.3,184.4,183.8,183.3,184.4,183.8,183.8,6123.16,6793.52,6576.86,6541.98,0.02262,88.21271238,4.410635619,11.78728762,1.178728762,0.178533632,0.017853363,1492.246644,6.761169835,1154.260764,207.7669375,4541.333436,590.3733467,1119.777227,156.7688118,77.89836317,9.34780358,3562.901422,641.322256,0.996950957,0.069786567,7.771363798,4.196536451,8.155143454,1.141720084,34.97989363,3.148190427,1.948070392,0.061981627,2.833581675,0.453373068,86.72448526,1.734489705,123.6786369,6.183931845,1.067667427,0.00971953,2.847910366,0.021268193
Kerguelen,KER1,CAT1-S1-1E,151,1.3,29.0,30.3,29.7,189,190.3,189.7,189,190.3,189.7,189.7,6705.67,6905.71,6801,6802.76,0.05422,88.00928802,4.400464401,11.99071198,1.199071198,0.122459474,0.012245947,733.5547145,17.40836734,519.0692231,93.43246016,4164.183528,541.3438586,617.9743965,86.51641551,48.62589017,5.83510682,2793.818462,502.8873232,0.972163333,0.068051433,5.453440209,2.944857713,7.040465601,0.985665184,8.670290595,0.780326154,1.657757,0.04062042,1.131785621,0.181085699,76.44263413,1.528852683,32.53643781,1.626821891,0.351108777,0.005700268,0.626198523,0.004636475
Kerguelen,KER1,CAT1-S1-1E,157,1.3,38.4,39.7,39.0,198.4,199.7,199,198.4,199.7,199,199.0,6814.65,7183.34,6966.82,6974.27,0.05635,87.91890742,4.395945371,12.08109258,1.208109258,0.134082378,0.013408238,590.2869829,3.093283848,510.1301471,91.82342648,4449.195182,578.3953737,449.3132406,62.90385368,54.95773967,6.59492876,3045.373357,548.1672043,0.973653446,0.068155741,4.062914553,2.193973859,4.561717881,0.638640503,8.265161932,0.743864574,1.339182222,0.034123485,1.396313321,0.223410131,83.80568894,1.676113779,18.45759727,0.922879864,0.291085394,0.003520354,0.369156996,0.004725399
