"Location","Site","Section","sample","top","bottom","mp","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","Water_Content_pc","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc"
"Kerguelen","KER1","CAT1.1C",77,98.5,99.9,99.2,99.2,0.7,3521,4102,3816,3816,291,0.03659,0.00304,87.05,12.95,0.65,93.57,4.68,54.09,4.68,5.8137,4.744,1.0081,0.328,0.284,0.012,0.0114,94.9
"Kerguelen","KER1","CAT1.1C",78,100.1,101.4,100.7,100.7,0.65,3568,4136,3855,3857,284,0.0375,0.003,87.06,12.94,0.65,94.22,4.71,54.46,4.71,5.3984,4.4591,1.0152,0.344,0.3013,0.0129,0.0123,95.6
"Kerguelen","KER1","CAT1.1C",79,101.6,102.9,102.2,102.2,0.65,3613,4156,3897,3897,272,0.0381,0.0029,87.09,12.91,0.65,94.87,4.74,54.84,4.74,5.6357,4.7171,1.0643,0.3411,0.3025,0.013,0.0125,96.3
"Kerguelen","KER1","CAT1.1C",80,103.1,104.5,103.8,103.8,0.7,3646,4196,3946,3939,275,0.03636,0.00278,87.74,12.26,0.61,94.44,4.72,54.59,4.72,6.0692,5.1406,0.9614,0.3069,0.2753,0.0112,0.0109,97.4
"Kerguelen","KER1","CAT1.1C",81,104.7,106.1,105.4,105.4,0.7,3685,4232,3991,3983,274,0.03409,0.00257,88.16,11.84,0.59,92.49,4.62,53.46,4.63,5.688,4.8661,1.1322,0.3359,0.3041,0.0114,0.0112,98.1
"Kerguelen","KER1","CAT1.1C",82,106.3,107.5,106.9,106.9,0.6,3744,4252,4035,4027,254,0.03409,0.00234,87.54,12.46,0.62,94.64,4.73,54.71,4.73,4.8754,4.2197,1.138,0.3772,0.3453,0.0129,0.0127,98.4
"Kerguelen","KER1","CAT1.1C",83,107.7,109.1,108.4,108.4,0.7,3792,4273,4083,4071,241,0.03404,0.00223,87.68,12.32,0.62,93.2,4.66,53.87,4.66,5.688,4.9799,1.1579,0.3444,0.3187,0.0117,0.0116,99.1
"Kerguelen","KER1","CAT1.1C",84,109.3,110.7,110,110,0.7,3828,4316,4135,4118,244,0.0359,0.00236,87.18,12.82,0.64,95.27,4.76,55.07,4.76,5.5637,4.9239,1.1272,0.3508,0.328,0.0126,0.0126,100.1
"Kerguelen","KER1","CAT1.1C",85,110.8,112,111.4,111.4,0.6,3932,4327,4167,4157,198,0.03571,0.00189,86.92,13.08,0.65,93.75,4.69,54.19,4.69,4.7689,4.2681,1.1258,0.3879,0.3666,0.0139,0.0138,99.8
"Kerguelen","KER1","CAT1.1C",86,112.2,113.6,112.9,112.9,0.7,4013,4339,4207,4199,163,0.03556,0.0016,86.07,13.93,0.7,94.53,4.73,54.64,4.73,5.5637,5.0351,1.1158,0.3617,0.3454,0.0129,0.0129,100
"Kerguelen","KER1","CAT1.1C",87,113.8,115.2,114.5,114.5,0.675,4074,4368,4254,4244,147,0.0375,0.00152,88.07,11.93,0.6,100,5,57.8,5,5.8525,5.3667,1.0442,0.3206,0.31,0.012,0.0121,100.8
