depth	min	max	median	wmean
329	7249.1	8329.1	7664.4	7715.3
330	7390	8362.1	7774.3	7815.6
331	7505.4	8396.6	7886.6	7916.9
332	7595.5	8434.9	8000.7	8017.6
333	7677.7	8477.6	8118.9	8118.8
334	7747.2	8524.7	8241.2	8219.8
335	7818.3	8586	8356.2	8320.7
336	7880.4	8686.3	8462	8420.8
337	7937.1	8695.7	8493.6	8453.3
338	8008.3	8705.3	8523.6	8485.5
339	8070.3	8716.9	8553.7	8518.1
340	8115.1	8730.4	8583	8550.6
341	8152.8	8752.4	8613.7	8583.6
342	8195.4	8782.4	8647	8616.6
343	8230	8832.7	8676	8649.3
344	8247.6	8901.2	8701.5	8681.5
345	8266.8	8911.6	8713.3	8694
346	8286.3	8922.9	8726	8707.1
347	8303	8935.2	8738.2	8719.9
348	8319.1	8951.6	8749.6	8732.3
349	8334.5	8972.1	8760.9	8744.9
350	8347.9	8995.5	8771.3	8757.4
351	8364.1	9017.3	8781.1	8769.7
352	8379.2	9040.6	8791	8782.1
353	8398.2	9048.5	8804.8	8795.1
354	8417.3	9058.8	8816.4	8807.6
355	8440.3	9070.3	8829.9	8820.6
356	8456.9	9080.4	8842.2	8833.8
357	8470	9096.5	8854.5	8846.6
358	8483.5	9115.4	8866.7	8859.5
359	8498.7	9136.3	8879.2	8872.8
360	8513.6	9159.2	8892.4	8885.6
361	8539.5	9167.6	8904.6	8898.5
362	8560.2	9177.3	8917.4	8911.4
363	8578.5	9191.5	8930.2	8924.4
364	8592.6	9203.9	8943.1	8937.7
365	8607.7	9217.6	8955.2	8950.5
366	8619.6	9232.3	8969.2	8963.8
367	8630.9	9250.3	8981.7	8976.9
368	8643	9268.7	8993.4	8989.6
369	8664.8	9276	9005.7	9002.7
370	8692.5	9288.3	9018.4	9015.9
371	8710.4	9299.1	9031	9029
372	8730.8	9309.5	9043.8	9042.1
373	8748.9	9322	9056.5	9055.2
374	8762.6	9336.2	9069.4	9068.4
375	8775.5	9354.2	9082.1	9081.3
376	8786.1	9369.5	9095.2	9094.5
377	8806	9376.7	9105.1	9106.9
378	8826.6	9386	9115	9119.2
379	8846	9396.7	9126.4	9131.4
380	8864.4	9407	9138	9144
381	8877.5	9420	9149.1	9156.5
382	8890.5	9433.7	9160.2	9169
383	8903	9451.6	9172.2	9181.2
384	8916.2	9472	9183.7	9194
385	8933.4	9490.6	9198.3	9211.1
386	8951.4	9515	9214.3	9228.3
387	8971.1	9534.6	9232.1	9245.6
388	8982.9	9555.7	9249.9	9262.8
389	8998	9580	9267.2	9279.9
390	9008.5	9606.7	9282.7	9297
391	9020.6	9641.9	9297.1	9313.9
392	9031.8	9682.5	9312.4	9330.9
393	9045.8	9705.6	9332.5	9351.2
394	9060.5	9731.1	9353.8	9371.1
395	9070.3	9756.8	9374.9	9391.1
396	9081.1	9783.7	9395.1	9411.3
397	9093.4	9822.6	9415	9431.5
398	9103.9	9863	9433.6	9451.1
399	9112.9	9908.7	9452	9471.4
400	9119.9	9952.4	9470	9490.7
