"Location","Site","Section","sample","min_depth","max_depth","midpoint","Sr","Sr_sd","Sr_ICP","Sr_ICP_sd","fit","lwr","upr"
"Kerguelen","KER1","CAT1-S1-1E",146,181.9,183,182.4,-3.76982433689127,-4.69389300586796,3.62494923698863,-0.158808642310432,5.20591813177816,4.45549563098069,5.95634063257563
"Kerguelen","KER1","CAT1-S1-1E",147,183.3,184.4,183.8,-5.76104690133369,-5.91090439668497,4.46273625752543,-0.209774694048862,4.39772191754487,3.64612478062876,5.14931905446099
"Kerguelen","KER1","CAT1-S1-1E",151,189,190.3,189.7,-6.06498322542286,-5.99326345748303,4.33654057887776,0.172303794484004,4.2743604255232,3.521893700509,5.02682715053739
"Kerguelen","KER1","CAT1-S1-1E",157,198.4,199.7,199,-5.61021746059433,-6.31311121132395,4.42850089229598,0.282612459904256,4.45894048003872,3.70770727827587,5.21017368180158
"Kerguelen","KER1","CAT1-S1-1E",161,204.5,205.8,205.2,-5.2476259293166,-5.96446210760794,4.45074667341203,0.211914724140805,4.60610891219927,3.85556665624588,5.35665116815267
"Kerguelen","KER1","CAT1-S1-1F",170,210.3,211.7,211,-5.81838701839328,-6.45585310020478,4.18917826155794,0.29296500913534,4.37444874539487,3.62270147869734,5.12619601209239
"Kerguelen","KER1","CAT1-S1-1F",177,220.9,222.2,221.6,-5.59810621356331,-6.43246707701811,4.48661232160444,-0.0990916903112078,4.46385618568354,3.71265025906228,5.21506211230479
"Kerguelen","KER1","CAT1-S1-1F",179,224,225.4,224.7,-5.26689525183378,-6.16235860053238,4.39986251497481,0.679132244032676,4.59828789119072,3.84771546155566,5.34886032082577
"Kerguelen","KER1","CAT1-S1-1F",180,225.6,226.8,226.2,-5.37401049074257,-5.93750165534456,4.34548965014722,0.335673160301895,4.55481202258684,3.80405846020277,5.30556558497091
"Kerguelen","KER1","CAT1-S1-1F",185,233.2,234.5,233.8,-4.85756360051846,-5.82681924641301,3.93013154700246,-0.150928576714605,4.76442717509921,4.01433749724782,5.5145168529506
"Kerguelen","KER1","CAT1-S1-1F",186,234.7,235.9,235.3,-4.81591164860083,-6.15981314186777,4.36711964150121,0.272971639130679,4.78133284423754,4.03127366290282,5.53139202557227
"Kerguelen","KER1","CAT1-S1-1F",188,237.8,239.1,238.4,-5.36658802136417,-6.00660870367682,4.08091826570216,-0.271319724764527,4.5578246499842,3.80708437140147,5.30856492856693
"Kerguelen","KER1","CAT1-S1-1F",191,242.3,243.6,242.9,-5.40499799766871,-5.82972154881552,4.20506767337778,-1.99339452553669,4.54223483195358,3.79142463444112,5.29304502946604
"Kerguelen","KER3","CAT2-S3-1A",6,7.9,9.1,8.5,-6.23802472052934,-6.50879776154086,4.35099039076144,-0.0437868039775388,4.20412644779129,3.45108348656873,4.95716940901384
"Kerguelen","KER3","CAT2-S3-1A",9,12.3,13.5,12.9,-6.34570910839623,-6.33192322347579,4.22032669045139,-1.55470323291102,4.16041957335135,3.40698837105889,4.91385077564382
"Kerguelen","KER3","CAT2-S3-1A",13,18.1,19.3,18.7,-6.7405854074647,-6.28737021991027,4.36353771818166,0.352280728499962,4.00014741909975,3.24509856824278,4.75519626995673
"Kerguelen","KER3","CAT2-S3-1A",15,21,22.1,21.6,-6.20186561464915,-6.26468403726408,4.371873778035,-1.390770319292,4.2188026838908,3.4658849915016,4.97172037628
"Kerguelen","KER3","CAT2-S3-1A",20,28.2,29.4,28.8,-6.20492665219116,-6.37972111328611,4.27734711833337,-0.118470167302271,4.21756027181831,3.46463207420051,4.97048846943611
"Kerguelen","KER3","CAT2-S3-1A",21,29.6,30.7,30.2,-6.50658041765418,-6.6201845325052,4.15544696886158,-0.297010575959653,4.09512522331599,3.341071741132,4.84917870549998
"Kerguelen","KER3","CAT2-S3-1A",22,31,32.1,31.6,-5.4761616073881,-6.09698429952099,4.21398740809955,-0.115535373293024,4.51335098893501,3.76240353709782,5.2642984407722
"Kerguelen","KER3","CAT2-S3-1A",27,38.2,39.3,38.7,-5.17999146629426,-5.73982273844573,4.23353134879208,-0.0547696044947415,4.63356034728366,3.88311817852694,5.38400251604038
"Kerguelen","KER3","CAT2-S3-1A",28,39.5,40.7,40.1,-4.89981301896785,-5.32478431292105,4.38058475591614,-0.2075075556193,4.74727900660509,3.99715487813385,5.49740313507632
"Kerguelen","KER3","CAT2-S3-1A",32,45.1,47,46.1,-5.36448291884933,-5.98192233564466,4.55454059361741,-0.171682868061957,4.55867906772406,3.80794253674336,5.30941559870475
"Kerguelen","KER3","CAT2-S3-1B",38,46.4,47.6,47,-5.20728266795298,-5.70508452302442,4.39386025068524,0.0216314608229616,4.62248341080437,3.87200194637609,5.37296487523266
"Kerguelen","KER3","CAT2-S3-1B",42,51.6,52.7,52.2,-4.78586470362758,-5.33680460929149,4.45549199571873,-0.881553644105992,4.79352828015229,4.04348896096262,5.54356759934196
"Kerguelen","KER3","CAT2-S3-1B",45,55.3,56.5,55.9,-2.9365869711492,-4.02746716489646,5.0127210992914,0.0565566978451837,5.5441120115462,4.79184900929058,6.29637501380182
"Kerguelen","KER3","CAT2-S3-1B",47,58.1,59.3,58.7,-6.62403701798277,-6.39149233951448,4.50961015332314,-0.679944998157372,4.04745200917236,3.29291225290695,4.80199176543778
"Kerguelen","KER3","CAT2-S3-1B",52,64.6,65.7,65.1,-6.20139211579514,-6.62496363151589,4.60794858765305,0.0233752515927439,4.21899486732026,3.46607879829844,4.97191093634208
"Kerguelen","KER3","CAT2-S3-1B",55,68.3,69.4,68.9,-6.24207071751468,-6.23082855174949,3.24811271743831,-1.45202789146329,4.20248426097363,3.44942712337411,4.95554139857316
"Kerguelen","KER3","CAT2-S3-1B",56,69.5,70.7,70.1,-6.13688894583545,-6.29376269724181,4.49926486839708,0.0326978605300727,4.24517537506379,3.49247633948244,4.99787441064513
"Kerguelen","KER3","CAT2-S3-1B",62,77.2,78.2,77.7,-5.78221479888068,-5.89117544462665,4.50169058385839,0.471564506068457,4.38913030404759,3.6374784994944,5.14078210860078
