"Site","depth","SH20_mean_age","SH20_mean_95CI","K","K_ICP","Ca","Ca_ICP","Ti","Ti_ICP","Mn","Mn_ICP","Fe","Fe_ICP","Zn","Zn_ICP","Rb","Rb_ICP","Sr","Sr_ICP","Zr","Zr_ICP","Mo_inc","Mo_coh","inc_coh","coh_inc","Dry_mass","Ti_predicted"
"BI10",183.3,2693,245,3.63636363636364,21256.47654,177.454545454545,9697.311696,35.7272727272727,2196.956371,26.5454545454545,243.6402038,5216.72727272727,24845.10488,138.090909090909,75.23867924,81,58.90663431,339.181818181818,121.5336821,846.545454545455,34.80855314,40127.2727272727,6327.81818181818,6.34378767588624,0.157710388527464,35.5,1267.06740604402
"BI10",187,2729,248,10.5454545454545,4642.258304,219.545454545455,7288.66125,41.8181818181818,660.9863166,31.8181818181818,67.78989286,11936.7272727273,27055.53366,22.1818181818182,130.7729603,19.9090909090909,12.67353344,382.909090909091,118.8967341,737.181818181818,12.27077458,37035.4545454545,5849.72727272727,6.33712958646025,0.157959376627689,15.38,1331.27625889794
"BI10",192.8,2816,256,41.1,2367.746797,216.7,5866.599826,50.4,234.8825033,27.1,42.2400533,19501.7,70333.76898,48,90.27805952,63.8,2.553601126,307.2,85.79649547,658.5,5.275218799,33850.5,5552.6,6.09934667092204,0.164053074465552,16.86,1189.25383908568
"BI10",206,3085,299,24.6666666666667,21467.56946,355.5,6764.508083,65,1293.229498,44.4166666666667,160.5283798,41775.5833333333,107255.388,243.666666666667,255.5835815,64.8333333333333,25.70637949,323.666666666667,111.2286921,582,16.62081972,30418.1666666667,5392.91666666667,5.64056009711068,0.177411935371199,14.36,1048.99506574668
"BI10",217.5,3305,291,15.0909090909091,3810.216932,217.727272727273,8457.047616,47,430.4165299,59.1818181818182,73.63658302,21076.3636363636,46161.88967,436.181818181818,399.0691035,42.5454545454545,6.149324503,400.545454545455,136.1592518,725.909090909091,8.204676276,36831.7272727273,5925,6.21843648888541,0.160917065838376,16.4,1406.18585088095
"BI10",230.9,3561,213,17.8333333333333,2179.747422,336.833333333333,7198.222186,41.9166666666667,389.6638198,41.4166666666667,51.31483509,18747,28337.51625,29.5833333333333,48.4428199,30.1666666666667,4.534790413,395.666666666667,116.7915838,803.916666666667,9.348601732,38686.1666666667,6079.08333333333,6.36472744431728,0.157220291280267,18.76,1146.38926186475
"BI10",241.1,3684,163,4.57894736842105,2601.638721,205.157894736842,6524.805309,31.0526315789474,301.303437,35.4210526315789,64.81180749,21261.3684210526,68261.38783,87.2105263157895,232.0043335,20.7368421052632,3.037488827,228.526315789474,95.07661499,694.263157894737,4.985074292,35777.0526315789,5731.21052631579,6.24475670694282,0.160195734816227,15.42,911.102336004332
"BI10",253.2,3756,160,10,2160.208858,196.181818181818,6240.983611,36,344.5794406,29.0909090909091,41.07148346,6707.54545454545,23779.92504,1.09090909090909,29.80921049,85.0909090909091,5.026836978,261.454545454545,101.292967,859.454545454545,7.527120756,41279,6347.63636363636,6.50631130839066,0.153779594188589,15.55,1036.82071812793
"BI10",267.5,3839,157,6.18181818181818,2135.960113,217.181818181818,7771.356271,24,232.314161,30,56.87091915,17880.7272727273,58747.48129,138.545454545455,316.1883316,19.8181818181818,2.699363842,228.363636363636,119.6977813,634.454545454545,5.881017729,34199.3636363636,5456.72727272727,6.26873508086173,0.159566969577028,14.32,851.815777246768
"BI10",278.4,3910,155,11.1818181818182,1942.49545,211.363636363636,6196.60628,34.6363636363636,227.4128172,38.1818181818182,39.2756349,12464.5454545455,49872.72804,328.545454545455,205.2689039,31.7272727272727,2.511699688,287.090909090909,99.83622626,804.272727272727,5.366567931,38471.5454545455,5968.27272727273,6.4507082149104,0.155181694049374,15.14,1066.51335286334
